artist,title,spotify_uri,original_lang,lyrics_in_en,length,translation_review_required,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,dominant_emotion
The Killers,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,en,"Comin' out of my cage and I've been doin' just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss
Now I'm falling asleep and she's calling a cab
While he's having a smoke and she's taking a drag
Now they're goin' to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now
He takes off her dress now
Let me go
And I just can't look, it's killing me
And taking control

Jealousy
Turning saints into the sea
Swimming through sick lullabies
Choking on your alibis
But it's just the price I pay
Destiny is calling me
Open up my eager eyes
'Cause I'm Mr. Brightside


I'm comin' out of my cage and I've been doin' just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
(It was only a kiss) It was only a kiss
Now I'm falling asleep and she's calling a cab
While he's havin' a smoke and she's taking a drag
Now they're goin' to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now
He takes off her dress now
Let me go
'Cause I just can't look, it's killing me
And taking control

Jealousy
Turning saints into the sea
Swimming through sick lullabies
Choking on your alibis
But it's just the price I pay
Destiny is calling me
Open up my eager eyes
'Cause I'm Mr. Brightside


I never
I never
I never
I never",1462,False,0.0008,0.0017,0.0115,0.0594,0.0088,0.0036,0.0099,0.0138,0.0111,0.1625,0.007,0.0118,0.0057,0.0025,0.0219,0.0002,0.0092,0.0035,0.0024,0.0274,0.0024,0.0005,0.02,0.0015,0.0029,0.497,0.0049,0.3148,sadness
back number,怪盗,014Dp0tBp4d9uuFAvH1mlc,ja,"Then close your eyes for a moment
Hold on to my arm
Your smile from someone who steals it
I'm stealing you

Let's start the story without telling the name.
If you give me the signal to take you away

take you away from here
Through the night sky
Jumping over the city like a jewel
More than you could ever imagine
I'll show you the dazzling world
Just cross the sea
riding the spring breeze
Kick off the rainbow and scatter it in the sky
You can remain yourself today and tomorrow.
If I have you, nothing is impossible for me

I have to go now
Would you like to go back to the moon in a glass slipper?
No matter how you deny it
It remains wonderful

Me who met you
Comparing me to the person I was before I could meet you
I would like to write a paper on it
all your cells
I'm sure I can't convey how precious you are.
I'll prove you to yourself

I'll take you from now
Through the night sky
Jumping over the city like a jewel
More than you could ever imagine
I'll show you the dazzling world
Just cross the sea
riding the spring breeze
Kick off the rainbow and scatter it in the sky
You can remain yourself today and tomorrow.
If I have you, nothing is impossible for me
None",456,False,0.5749,0.001,0.0018,0.003,0.1665,0.0307,0.0137,0.1783,0.0515,0.0016,0.004,0.0009,0.0003,0.0224,0.0012,0.003,0.0005,0.0135,0.2574,0.0006,0.0543,0.0017,0.0043,0.0011,0.0008,0.0015,0.0022,0.0427,admiration
"TURY, CARABIN3",CHUCHA,01dFxiEOMTTzim5J3kytjA,es,"But I love you (Prr)
When I see her so we can hit the stuffed animal, my love
And I'm going to get him pregnant, so he knows, my love
Sabelona (Hey)
Hahaha
Hey, ah

Your cock wants to fuck and, maní (Manito)
And I don't drink, baby, I'm going to volley
I give him chimbo all night, his vice is me and blowing
He got tired of the little boyfriend who started to chatter (Prr-prr)
I-I-I am a killer fucking and fingering (Haha)
Ask around to see if I have an ugly chin (Never)
When I fuck them, they tell me: ""Tury, I piss myself"" (Hey)
He leaks milk from a nipple if his tits lick (Haha, filthy)
Haha, the kings of chirreo, my love, listen then
Ah, I put a finger in her ass so I leave her with dementia
The kings of chirreo, I say this from experience (Ah)
To volley your finger and hit songs, mommy, I have the science
After so much webcam browsing, I'm going to set up an agency
Oh, I have so many jokes that it already stresses me out
From fucking so many groupies, I feel like I'm lazy
Now to pick it up, it has to be gomela and strawberry
Or that he sucks my balls while he grabs my head (Hey)

The chimbitas wet the cuckoo when I ride the dragon
The car during rush hour so that it sucks in the traffic, hey
I didn't come down before he had a jolt
Your boyfriend is a mere lambón, I saw him on the street and what a shit (Pirobito)
The chimbitas wet the cuckoo when I ride the dragon
The car during rush hour so that it sucks in the traffic, hey (Yeah)
I'm not going to take him down before he has a blast
Your boyfriend is a mere lambón, I saw him on the street and what a shit (Gas, pyrobo)

He recorded it and shoots deep throat (Yeah)
I spit on it and it wants me to sink it (Let it sink it)
If I have a girlfriend, what are you asking?
Stop being picked on, sapa, bitch, bad-ass, slut, filthy (Ah)
I'm a Pinocchio liar (Yeah)
If I see a baboon, I'll put it in and pick it up (Pirobita)
I made the broken ones alone, armholes, a blunt and an 8 (Grr-paw)
When I have it stopped it seems that I got stuck in a 38
The coolest thing, I even put it in the shower with Roxy (Mommy)
If she takes it with both hands, it's because she sucks like a whore (Rude)
I ended up having a threesome with the sister and the cucha
Make it soft, my queen, dad suddenly hears us (Sh, sh)
I put it in the BodyTech bathrooms
I got him dressed up with some TN and black Nike Tech
With me she always throws the stream, I got her wrong
The boyfriend puts it in and says he doesn't feel anything with him

The chimbitas wet the cuckoo when I ride the dragon
The car during rush hour so that it sucks in the traffic
I'm not going to take him down before he has a blast
Your boyfriend is a mere lambón, I saw him on the street and what a shit (Hey)
The chimbitas wet the cuckoo when I ride the dragon
The car during rush hour so that it sucks in the traffic, hey
I didn't come down before he had a jolt
Your boyfriend is a mere lambón, I saw him on the street and what a shit, hahaha

(The chimbitas wet the cuckoo when I ride the dragon)
Hey
Pedre's baby, gas
(The car during rush hour so that it sucks in the traffic, hey)
you already know
With CARABIN3
(I didn't get off before he had a jolt)
Hey, tell me, Svnti, ah
(Your boyfriend is a mere lambón, I saw him on the street and what a creep)
Noah
Tell me, Jota
Tell me, Guelo
Grr-paw, haha
The new dawn in bed disrupts you
Tell me, Svnti
Tell me, Gordo
The new dawn, my love, CARABIN3
With Pedre's baby, gas
Directly from 24
Tell me, Jara, does he know?
Rude",3344,False,0.0041,0.4727,0.0126,0.0448,0.0131,0.0019,0.0344,0.1798,0.003,0.0059,0.0051,0.008,0.0025,0.0025,0.0008,0.0003,0.0004,0.0154,0.0883,0.0005,0.0036,0.0003,0.0071,0.0004,0.0007,0.0034,0.0019,0.2822,amusement
"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),01qFKNWq73UfEslI0GvumE,tr,"One, two, 3D

I can't touch you through the phone
Or I can't kiss through the universe
In another time zone
It's the only time I can't take back
But when there are only two dimensions
There's only one thing missing
And if you feel lonely
You don't have to feel this way anymore

I just want to see you like this
Seeing it like that, uh-uh

If you're ready (If you're ready)
And if you let me (And if you let me)
I want to see it in action
in 3D
You won't regret me
Champagne confetti (Champagne confetti)
I want to see it in action
in 3D

'Cause you know how I love, girl (Girl)
3D (Woo)
You know how I love, girl (Girl)
3D (Woo)

Body to body, body to body, body to body
You and me, baby, you know we can handle it
So don't even get me started
Because you know my heart gets hot easily
Baby, oh, baby, oh, baby, you're driving me crazy
Rain, rain, rain, you can't hide
You gave me a brand new feeling
You made me drink that potion

I just want to see you like this
Seeing it like that, uh-uh

If you're ready (If you're ready)
And if you let me (And if you let me)
I want to see it in action
In 3D (Hey, show me now, girl)
You won't regret me (You won't regret me)
Champagne confetti (Champagne confetti, hey)
I want to see it in action
In 3D (Come on, come on, come on)

'Cause you know how I love, girl (You know how I love)
3D (Hey, woo)
You know how I love, girl (You know how I love)
3D (Woo)
'Cause you know how I love, girl (Oh, you know how I love)
3D (Woo)
'Cause you know how I love, girl (Girl)
3D (Woo)

I'm in Jung Kook mode, I grab chicks with just one look
And once they're taken they can't be taken back (Woo)
When I see that body, you think it's a dead body
I said to our children, ""Come and see.""
I used to take the girls to Stony Brook
And I'd steal their hearts like a thief, a true story
Now when I hold someone's hand, it's a new story
All my ABGs are cute to me
I had a girl (A girl), so boring
Two girls (Two girls), that suited me
Three girls, wow, the guy is horny
Four girls, okay, you're bitching now
(Hey, hey, hey) I'm loose
I made good use of these mushrooms.
I carried my city on my back
And the world knows my name, I'm real

If you're ready
And if you let me
I want to see it in action
In 3D (Ooh)
You won't regret me (You won't regret me)
Champagne confetti (Champagne confetti)
I want to see it in action
In 3D (Show me, girl, now; why?)

'Cause you know how I love, girl (You love it, right?)
3D (Woo)
You know how I love, girl (Okay, okay)
3D (Woo, woo)
'Cause you know how I love, girl (You know how I love, Spy Kids)
3D (OK)
'Cause you know how I love, girl (Girl)
3D (Woo)

I made you play with yourself on camera
You're my lover, like Tampa
If we talk about money, I've got it
And the ones I care about, well, I don't have any
And bitches, well, are you sure you want to know? I thought so too
I'll fly you from Korea to Kentucky
And you don't need to guarantee me anything, I just want to try my luck
I just want to meet you physically and see if you'll touch me",3257,False,0.0335,0.0021,0.0037,0.006,0.0653,0.0056,0.0056,0.016,0.0764,0.0052,0.0049,0.002,0.0006,0.0184,0.0011,0.0008,0.0005,0.0231,0.9106,0.0009,0.0114,0.0007,0.0067,0.0007,0.0009,0.003,0.0031,0.0507,love
"Omar Courtz, Dei V, Clarent, Tito ""El Bambino""",$UELTA GATITA $UELTA,01xWRzLhSgANX9CGgBzssk,es,"Te-Te-Te-I'm going to give you more heat
I'm going to give you more candle
Te-Te-Te-I'm going to give you more heat
I'm going to give you more candle (Oh, daddy)
Mommy, tell him
Come on!

Let go, kitten, let go
Let me see you, take a look
You see that you're an expert
Devil, mommy, damn, I want to grab your ass and your tits'
Sue-Sue-Let go, kitten, let go
I notice you were losing, tell me what you invented
Let me look at you, turn around, hey
You tempt me, mommy, you tempt me, hey (I'm going to give you more heat)

He goes out for the disco and hits it to the floor
She does what she wants, she doesn't ask permission.
And it is not for commitment
With her 'friend' she does a threesome
The bellaquera gives him for season
Baby, you ask, what's there
I'll climb on top of you, I'll give you a ride
She is in her prime
Everything you wear is design
Mommy, you are one of a kind (Eh)
If I'm with you and someone else calls me, I decline (Ah, hey)

Woh-oh-oh
Wrapped in the note of alcohol, you and me, baby, bellaqueándono
You just tell me and we'll go'
That in the suite I'm going to do everything for you
Woh-oh-oh
Wrapped in the note of alcohol, you and me, baby, bellaqueándono
You just tell me and we'll go' (Eh)
underwater

Let go, kitten, let go (Hard)
Let me see you, take a look (Hard)
You see that you're an expert
Devil, mommy, damn, I want to grab your ass and your tits'
Sue-Sue-Let go, kitten, let go
I notice you were losing, tell me what you invented
Let me look at you, take a look, hey
You tempt me, mommy, you tempt me, hey (I'm going to give you more heat), hey

Let go, sata, sata face
He has a cat and he has a cat, looking at me he gives himself away
I made it for the fat ones and the skinny ones
Dance for me there, the chorus covers us
I know you 'e ante', as if it were ante'
Mommy, dance for me, steal a kiss from you, touch you so delicious (Oh, daddy)
Wadding- Wadding- Wadding- Wadding- Wadding uh (Hard)
The babies move their cu
And if they turn on me, I'll take them to Cancún (Hard)
'You're listening to those of the moment (Hey-yeah)
'We are in the corner, it seems that we are' in the center
Wadding- Wadding- Wadding- Wadding- Wadding uh (Hard)
The babies move their cu (Hard)
We arrive at the disco and they put us in the trunk
'You are listening to those of the moment
Your ga—, your cat has seen how many I come in with (Gra-gra, boom, boom, boom, boom)

My 27 are going down (Brr)
I don't miss a bullet from afar, 'I don't see the 30th floor (I see)
I'm a surprise, I'm Santa on the sleigh (Eh)
I fuck them and then, baby, I don't see them
Baby, what do you want? (What do you want, girl?)
There's so much crazy in your DM (Crazy, baby)
You walk with those who have it, with those who carry it
Today you—, today you—, today you—, today you—
Today you get older'
Try this tussi, baby, so that you dare'
Bastard, what happened?
I have the Glock in my bag 'e tu girl
From the front you look better, put me in your cave (Hard)
Come on, test me
Baby clap that ass (Eh)
'Toy in my Birkin bag (Dale)
6 a.m. m. with my perky dance (Da-Dale)
Expensive gifts, not Vans gifts (Haha, come on)
I don't care if he tells me he's a fan (Yeah)

Let go, kitten, let go (Yah)
I notice you were losing, tell me what you invent (Invent)
Let me look at you, take a look (What did you do?)
You tempt me, mommy, you tempt me, ah (El Patron!)
Let go, kitten, let go
I notice you were losing, tell me what you invented
Let me look at you, take a look, hey
Let go, kitten, let go (I'm going to give you more heat)

I present to you (I'm going to give you more candle)
To the stars that are not shooting
Omar Courtz (I'm going to give you more heat)
Dei V
Clarent
Hahahaha! (I'm going to give you more candle)
The Money Society
The Pattern! (I'm going to give you more candle)
Tito ""El Bambino"" (I'll give you more light)
Don't worry, there's no one for anyone (I'm going to give you more heat)
Your mission has been unique (I'm going to give you more fire)
Break every stage in the world (I'll give you more candle)
Sincerely, El Patrón, haha (I'll give you more heat)
And you don't break a track like this (I'm going to give you more heat)
The platform breaks them (I'm going to give you more candle)
Don't invent, you're not in this league' (I'm going to give you more heat)
(I'm going to give you more candle)",3883,False,0.0541,0.3768,0.0042,0.0166,0.0513,0.0249,0.002,0.0075,0.0072,0.0026,0.0056,0.0023,0.0013,0.0319,0.001,0.0017,0.0005,0.0892,0.0111,0.0008,0.027,0.0018,0.0082,0.0026,0.0004,0.0013,0.0152,0.3545,amusement
"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop,02sy7FAs8dkDNYsHp4Ul3f,ko,"Hey, hey
Hey, hey
Hey

Don't want you, need you
Yeah, I need you to fill me up
Even if I drink and drink
I'm not satisfied
Got a feeling that, oh, yeah (Yeah)
You could be everything that
That I need (Need), taste so sweet (Sweet)
Every sip makes me want more, yeah

Lookin' like snacks 'cause you got it like that (Woo)
Take a big bite, want another bite, yeah
I want everything about you, I want it, I want it
Everyone but you is obvious, obvious, obvious
When you're in my arms
I hold you so tight (So tight)
Can't let go, no
No, not tonight

look at me right now
There's no time
you're mine already
You know
'Cause I need you to need me
I'm empty, you feed me
So refreshing
My little soda pop

You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop
Cool me down, you're so hot
Pour me up, I won't stop
You're my soda pop
My little soda pop

My little soda pop
[Verse 3: Baby, 
[Abby]
Uh, make me wanna flip the top
In one sip you hit the spot
Every little drip and drop, fizz and pop, ah
It gives me goosebumps, it’s gettin’ hot
Yes, I'm sippin' when it's drippin' now
Is it done? I need a second round
And pour a lot and don't you stop
'Til my soda pop fizzles out

You, who I pictured in my dreams
i can never miss
I really want you
I waited so long for a taste of soda
So, the wait is over, baby
Come and fill me up
Just can't get enough
Oh

You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop (Yeah, yeah)
Cool me down, you're so hot
Pour me up, I won't stop (Oh, oh)
You're my soda pop
My little soda pop

Ooh, ooh
Ooh, ooh
You're my soda pop
Gotta drink every drop",1537,False,0.0161,0.0018,0.003,0.0125,0.1194,0.0119,0.001,0.0033,0.387,0.006,0.0033,0.0027,0.0005,0.0415,0.0008,0.0009,0.0006,0.0215,0.1167,0.001,0.0086,0.002,0.0064,0.0019,0.0007,0.0036,0.0011,0.2192,desire
Don Toliver,ATM,03auLpFLdCv4HozP4pQseu,en,"Last week, we went back to the crib, did round two
I don't even know how the hell I even found you
I got the keys to her car and her house too
House too, house too, house too

Let's go, big rock, iced out G-Shock
Make her rip sheet rock, bitch, I'm stayin' under
Let's go, he hot, get him out the teapot
Shawty want the drip-drop, bitch, I come with thunder (Phew, phew, phew)
Off the cranium
Got the ATM, finna rock the stadium
Bitch, it's 8 a.m., the strip club Canadian
You can pay me then, she Albanian
Range Rover bus (Huh)
She want it in the truck (Huh)
Okay, I'm finna fuck (Huh)
Okay, she had enough (Okay), huh (Yeah)
Okay, she had enough (Hey)
She doin' angel dust
She wide open, huh (Wide open, she wide open)
She puttin' it on her tongue
She says she's on the run (Ooh)
Okay, I'm on the hunt, hmm (Hmm)
Okay, I'm on the hunt, lil' shawty

I'm in H-Town, this a hell of a vibe
I was way too geeked, I can't come outside (Come outside)
I got two tens and she sit on my ride
It's the weekend, yeah, she do it this time

Last week, we went back to the crib, did round two
I don't even know how the hell I even found you
I got the keys to her car and her house too
House too, house too, house too

I was too geeked, I couldn't see
I made you mad, but you really want me
Top of the hill, shawty out of sync
I got idea, let's go 'head, put it in
Let's rock the boat, I gotta rock some more
I gotta swim the sea, I gotta catch the beach
I got a chain, the Ritz-Carlton, Philippe
Shawty locked like it's ALYX

Let's go, big rock, iced out G-Shock
Make her rip sheet rock, bitch, I'm stayin' under
Let's go, he hot, get him out the teapot
Shawty want the drip-drop, bitch, I come with thunder (Phew, phew, phew)
Off the cranium
Got the ATM, finna rock the stadium
Bitch, it's 8 a.m., the strip club Canadian
You can pay me then, she Albanian
Range Rover bus (Huh)
She want it in the truck (Huh)
Okay, I'm finna fuck (Huh)
Okay, she had enough (Okay), huh (Yeah)
Okay, she had enough (Hey)
She doin' angel dust
She wide open, huh (Wide open, she wide open)
She puttin' it on her tongue
She says she's on the run (Ooh)
Okay, I'm on the hunt, hmm (Hmm)
Okay, I'm on the hunt, lil' shawty

Last week, we went back to the crib, did round two
I don't even know how the hell I even found you
I got the keys to her car and her house too
Had one, baby, now we finna do a round two
Oh, I hate that sucker shit (Sucker shit)
Oh, I hate that sucker shit, tell-tell 'em get from 'round you
Yeah, I bought your chains, bought your stones and your gowns too
Worry about them stories that the—",2650,False,0.0013,0.007,0.4933,0.3602,0.0116,0.0029,0.0026,0.0022,0.0038,0.01,0.0161,0.021,0.0028,0.0057,0.0039,0.0003,0.0005,0.0051,0.0017,0.0014,0.0035,0.0008,0.0049,0.0005,0.0003,0.0031,0.002,0.1722,anger
"Waka Flocka Flame, Roscoe Dash, Wale",No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,en,"Listen to this track, bitch

Girl, the way you're moving got me in a trance (Yeah)
DJ, turn me up, ladies, this yo jam (Come on)
I'ma sip Moscato, and you gon' lose them pants (Ooh)
Then I'ma throw this money while you do it with no hands (Leggo)
Girl, drop it to the floor (Yeah)
I love the way your booty go (Come on)
All I wanna do is sit back and watch you move (Waka, Waka, Waka, Waka, Flocka, yeah)
And I'll proceed to throw this cash (Leggo)

All that ass, in yo jeans
Can Wale beat? Can Roscoe skeet?
Long hair, she don't care, when she walk, she gets stares
Brown-skin or a yellow bone, DJ, this my favorite song
So I'ma make it thunderstorm, flood warnin', Flocka here
Blow it, fuck it, I don't care, Jacksons flyin' everywhere
Tap my partner Roscoe, like, ""Bruh, I'm drunk as hell, can't you tell?""
Threw me seventy bands, bet fifty stacks, oh fuckin' well
I'm tryna hit the hotel with two girls that swallow me
Take this dick while I swallow Pink Moscato, got her freaky
Hey, you got me in a trance (Damn), please take off yo pants (Damn)
Pussy pop on a handstand, you got me sweatin'
Please pass me a fan, damn

Girl, the way you're moving got me in a trance (Yeah)
DJ, turn me up, ladies, this yo jam (Come on)
I'ma sip Moscato, and you gon' lose them pants (Ooh)
Then I'ma throw this money while you do it with no hands (Leggo)
Girl, drop it to the floor (Yeah)
I love the way your booty go (Come on)
All I wanna do is sit back and watch you move (Ooh, ayy, ayy, Wale, uh)
And I'll proceed to throw this cash (L'eggo)

She said, ""Look, ma, no hands""
She said, ""Look, ma, no hands,"" and no, darlin', I don't dance
And I'm with Roscoe, I'm with Waka, I think I deserve a chance
I'm a bad motherfucker, go and ask them other fuckers
A young handsome motherfucker
I sling that wood, I just nunchuck them
And who you with? And what's your name?
And you not hear, boo? I'm Wale
And that D.C. shit, I rep all day
And my eyes red 'cause of all that haze
Don't blow my high, let me shine
Drumma on the beat, let me take my time
Nigga want beef? We can take it outside
Fight for what, broad? These hoes ain't mine
Is you out yo mind? You out yo league
I sweat no bitches, just sweat out weaves
Wear out tracks, let me do my thing
I got sixteen for this Roscoe thing
But I'm almost done, let me get back to it
Whole lotta loud in a lil' Backwood
Whole lotta money, big tip, I would
I put her on the train, little engine could, bitch

Girl, the way you're moving got me in a trance (Yeah)
DJ, turn me up, ladies, this yo jam (Come on)
I'ma sip Moscato, and you gon' lose them pants (Ooh)
Then I'ma throw this money while you do it with no hands (Leggo)
Girl, drop it to the floor (Yeah)
I love the way your booty go (Come on)
All I wanna do is sit back and watch you move (Ooh)
And I'll proceed to throw this cash (Roscoe Dash, okay)

R-O-S-C-O-E (O-E), Mr. ""Shawty-Put-It-On-Me"" (Please)
I be goin' HAM (HAM), shawty upgrade from bologna (Please)
Them niggas tippin' good, girl, but I can make it flood (I can)
'Cause I walk around with pockets (Pockets) that are bigger than my bus (Woah)
""Rain, rain, go away,"" that's what all my haters say
My pockets stuck on overload (Woah), my rain never evaporates (No)
No need to elaborate (Never), most of these ducks exaggerate (They do)
But I'ma get money, nigga, every day stunting
Nigga, ducks might get a chance after me (Go)
Bitch, I'm ballin' like I'm comin' off of free throws (Yes)
Just ahead of the game, no cheat codes (No)
Lambo, Roscoe, no street code (Skrrt)
And your booty got me lost like Nemo (Go)
Go, go, go, g— go'n and do your dance (Right now)
And I'ma throw this money while you do it with no hands, go (I'm gone)

Girl, the way you're moving got me in a trance (Yeah)
DJ, turn me up, ladies, this yo jam (Come on)
I'ma sip Moscato, and you gon' lose them pants (Ooh)
Then I'ma throw this money while you do it with no hands (Leggo)
Girl, drop it to the floor (Yeah)
I love the way your booty go (Come on)
All I wanna do is sit back and watch you move (Ooh)
And I'll proceed to throw this cash (Woah, woah, leggo)",4170,False,0.006,0.0073,0.0725,0.1314,0.0242,0.0018,0.0049,0.0086,0.0037,0.0079,0.0095,0.0086,0.0015,0.0091,0.001,0.0002,0.0003,0.0064,0.1214,0.0005,0.0033,0.0005,0.0052,0.0004,0.0002,0.0012,0.0026,0.5737,neutral
a-ha,Take on Me,04aigH9HRGebQZu1JAN6X1,en,"We're talking away
No, I don't know what I'm to say
I'll say it anyway
Today is another day to find you
Shyin' away
I'll be comin' for your love, okay?

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day or two

So, needless to say
I'm odds and ends
But I'll be stumblin' away
Slowly learnin' that life is okay
Say after me
""It's no better to be safe than sorry""

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day or two


Oh, things that you say
Yeah, is it life or just to play
My worries away?
You're all the things I've got to remember
You're shyin' away
I'll be comin' for you anyway

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day

(Take on me) (Take on me)
(Take me on) (Take on me)
I'll be gone (Take on me) (Take on me)
In a day (Take me on) (Take on me)
(Take on me) (Take on me)
(Take me on) (Take on me)
(Take on me)",933,False,0.0005,0.001,0.002,0.0161,0.0712,0.0123,0.4317,0.0461,0.0054,0.0262,0.02,0.002,0.003,0.0021,0.0126,0.0002,0.0013,0.0031,0.0074,0.0163,0.0203,0.0004,0.0752,0.0022,0.004,0.0136,0.0046,0.4178,confusion
Vaundy,Tokyo Flash,04e72JtsOIIlHUQ7CvWwvX,ja,"Vaundy “Tokyo Flash” lyrics

I got better at aitsu
It's done It's done
Ah, you're good too
They attacked me without a signal.
Not bad Not bad
Ah, are you okay?

Stay, stay here for you
Show me your fake smile. Show me your smile.
Looks like you have stage 4 cancer
Is it okay to have sexual love beyond your age?

Tokyo flash when you wake up
Where should I go? Where should I go? It doesn't change.
Tokyo Flash If I hold hands with you
It doesn't matter where I go, where I go
tokyo flash

I loved you on the cliff
It's done. It's done.
Ah, it's deep today too.
It's a fragmented and simple story.
Not bad Not bad
Ah, that's enough

Stay, stay here for you
Show me your fake smile. Show me your smile.
Looks like you have stage 4 cancer
Is it okay to have sexual love beyond your age?

Tokyo Flash When You Wake Up
Where should I go? Where should I go? It doesn't change.
Tokyo Flash If I hold hands with you
Where should I go? Where should I go? It doesn't change.
tokyo flash

I think I should just stop, but
Your smile and gestures have become a habit.

Tokyo flash when you wake up
Where should I go? Where should I go? It doesn't change.
Tokyo Flash If I hold hands with you
Where should I go? Where should I go? It doesn't change.
Tokyo flash when you wake up
Where should I go? Where should I go? It doesn't change.
Tokyo Flash If I hold hands with you
Where should I go? Where should I go? It doesn't change.
tokyo flash",676,False,0.1396,0.0013,0.0049,0.0096,0.5365,0.0687,0.0417,0.1424,0.0068,0.0071,0.0141,0.0015,0.0008,0.0116,0.0048,0.001,0.0016,0.0219,0.6639,0.0053,0.0203,0.0018,0.0186,0.004,0.0023,0.0091,0.0038,0.0437,love
