artist,title,spotify_uri,original_lang,lyrics_in_en,length,translation_review_required
The Killers,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,en,,1462,False
back number,怪盗,014Dp0tBp4d9uuFAvH1mlc,ja,"Then close your eyes for a moment
Hold on to my arm
Your smile from someone who steals it
I'm stealing you

Let's start the story without telling the name.
If you give me the signal to take you away

take you away from here
Through the night sky
Jumping over the city like a jewel
More than you could ever imagine
I'll show you the dazzling world
Just cross the sea
riding the spring breeze
Kick off the rainbow and scatter it in the sky
You can remain yourself today and tomorrow.
If I have you, nothing is impossible for me

I have to go now
Would you like to go back to the moon in a glass slipper?
No matter how you deny it
It remains wonderful

Me who met you
Comparing me to the person I was before I could meet you
I would like to write a paper on it
all your cells
I'm sure I can't convey how precious you are.
I'll prove you to yourself

I'll take you from now
Through the night sky
Jumping over the city like a jewel
More than you could ever imagine
I'll show you the dazzling world
Just cross the sea
riding the spring breeze
Kick off the rainbow and scatter it in the sky
You can remain yourself today and tomorrow.
If I have you, nothing is impossible for me
None",456,False
"TURY, CARABIN3",CHUCHA,01dFxiEOMTTzim5J3kytjA,es,"But I love you (Prr)
When I see her so we can hit the stuffed animal, my love
And I'm going to get him pregnant, so he knows, my love
Sabelona (Hey)
Hahaha
Hey, ah

Your cock wants to fuck and, maní (Manito)
And I don't drink, baby, I'm going to volley
I give him chimbo all night, his vice is me and blowing
He got tired of the little boyfriend who started to chatter (Prr-prr)
I-I-I am a killer fucking and fingering (Haha)
Ask around to see if I have an ugly chin (Never)
When I fuck them, they tell me: ""Tury, I piss myself"" (Hey)
He leaks milk from a nipple if his tits lick (Haha, filthy)
Haha, the kings of chirreo, my love, listen then
Ah, I put a finger in her ass so I leave her with dementia
The kings of chirreo, I say this from experience (Ah)
To volley your finger and hit songs, mommy, I have the science
After so much webcam browsing, I'm going to set up an agency
Oh, I have so many jokes that it already stresses me out
From fucking so many groupies, I feel like I'm lazy
Now to pick it up, it has to be gomela and strawberry
Or that he sucks my balls while he grabs my head (Hey)

The chimbitas wet the cuckoo when I ride the dragon
The car during rush hour so that it sucks in the traffic, hey
I didn't come down before he had a jolt
Your boyfriend is a mere lambón, I saw him on the street and what a shit (Pirobito)
The chimbitas wet the cuckoo when I ride the dragon
The car during rush hour so that it sucks in the traffic, hey (Yeah)
I'm not going to take him down before he has a blast
Your boyfriend is a mere lambón, I saw him on the street and what a shit (Gas, pyrobo)

He recorded it and shoots deep throat (Yeah)
I spit on it and it wants me to sink it (Let it sink it)
If I have a girlfriend, what are you asking?
Stop being picked on, sapa, bitch, bad-ass, slut, filthy (Ah)
I'm a Pinocchio liar (Yeah)
If I see a baboon, I'll put it in and pick it up (Pirobita)
I made the broken ones alone, armholes, a blunt and an 8 (Grr-paw)
When I have it stopped it seems that I got stuck in a 38
The coolest thing, I even put it in the shower with Roxy (Mommy)
If she takes it with both hands, it's because she sucks like a whore (Rude)
I ended up having a threesome with the sister and the cucha
Make it soft, my queen, dad suddenly hears us (Sh, sh)
I put it in the BodyTech bathrooms
I got him dressed up with some TN and black Nike Tech
With me she always throws the stream, I got her wrong
The boyfriend puts it in and says he doesn't feel anything with him

The chimbitas wet the cuckoo when I ride the dragon
The car during rush hour so that it sucks in the traffic
I'm not going to take him down before he has a blast
Your boyfriend is a mere lambón, I saw him on the street and what a shit (Hey)
The chimbitas wet the cuckoo when I ride the dragon
The car during rush hour so that it sucks in the traffic, hey
I didn't come down before he had a jolt
Your boyfriend is a mere lambón, I saw him on the street and what a shit, hahaha

(The chimbitas wet the cuckoo when I ride the dragon)
Hey
Pedre's baby, gas
(The car during rush hour so that it sucks in the traffic, hey)
you already know
With CARABIN3
(I didn't get off before he had a jolt)
Hey, tell me, Svnti, ah
(Your boyfriend is a mere lambón, I saw him on the street and what a creep)
Noah
Tell me, Jota
Tell me, Guelo
Grr-paw, haha
The new dawn in bed disrupts you
Tell me, Svnti
Tell me, Gordo
The new dawn, my love, CARABIN3
With Pedre's baby, gas
Directly from 24
Tell me, Jara, does he know?
Rude",3344,False
"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),01qFKNWq73UfEslI0GvumE,tr,"One, two, 3D

I can't touch you through the phone
Or I can't kiss through the universe
In another time zone
It's the only time I can't take back
But when there are only two dimensions
There's only one thing missing
And if you feel lonely
You don't have to feel this way anymore

I just want to see you like this
Seeing it like that, uh-uh

If you're ready (If you're ready)
And if you let me (And if you let me)
I want to see it in action
in 3D
You won't regret me
Champagne confetti (Champagne confetti)
I want to see it in action
in 3D

'Cause you know how I love, girl (Girl)
3D (Woo)
You know how I love, girl (Girl)
3D (Woo)

Body to body, body to body, body to body
You and me, baby, you know we can handle it
So don't even get me started
Because you know my heart gets hot easily
Baby, oh, baby, oh, baby, you're driving me crazy
Rain, rain, rain, you can't hide
You gave me a brand new feeling
You made me drink that potion

I just want to see you like this
Seeing it like that, uh-uh

If you're ready (If you're ready)
And if you let me (And if you let me)
I want to see it in action
In 3D (Hey, show me now, girl)
You won't regret me (You won't regret me)
Champagne confetti (Champagne confetti, hey)
I want to see it in action
In 3D (Come on, come on, come on)

'Cause you know how I love, girl (You know how I love)
3D (Hey, woo)
You know how I love, girl (You know how I love)
3D (Woo)
'Cause you know how I love, girl (Oh, you know how I love)
3D (Woo)
'Cause you know how I love, girl (Girl)
3D (Woo)

I'm in Jung Kook mode, I grab chicks with just one look
And once they're taken they can't be taken back (Woo)
When I see that body, you think it's a dead body
I said to our children, ""Come and see.""
I used to take the girls to Stony Brook
And I'd steal their hearts like a thief, a true story
Now when I hold someone's hand, it's a new story
All my ABGs are cute to me
I had a girl (A girl), so boring
Two girls (Two girls), that suited me
Three girls, wow, the guy is horny
Four girls, okay, you're bitching now
(Hey, hey, hey) I'm loose
I made good use of these mushrooms.
I carried my city on my back
And the world knows my name, I'm real

If you're ready
And if you let me
I want to see it in action
In 3D (Ooh)
You won't regret me (You won't regret me)
Champagne confetti (Champagne confetti)
I want to see it in action
In 3D (Show me, girl, now; why?)

'Cause you know how I love, girl (You love it, right?)
3D (Woo)
You know how I love, girl (Okay, okay)
3D (Woo, woo)
'Cause you know how I love, girl (You know how I love, Spy Kids)
3D (OK)
'Cause you know how I love, girl (Girl)
3D (Woo)

I made you play with yourself on camera
You're my lover, like Tampa
If we talk about money, I've got it
And the ones I care about, well, I don't have any
And bitches, well, are you sure you want to know? I thought so too
I'll fly you from Korea to Kentucky
And you don't need to guarantee me anything, I just want to try my luck
I just want to meet you physically and see if you'll touch me",3257,False
"Omar Courtz, Dei V, Clarent, Tito ""El Bambino""",$UELTA GATITA $UELTA,01xWRzLhSgANX9CGgBzssk,es,"Te-Te-Te-I'm going to give you more heat
I'm going to give you more candle
Te-Te-Te-I'm going to give you more heat
I'm going to give you more candle (Oh, daddy)
Mommy, tell him
Come on!

Let go, kitten, let go
Let me see you, take a look
You see that you're an expert
Devil, mommy, damn, I want to grab your ass and your tits'
Sue-Sue-Let go, kitten, let go
I notice you were losing, tell me what you invented
Let me look at you, turn around, hey
You tempt me, mommy, you tempt me, hey (I'm going to give you more heat)

He goes out for the disco and hits it to the floor
She does what she wants, she doesn't ask permission.
And it is not for commitment
With her 'friend' she does a threesome
The bellaquera gives him for season
Baby, you ask, what's there
I'll climb on top of you, I'll give you a ride
She is in her prime
Everything you wear is design
Mommy, you are one of a kind (Eh)
If I'm with you and someone else calls me, I decline (Ah, hey)

Woh-oh-oh
Wrapped in the note of alcohol, you and me, baby, bellaqueándono
You just tell me and we'll go'
That in the suite I'm going to do everything for you
Woh-oh-oh
Wrapped in the note of alcohol, you and me, baby, bellaqueándono
You just tell me and we'll go' (Eh)
underwater

Let go, kitten, let go (Hard)
Let me see you, take a look (Hard)
You see that you're an expert
Devil, mommy, damn, I want to grab your ass and your tits'
Sue-Sue-Let go, kitten, let go
I notice you were losing, tell me what you invented
Let me look at you, take a look, hey
You tempt me, mommy, you tempt me, hey (I'm going to give you more heat), hey

Let go, sata, sata face
He has a cat and he has a cat, looking at me he gives himself away
I made it for the fat ones and the skinny ones
Dance for me there, the chorus covers us
I know you 'e ante', as if it were ante'
Mommy, dance for me, steal a kiss from you, touch you so delicious (Oh, daddy)
Wadding- Wadding- Wadding- Wadding- Wadding uh (Hard)
The babies move their cu
And if they turn on me, I'll take them to Cancún (Hard)
'You're listening to those of the moment (Hey-yeah)
'We are in the corner, it seems that we are' in the center
Wadding- Wadding- Wadding- Wadding- Wadding uh (Hard)
The babies move their cu (Hard)
We arrive at the disco and they put us in the trunk
'You are listening to those of the moment
Your ga—, your cat has seen how many I come in with (Gra-gra, boom, boom, boom, boom)

My 27 are going down (Brr)
I don't miss a bullet from afar, 'I don't see the 30th floor (I see)
I'm a surprise, I'm Santa on the sleigh (Eh)
I fuck them and then, baby, I don't see them
Baby, what do you want? (What do you want, girl?)
There's so much crazy in your DM (Crazy, baby)
You walk with those who have it, with those who carry it
Today you—, today you—, today you—, today you—
Today you get older'
Try this tussi, baby, so that you dare'
Bastard, what happened?
I have the Glock in my bag 'e tu girl
From the front you look better, put me in your cave (Hard)
Come on, test me
Baby clap that ass (Eh)
'Toy in my Birkin bag (Dale)
6 a.m. m. with my perky dance (Da-Dale)
Expensive gifts, not Vans gifts (Haha, come on)
I don't care if he tells me he's a fan (Yeah)

Let go, kitten, let go (Yah)
I notice you were losing, tell me what you invent (Invent)
Let me look at you, take a look (What did you do?)
You tempt me, mommy, you tempt me, ah (El Patron!)
Let go, kitten, let go
I notice you were losing, tell me what you invented
Let me look at you, take a look, hey
Let go, kitten, let go (I'm going to give you more heat)

I present to you (I'm going to give you more candle)
To the stars that are not shooting
Omar Courtz (I'm going to give you more heat)
Dei V
Clarent
Hahahaha! (I'm going to give you more candle)
The Money Society
The Pattern! (I'm going to give you more candle)
Tito ""El Bambino"" (I'll give you more light)
Don't worry, there's no one for anyone (I'm going to give you more heat)
Your mission has been unique (I'm going to give you more fire)
Break every stage in the world (I'll give you more candle)
Sincerely, El Patrón, haha (I'll give you more heat)
And you don't break a track like this (I'm going to give you more heat)
The platform breaks them (I'm going to give you more candle)
Don't invent, you're not in this league' (I'm going to give you more heat)
(I'm going to give you more candle)",3883,False
"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop,02sy7FAs8dkDNYsHp4Ul3f,ko,"Hey, hey
Hey, hey
Hey

Don't want you, need you
Yeah, I need you to fill me up
Even if I drink and drink
I'm not satisfied
Got a feeling that, oh, yeah (Yeah)
You could be everything that
That I need (Need), taste so sweet (Sweet)
Every sip makes me want more, yeah

Lookin' like snacks 'cause you got it like that (Woo)
Take a big bite, want another bite, yeah
I want everything about you, I want it, I want it
Everyone but you is obvious, obvious, obvious
When you're in my arms
I hold you so tight (So tight)
Can't let go, no
No, not tonight

look at me right now
There's no time
you're mine already
You know
'Cause I need you to need me
I'm empty, you feed me
So refreshing
My little soda pop

You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop
Cool me down, you're so hot
Pour me up, I won't stop
You're my soda pop
My little soda pop

My little soda pop
[Verse 3: Baby, 
[Abby]
Uh, make me wanna flip the top
In one sip you hit the spot
Every little drip and drop, fizz and pop, ah
It gives me goosebumps, it’s gettin’ hot
Yes, I'm sippin' when it's drippin' now
Is it done? I need a second round
And pour a lot and don't you stop
'Til my soda pop fizzles out

You, who I pictured in my dreams
i can never miss
I really want you
I waited so long for a taste of soda
So, the wait is over, baby
Come and fill me up
Just can't get enough
Oh

You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop (Yeah, yeah)
Cool me down, you're so hot
Pour me up, I won't stop (Oh, oh)
You're my soda pop
My little soda pop

Ooh, ooh
Ooh, ooh
You're my soda pop
Gotta drink every drop",1537,False
Don Toliver,ATM,03auLpFLdCv4HozP4pQseu,en,,2650,False
"Waka Flocka Flame, Roscoe Dash, Wale",No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,en,,4170,False
a-ha,Take on Me,04aigH9HRGebQZu1JAN6X1,en,,933,False
Vaundy,Tokyo Flash,04e72JtsOIIlHUQ7CvWwvX,ja,"Vaundy “Tokyo Flash” lyrics

I got better at aitsu
It's done It's done
Ah, you're good too
They attacked me without a signal.
Not bad Not bad
Ah, are you okay?

Stay, stay here for you
Show me your fake smile. Show me your smile.
Looks like you have stage 4 cancer
Is it okay to have sexual love beyond your age?

Tokyo flash when you wake up
Where should I go? Where should I go? It doesn't change.
Tokyo Flash If I hold hands with you
It doesn't matter where I go, where I go
tokyo flash

I loved you on the cliff
It's done. It's done.
Ah, it's deep today too.
It's a fragmented and simple story.
Not bad Not bad
Ah, that's enough

Stay, stay here for you
Show me your fake smile. Show me your smile.
Looks like you have stage 4 cancer
Is it okay to have sexual love beyond your age?

Tokyo Flash When You Wake Up
Where should I go? Where should I go? It doesn't change.
Tokyo Flash If I hold hands with you
Where should I go? Where should I go? It doesn't change.
tokyo flash

I think I should just stop, but
Your smile and gestures have become a habit.

Tokyo flash when you wake up
Where should I go? Where should I go? It doesn't change.
Tokyo Flash If I hold hands with you
Where should I go? Where should I go? It doesn't change.
Tokyo flash when you wake up
Where should I go? Where should I go? It doesn't change.
Tokyo Flash If I hold hands with you
Where should I go? Where should I go? It doesn't change.
tokyo flash",676,False
