rank,artist,title,region,spotify_uri,dominant_emotion,dominant_score,low_confidence,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
1,"Mr Plata, El Americano 4KT",Las Muñequitas,Colombia,4nJJCRYru4QQakCiUA155f,sensual,0.8266,False,0.0089,0.4467,0.007,0.5252,0.3905,0.1312,0.0922,0.3994,0.8266,0.3854
2,"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),Colombia,3CBEVPwR3kUXDoTx1lqFUQ,lonely,0.9945,False,0.8727,0.9616,0.0528,0.5929,0.2682,0.6702,0.796,0.9945,0.9174,0.6488
3,"Ryan Castro, Kapo, Gangsta",LA VILLA,Colombia,2ZyrAym0sRLwt4PhGotHuI,sensual,0.9812,False,0.1551,0.7746,0.095,0.0028,0.0043,0.0064,0.0919,0.1293,0.9812,0.0778
4,Kris R.,GANAS,Colombia,4KE9Ne3hgh18B3Th4xcylg,longing,0.9732,False,0.3941,0.9732,0.0171,0.5878,0.2483,0.2008,0.108,0.7073,0.7838,0.3424
5,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Colombia,6iOndD4OFo7GkaDypWQIou,love,0.9922,False,0.9922,0.976,0.2966,0.0018,0.0018,0.0016,0.1824,0.0086,0.9816,0.0055
6,Beéle,no tiene sentido,Colombia,1HEwEN64NjgTaHmo7LfkX8,longing,0.9809,False,0.5368,0.9809,0.005,0.8269,0.8961,0.5812,0.184,0.9262,0.7784,0.7321
7,"J Balvin, Ryan Castro, DJ Snake",Tonto,Colombia,7mU1fei7P9h4mpjP2Otdw5,longing,0.6862,False,0.0387,0.6862,0.2326,0.0056,0.0111,0.0295,0.0361,0.1102,0.5546,0.5018
8,Beéle,quédate,Colombia,6VfL3MEuYeJbDlD8m011HR,longing,0.9926,False,0.9728,0.9926,0.013,0.9825,0.9396,0.4405,0.1122,0.9761,0.9151,0.3387
9,Grupo Firme,El Beneficio De La Duda,Colombia,5yXt80BNZGbmHFd0NHZHNn,sensual,0.9362,False,0.2844,0.5365,0.103,0.215,0.083,0.0207,0.4411,0.3246,0.9362,0.035
10,"Yeison Jimenez, Luis Alfonso",Destino Final,Colombia,2E4TYekUduml1DWIqQWNcj,sensual,0.8908,False,0.7832,0.623,0.5187,0.0907,0.0854,0.0015,0.0567,0.0699,0.8908,0.0026
11,"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,Colombia,5U3sC7aA5NxoMSeI1kmO2n,love,0.9868,False,0.9868,0.98,0.1345,0.4843,0.4796,0.4809,0.3218,0.4994,0.8791,0.2739
12,Blessd,YOGURCITO,Colombia,6rZno3nqeT7hv2PnSWRuYS,sensual,0.9827,False,0.9145,0.9376,0.0864,0.0065,0.008,0.007,0.1023,0.2366,0.9827,0.4306
13,"Beéle, Ovy On The Drums",mi refe,Colombia,4zhk2RS2EZODmBW6il55Qj,love,0.9955,False,0.9955,0.9755,0.363,0.0565,0.0516,0.0444,0.4471,0.2732,0.9385,0.1226
14,Bad Bunny,BAILE INoLVIDABLE,Colombia,2lTm559tuIvatlT1u0JYG2,longing,0.9929,False,0.987,0.9929,0.1117,0.9805,0.9037,0.4006,0.1831,0.9787,0.9367,0.0458
15,"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,Colombia,1YAWMfsmduIrpqrjP45pFn,sensual,0.974,False,0.3796,0.9729,0.0368,0.4909,0.2258,0.0507,0.0923,0.8009,0.974,0.7762
16,"Blessd, Ovy On The Drums",AMISTA,Colombia,1kJyDcBrZ7rSKnFtKc82vm,longing,0.9763,False,0.9011,0.9763,0.0029,0.7347,0.4984,0.1713,0.4335,0.8289,0.5026,0.1947
18,Yeison Jimenez,Por Qué la Envidia,Colombia,433eYQkvCgJKXh1o7LtplV,heartbreak,0.5007,False,0.0148,0.2737,0.0016,0.5007,0.3804,0.3127,0.0198,0.3399,0.1105,0.4004
19,"Fuerza Regida, Grupo Frontera",COQUETA,Colombia,1PREzVLuDT6PSE9sej4wnV,longing,0.9961,False,0.9567,0.9961,0.0201,0.8784,0.6052,0.0752,0.4978,0.675,0.9903,0.0876
20,"Blessd, Ovy On The Drums","""EMHDM""",Colombia,5NbIHx26LyFkW2oSNSCYBV,love,0.6378,False,0.6378,0.4474,0.0205,0.4965,0.4609,0.314,0.0294,0.4221,0.5038,0.2426
21,"Ryan Castro, Dongo",SANKA,Colombia,46ufabZP6oK3ixmN6Gd753,sensual,0.8305,False,0.1258,0.5928,0.0345,0.0669,0.0064,0.0131,0.1054,0.0251,0.8305,0.7098
22,Bad Bunny,DtMF,Colombia,3sK8wGT43QFpWrvNQsrQya,longing,0.9433,False,0.8873,0.9433,0.6486,0.448,0.2989,0.0133,0.2593,0.4422,0.7581,0.3516
