rank,artist,title,region,spotify_uri,dominant_emotion,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,dominant_emotion_emotive,neutral_score
1,"Mr Plata, El Americano 4KT",Las Muñequitas,Colombia,4nJJCRYru4QQakCiUA155f,amusement,0.004,0.3923,0.029,0.0646,0.0214,0.0037,0.0039,0.0077,0.0184,0.0081,0.0121,0.0073,0.0019,0.0029,0.0008,0.0002,0.0005,0.0137,0.1057,0.0005,0.0035,0.0004,0.0075,0.0004,0.0006,0.0034,0.0011,0.3227,amusement,0.3227
2,"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),Colombia,3CBEVPwR3kUXDoTx1lqFUQ,love,0.0081,0.0181,0.0161,0.0278,0.0429,0.0087,0.0361,0.0766,0.0162,0.018,0.014,0.0032,0.0019,0.0103,0.0027,0.0005,0.0014,0.0222,0.4801,0.0042,0.008,0.0004,0.0081,0.001,0.0051,0.0304,0.0038,0.4012,love,0.4012
3,"Ryan Castro, Kapo, Gangsta",LA VILLA,Colombia,2ZyrAym0sRLwt4PhGotHuI,neutral,0.0339,0.0371,0.0021,0.008,0.0844,0.0024,0.0013,0.0016,0.0021,0.0023,0.0037,0.0016,0.0007,0.0237,0.0012,0.0007,0.0004,0.1176,0.1237,0.0005,0.0035,0.0018,0.0098,0.0016,0.0003,0.0011,0.0015,0.583,love,0.583
4,Kris R.,GANAS,Colombia,4KE9Ne3hgh18B3Th4xcylg,amusement,0.0079,0.4549,0.0287,0.0548,0.0212,0.0081,0.1341,0.0762,0.0406,0.182,0.025,0.0071,0.0058,0.0131,0.0057,0.0014,0.0048,0.0856,0.1268,0.0134,0.0126,0.0007,0.0242,0.0028,0.0102,0.2587,0.0075,0.0365,amusement,0.0365
5,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Colombia,6iOndD4OFo7GkaDypWQIou,love,0.0633,0.0044,0.0034,0.0047,0.0806,0.0044,0.0198,0.0326,0.0115,0.003,0.0047,0.0018,0.0009,0.0392,0.0017,0.0009,0.0005,0.0477,0.929,0.0016,0.0109,0.0009,0.0107,0.0009,0.001,0.0022,0.0075,0.0312,love,0.0312
6,Beéle,no tiene sentido,Colombia,1HEwEN64NjgTaHmo7LfkX8,fear,0.0013,0.003,0.0105,0.0556,0.0168,0.0026,0.1785,0.0212,0.0017,0.0482,0.2031,0.0117,0.0128,0.006,0.331,0.0003,0.0022,0.0048,0.0015,0.0596,0.003,0.0006,0.0584,0.0026,0.0007,0.017,0.0243,0.2094,fear,0.2094
7,"J Balvin, Ryan Castro, DJ Snake",Tonto,Colombia,7mU1fei7P9h4mpjP2Otdw5,neutral,0.0356,0.0045,0.0102,0.0915,0.0631,0.0006,0.0131,0.0147,0.0041,0.0163,0.1778,0.0056,0.0013,0.0136,0.0004,0.0003,0.0002,0.0068,0.0049,0.0003,0.0021,0.0009,0.0075,0.0007,0.0002,0.0008,0.0034,0.4289,disapproval,0.4289
9,Grupo Firme,El Beneficio De La Duda,Colombia,5yXt80BNZGbmHFd0NHZHNn,remorse,0.0294,0.0007,0.0031,0.0121,0.1561,0.1562,0.0028,0.0015,0.0224,0.0292,0.0609,0.0022,0.0058,0.0015,0.0013,0.1231,0.005,0.0073,0.0092,0.002,0.0461,0.0056,0.0302,0.0195,0.4379,0.0604,0.0007,0.0845,remorse,0.0845
10,"Yeison Jimenez, Luis Alfonso",Destino Final,Colombia,2E4TYekUduml1DWIqQWNcj,admiration,0.7775,0.0026,0.0021,0.0034,0.2218,0.0269,0.0218,0.0754,0.0179,0.0055,0.0082,0.0008,0.0005,0.0681,0.004,0.0027,0.0015,0.2067,0.0925,0.0036,0.0589,0.0091,0.0071,0.0076,0.0009,0.0047,0.0036,0.0176,admiration,0.0176
11,"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,Colombia,5U3sC7aA5NxoMSeI1kmO2n,love,0.0241,0.2298,0.0143,0.0228,0.0356,0.0147,0.007,0.0238,0.0351,0.0379,0.0138,0.0069,0.0027,0.0056,0.0021,0.001,0.0024,0.0358,0.8351,0.003,0.0234,0.0005,0.0095,0.001,0.008,0.1236,0.0017,0.0223,love,0.0223
