rank,artist,title,region,spotify_uri,dominant_emotion,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
1,"Mr Plata, El Americano 4KT",Las Muñequitas,Colombia,4nJJCRYru4QQakCiUA155f,sensual,0.4198,0.8852,0.1638,0.5387,0.5822,0.2368,0.1735,0.6317,0.9628,0.7417
2,"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),Colombia,3CBEVPwR3kUXDoTx1lqFUQ,null,null,null,null,null,null,null,null,null,null,null
3,"Ryan Castro, Kapo, Gangsta",LA VILLA,Colombia,2ZyrAym0sRLwt4PhGotHuI,sensual,0.2096,0.399,0.3485,0.0,0.1351,0.0,0.1933,0.1446,0.9865,0.2804
4,Kris R.,GANAS,Colombia,4KE9Ne3hgh18B3Th4xcylg,null,null,null,null,null,null,null,null,null,null,null
5,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Colombia,6iOndD4OFo7GkaDypWQIou,sensual,0.9199,0.9352,0.2911,0.0,0.0,0.0,0.1598,0.0,0.9919,0.0
6,Beéle,no tiene sentido,Colombia,1HEwEN64NjgTaHmo7LfkX8,longing,0.8587,0.9793,0.0,0.8316,0.844,0.7556,0.3391,0.8399,0.8988,0.7297
7,"J Balvin, Ryan Castro, DJ Snake",Tonto,Colombia,7mU1fei7P9h4mpjP2Otdw5,null,null,null,null,null,null,null,null,null,null,null
8,Beéle,quédate,Colombia,6VfL3MEuYeJbDlD8m011HR,longing,0.94,0.982,0.2165,0.957,0.8765,0.6019,0.2767,0.8553,0.9389,0.6352
9,Grupo Firme,El Beneficio De La Duda,Colombia,5yXt80BNZGbmHFd0NHZHNn,null,null,null,null,null,null,null,null,null,null,null
10,"Yeison Jimenez, Luis Alfonso",Destino Final,Colombia,2E4TYekUduml1DWIqQWNcj,null,null,null,null,null,null,null,null,null,null,null
11,"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,Colombia,5U3sC7aA5NxoMSeI1kmO2n,null,null,null,null,null,null,null,null,null,null,null
12,Blessd,YOGURCITO,Colombia,6rZno3nqeT7hv2PnSWRuYS,null,null,null,null,null,null,null,null,null,null,null
13,"Beéle, Ovy On The Drums",mi refe,Colombia,4zhk2RS2EZODmBW6il55Qj,love,0.9869,0.9439,0.3927,0.2606,0.1864,0.1337,0.3401,0.413,0.9534,0.1616
14,Bad Bunny,BAILE INoLVIDABLE,Colombia,2lTm559tuIvatlT1u0JYG2,lonely,0.9417,0.9651,0.4153,0.9632,0.9165,0.6286,0.2942,0.9786,0.9704,0.4609
15,"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,Colombia,1YAWMfsmduIrpqrjP45pFn,sensual,0.4148,0.9397,0.0,0.4799,0.3199,0.0,0.0,0.7327,0.9675,0.6846
16,"Blessd, Ovy On The Drums",AMISTA,Colombia,1kJyDcBrZ7rSKnFtKc82vm,null,null,null,null,null,null,null,null,null,null,null
