region,spotify_uri,artist,title,original_lang,dominant_emotion,emotion_love,emotion_angst,emotion_joy,emotion_heartbreak,emotion_empowerment,emotion_party,emotion_despair,emotion_hope,emotion_nostalgia,emotion_solitude,emotion_passion,emotion_relaxing
Colombia,4nJJCRYru4QQakCiUA155f,"Mr Plata, El Americano 4KT",Las Muñequitas,es,other,0.4198,0.7733,0.1638,0.5387,0.5946,0.3772,0.2368,0.1735,0.235,0,0.648,0.1225
Colombia,3CBEVPwR3kUXDoTx1lqFUQ,"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),es,solitude,0.8468,0.9166,0.4254,0.7883,0.8381,0.7727,0.7509,0.7923,0.5597,0.9958,0.8744,0.1441
Colombia,2ZyrAym0sRLwt4PhGotHuI,"Ryan Castro, Kapo, Gangsta",LA VILLA,es,nostalgia,0.2096,0.4193,0.3485,0,0.5159,0.4891,0,0.1933,0.5398,0.2245,0.4545,0.5118
Colombia,4KE9Ne3hgh18B3Th4xcylg,Kris R.,GANAS,es,angst,0.459,0.8693,0.161,0.6316,0.4881,0.2124,0.2304,0.29,0.5111,0.2846,0.6721,0.1126
Colombia,6iOndD4OFo7GkaDypWQIou,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,en,love,0.9199,0.6857,0.2911,0,0.4265,0.2457,0,0.1598,0.3548,0,0.9179,0.3638
Colombia,1HEwEN64NjgTaHmo7LfkX8,Beéle,no tiene sentido,es,other,0.8587,0.9455,0,0.8316,0.4753,0.5299,0.7556,0.3391,0.7759,0.3816,0.8741,0
Colombia,7mU1fei7P9h4mpjP2Otdw5,"J Balvin, Ryan Castro, DJ Snake",Tonto,es,party,0.1913,0.7963,0.4372,0,0.5836,0.8779,0,0,0.661,0,0.6206,0.1018
Colombia,6VfL3MEuYeJbDlD8m011HR,Beéle,quédate,es,heartbreak,0.9364,0.9512,0.1994,0.9551,0.6241,0.2508,0.6045,0.2497,0.8033,0.519,0.9456,0
Colombia,5yXt80BNZGbmHFd0NHZHNn,Grupo Firme,El Beneficio De La Duda,es,other,0.3181,0.3192,0.2785,0.1734,0.4932,0.1728,0,0.5905,0.1766,0,0.283,0.2715
Colombia,2E4TYekUduml1DWIqQWNcj,"Yeison Jimenez, Luis Alfonso",Destino Final,es,party,0.6064,0,0.5851,0,0.6457,0.9595,0,0.187,0.5366,0,0.4817,0.7361
Colombia,5U3sC7aA5NxoMSeI1kmO2n,"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,es,love,0.9212,0.8146,0.2826,0.4963,0.5405,0.2241,0.4472,0.3539,0.6395,0.4627,0.9086,0
Colombia,6rZno3nqeT7hv2PnSWRuYS,Blessd,YOGURCITO,es,passion,0.8357,0.5306,0.5381,0,0.8063,0.4708,0,0.4584,0.1696,0.476,0.9024,0.6874
Colombia,4zhk2RS2EZODmBW6il55Qj,"Beéle, Ovy On The Drums",mi refe,es,love,0.9869,0.8802,0.3927,0.2606,0.7617,0.2849,0.1337,0.3401,0.2796,0.1475,0.9423,0.103
Colombia,2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,es,party,0.9417,0.8987,0.4153,0.9632,0.6729,0.9892,0.6286,0.2942,0.9,0.7879,0.9381,0.1534
Colombia,1YAWMfsmduIrpqrjP45pFn,"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,es,nostalgia,0.5617,0.7738,0.1862,0.5061,0.6851,0.2907,0,0.1069,0.8823,0.8385,0.8818,0
Colombia,1kJyDcBrZ7rSKnFtKc82vm,"Blessd, Ovy On The Drums",AMISTA,es,angst,0.8015,0.8225,0.2784,0.7297,0.4817,0.2104,0.1659,0.6657,0.6655,0.231,0.7369,0
Colombia,7nrd0eIftH3NQLfgk20Qp9,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",he,passion,0.6745,0.6761,0.4765,0.3179,0.786,0.4123,0,0.1797,0.4253,0.5513,0.9339,0.1343
Colombia,433eYQkvCgJKXh1o7LtplV,Yeison Jimenez,Por Qué la Envidia,es,angst,0,0.7909,0,0.7028,0.3483,0.1201,0.4155,0,0,0.3673,0.2186,0
Colombia,1PREzVLuDT6PSE9sej4wnV,"Fuerza Regida, Grupo Frontera",COQUETA,es,other,0.8836,0.9258,0.1263,0.8438,0.347,0.1464,0.1326,0.204,0.8275,0.409,0.9148,0
Colombia,5NbIHx26LyFkW2oSNSCYBV,"Blessd, Ovy On The Drums","""EMHDM""",es,love,0.6369,0.4732,0.1066,0.4893,0.4525,0.1058,0.3603,0,0.2832,0,0.567,0
Colombia,46ufabZP6oK3ixmN6Gd753,"Ryan Castro, Dongo",SANKA,es,party,0.2978,0.8297,0.2138,0.1437,0.7552,0.9938,0,0.1629,0.3409,0,0.6967,0
Colombia,3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,es,passion,0.8705,0.7411,0.7961,0.5457,0.7136,0.3917,0,0.6442,0.5967,0,0.8821,0.1165
Colombia,4zqFA9MOG86u7uugR8QFDU,"Kapo, Ryan Castro",DÓNDE,es,love,0.9665,0.8678,0.4289,0.1872,0.8421,0.646,0.2377,0.3432,0.7915,0.2937,0.8528,0.1341
Colombia,0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,es,solitude,0.8145,0.6927,0.2435,0.9284,0.631,0.2544,0.7526,0.66,0.8161,0.9595,0.6982,0.1342
Colombia,595wwjQiad6e6lSTScmXvz,Omar Courtz,POR SI MAÑANA NO ESTOY,es,nostalgia,0.9235,0.9278,0.4134,0.9677,0.8092,0.4387,0.6611,0.6974,0.9729,0.9406,0.8708,0.1347
Colombia,2BrfJdTXohQRtWBKsBTIp0,Arcángel,Por Amar A Ciegas,es,solitude,0.8967,0.6658,0.1004,0.8923,0.4875,0,0.3669,0.1505,0.2534,0.8972,0.8563,0
Colombia,0fMjldiEpgjbWQ4bBQwVzH,Kapo,UWAIE,es,love,0.9759,0.3233,0.6875,0.1239,0.7446,0.2278,0,0.4903,0.1242,0,0.9656,0
Colombia,6cZcn282SIMmuO8FHN8634,Yeison Jimenez,Vete,es,heartbreak,0.9652,0.9682,0,0.9918,0.3716,0.1628,0.9671,0,0.2134,0.6746,0.7768,0
Colombia,0Sa8aRfGckW0qUGLrBwoBG,Lenin Ramírez,Todo Lo Fue,es,heartbreak,0.2874,0.9533,0,0.9762,0.4876,0.3063,0.9161,0,0,0.7661,0.9306,0
Colombia,6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,es,nostalgia,0.5536,0.5489,0.6187,0.1103,0.7441,0.4569,0.1006,0.3754,0.9593,0.1305,0.8692,0.21
Colombia,5OQCghydcEeA76eGdJ6GEa,ARIA VEGA,CHÉVERE (joesón_type_beat),es,angst,0.5567,0.9083,0.223,0.4532,0.7005,0.43,0.3257,0.4058,0.5104,0.5394,0.7478,0.1982
Colombia,0Qe2g06yzLBuuSvVmFiweP,"Nanpa Básico, Beéle",Hasta Aquí Llegué,es,heartbreak,0.8364,0.9549,0,0.9604,0.3387,0.2127,0.8546,0,0.5631,0.9499,0.6169,0
Colombia,7koAf6aZgjO6TS7bipfPD0,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,es,empowerment,0.4436,0.3182,0.1626,0.4679,0.5477,0.3449,0,0.2027,0.2554,0,0.4515,0
Colombia,0lMafSfME2iJEE972bsQaK,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,es,passion,0.1257,0.5225,0.1688,0.2029,0.7221,0.7182,0.122,0,0.265,0,0.7406,0.4657
Colombia,614NVFo5csQqRnryl4jXs2,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,es,passion,0.5988,0.689,0.125,0.607,0.7258,0.2804,0.2913,0.2194,0.6581,0.8208,0.836,0
Colombia,4NyUIohBa3CEMGcXURYSOh,Herencia De Grandes,Ya Borracho,es,love,0.9563,0.5442,0.4348,0.3573,0.8542,0.3069,0,0.4324,0.3363,0,0.8665,0
Colombia,1xRRW5ZrL7I9EG8CGZrXHE,"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,unknown,unclassified,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,39L3LdlHS3gqB62HPWaJRg,Bad Bunny,NO ME QUIERO CASAR,es,angst,0.1613,0.8645,0.1187,0.7709,0.5517,0.2026,0.1866,0.2621,0.5799,0.7383,0.6968,0
Colombia,2QP041AcWg8PwPIWP95RKN,Beéle,top diesel,es,love,0.9872,0.9815,0.3747,0.9172,0.4722,0.4755,0.9015,0.3501,0.8146,0.1485,0.9611,0.2273
Colombia,7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,en,empowerment,0.639,0.4235,0.2829,0,0.7809,0.4081,0,0.4967,0.5861,0.1531,0.696,0.1578
Colombia,4acvrfbXrDPFQNNDnFZnpC,"Luister La Voz, maikol el insoportable",Ozono,unknown,unclassified,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,3kcr3teEgyTOVIAxMPOPeO,Yeison Jimenez,Un Perro Enamorado,es,love,0.9818,0.1266,0.1,0,0,0,0,0,0,0,0.9552,0
