rank,artist,title,region,spotify_uri,lyrics
1,"Mr Plata, El Americano 4KT",Las Muñequitas,Colombia,4nJJCRYru4QQakCiUA155f,"(Dímelo, ¿me vas a dar lo que yo pido?)
Dame tu amor, tu corazón
Enchapado en oro y en billetes, mi amor (Omarion King Beat)
Hazme volar, pero en avión
Quiero ser la reina de Miami a New York
Los 4KT

A todas las muñequita' le gustan los hombres malo'
Que tiene pistola' y balas como Halo
Que culeen bien pa' nunca olvidarlo
Que le pongan cacho' pa' todo' los día' llorarlo
A toa' estás perra' le gustan los hombres malo'
Que tiene pistola' y balas como Halo
Que culeen bien pa' nunca olvidarlo
Y que le pongan cacho, brother, pa' después llorarlo

(Será que yo lе puedo pedir un favorcito)
Ella se cree Yailin, yo mе le senté en la silla
Viene, me lo mama, te besa y no se cepilla
Le corro la tanga y se la meto por la orilla
El bueno tiene el pipí pequeño y no le hace ni cosquillas
Aló, aló, otra perra a la vista
De noche prepago y de día manicurista
Sale en los catálogos y no son de revista
Van al gimnasio y el gordito las conquista
Un perreo en la suite a las 6 de la mañana
Una perra mala, Catalina Santana
Que se preste ella, la amiga y la hermana
Recién me conoció me lo entregó por la fama
En lo oscuro, que tu novio no te vea
Mírala como mueve las tapa'
A los malo' nos busca la DEA
Esa carita 'e mala te delata

Ella viene de mamar, no la bese', no la bese'
Viene de mamar, no la bese', no la bese'
Ella viene de mamar, no la bese', no la bese'
No la bese', no la bese', no la bese'

A todas las muñequita' le gustan los hombres malo'
Que tiene pistola' y balas como Halo
Que culeen bien pa' nunca olvidarlo
Que le pongan cacho' pa' todo' los día' llorarlo
A todas las muñequita' le gustan los hombres malo'
Que tiene pistola' y balas como Halo
Que culeen bien pa' nunca olvidarlo, pa' nunca olvidarlo

Ella es una muñeca, ella es muñeca 'e la mafia
Su estilo no es de aquí, es de otra galaxia
Le gustan los bandido', los gánster pasa'o 'e farmacia
El amor pa' ella no existe, eso no es importancia
Esa linda e' una mala, es amante a los extremo'
Desde que anda con los malo' no le gustan más los bueno'
Nosotros somos bandidos, codeína y Sprite me enveneno
La mala que queremos en la trinchera la tenemo' (Papi)
La señorita quiere plata por eso anda con los malo'
Desde muy pequeña a ella le gustan los regalos
Sabe que soy un bandido de verdad, que yo la jalo
Que le doy muy feo cuando droga yo me instalo

Ella viene de mamar, no la bese', no la bese'
Viene de mamar, no la bese', no la bese'
Ella viene de mamar, no la bese', no la bese'
No la bese', no la bese', no la bese'

The fama fucking gone
Jaja, le cambiamos el juego
Con el Americano y los 4KT
Mera, dime
¿Qué lo qué?
De Tumaco a Tura y de Tura a Tumaco
Pa' que las perras se quiten los taco'
Grr-grr
¿Qué lo qué?
¿Qué lo qué?
Los 4KT, los 4KT
El Americano is back
Por cantar me mandan pack
Por cantar me mandan foto de los pussy
Andamos con Mr Plata y los TFG
¿Qué lo qué?
¿Qué lo qué?
¿Qué lo qué?
Jaja
Blows Duvaaan (A todas las muñequita' le gustan los hombres malo')"
2,"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),Colombia,3CBEVPwR3kUXDoTx1lqFUQ,"ARIA VEGA, Ryan Castro
La costeñita premium y el Awoo
Qué chimba, SOG
CHÉVERE Remix
¡Plo-plo-plo-plo!

Yo a ti no te quiero pa' un rato
Yo a ti te quiero pa' siempre
No sé por qué nos alejamo'
Como yo no te quiero ausente
Y tú, baby, ay, tú me gusta' full, ey
Imagina una vida cool
Tú y yo bajo un cielo azul
Oye, bebé (Yeah)

Uh, dime cómo lo consigo (Awoo)
Mi amor, tú aquí me tiene', solitario en el olvido (Yeah)
El pan está caliente, ¿y pa' qué va' a comerlo frío?
Hoy te la tiro true, plena, juntico' somos un mood (Upa, je)

Sabes que estoy puesta pa' ti, pa' ti, pa' ti (Pa' ti)
Que yo a nadie miro así, así, así (Que yo a nadie miro así)
Apriétame y no me deje' ir, no me deje' ir, no, uh-yeah
Sabes que estoy puesto pa' ti, pa' ti, pa' ti (Pa' ti)
Que yo a nadie miro así, así, así (Uy)
Acércate y no me deje' ir, no me deje' ir, woh, uh-yeah (Uh-yeah, ¡plo-plo-plo!)

Ay, costeñita, mamacita, a mí me gusta tu style
Si me pide' que te llegue, yo te llego a one time (Oh)
Me le pongo romántico tomando red wine
Contigo yo quiero una Caribbean life
Yo sé que a ti te gusta el flow de este bad boy
Caballero con dinero y coleto como Totoy
Monta'o en el bote, en el mar hay un party (¡Plo, plo, plo, plo!)
Energía caliente en Quillami

Ay, ay, chévere (Óyelo)
Costeñita hasta que quedemo' chévere' (Óyelo)
Ya estamo' 3:15 y pasamo' chévere'
Ponte las pila' o habla pa' ve', te has queda'o, ponte la 10 (¡Plo-plo-plo!)
Ay, chévere, un guarito para que quedemo' chévere (Salud)
Estamo' en la farra y me siento chévere
Ponte las pila' o habla pa' ve'
Te has queda'o, ponte la 10 (Pa' ve')

Uh, dime cómo lo consigo
Papá, tú aquí me tiene', solitarioaen el olvido (Yeah)
El pan está caliente, ¿y pa' qué va' a comerlo frío?
Hoy te la tiro true, plena, juntico' somos un mood (Je)

Sabes que estoy puesta pa' ti, pa' ti, pa' ti (Pa' ti)
Que yo a nadie miro así, así, así (Que yo a nadie miro así)
Apriétame y no me deje' ir, no me deje' ir, no, uh-yeah
Sabes que estoy puesto pa' ti, pa' ti, pa' ti (Pa' ti)
Que yo a nadie miro así, así, así (Uy)
Acércate y no me deje' ir, no me deje' ir, woh, uh-yeah (Uh-yeah, oye)

Dame lu', I give you luz verde, babe
Un futuro caribbean, Costa vibe
Con la lanchita lista en el muelle
Una casita en Puerto frente al mar
Y si quiere' city
Nos vamo' pa' la Arenosa, don't thinkin'
Lo feo, ¿pa' qué? Si yo pienso en lo pretty
Traje con la mini mini

Ay, ay, chévere (Óyelo)
Costeñita hasta que quedemo' chévere' (Óyelo)
Ya estamo' 3:15 y pasamo' chévere'
Ponte las pila' o habla pa' ve', te has queda'o, ponte la 10 (¡Plo-plo-plo!)
Ay, chévere, un guarito para que quedemo' chévere (Salud)
Estamo' en la farra y me siento chévere
Ponte las pila' o habla pa' ve'
Te has queda'o, ponte la 10

Upa, je, ah, ah
Yo soy ARIA VEGA, yeah
¿Está chévere o no está chévere?
¡Plo-plo-plo!
Vacílate esta, tiburón
Dí-Dí-Dímelo, HOKAI BEATS
Awoo
Cule vibe
La Nena de Quilla"
3,"Ryan Castro, Kapo, Gangsta",LA VILLA,Colombia,2ZyrAym0sRLwt4PhGotHuI,"Kapo, Ryan Castro, Gangsta
Qué chimba, SOG
The real combination one more time
Again and again and again

Yeah, ay, si quiere me busca', me busca' en un party
Si quiere me busca', me busca que aquí 'toy
Me gusta tu boca y la curva de tu body
Ven, bailemo', que ya casi me voy
Que suene duro ese vals y si entra el awoo
Mami, que prendan los flash
Yo no me voy de aquí si no tengo una peli black
Que escuche dancehall y tenga grande eso atrás
Un recuerdo, un flashback
Hasta sin joya' tú brilla'
Eso nuevecito, mamacita, cero milla'
Vamos todo el finde a parcharno' en la villa
Esto es secretico donde nadie nos pilla
Nadie nos pilla

Ay, una que baile dancehall el doctor me recetó
Su mini, mini, mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini, mini, mini a mí me hipnotizó
Una que baile dancehall el doctor me recetó
Su mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini a mí me hipnotizó

Llego to'a la mafia que convoquen las muñeca'
Hoy yo voy salido pa' la lleca
Vamo' pa' la finca después de la discoteca
No te haga' la santa, mamacita, que tú peca'
Oh, no, baby, don't go, vamo' a cogerlo slow
Siente la vibra escuchando este dancehall
Pero tenemo' algo pendiente tú y yo después de este show, awoo
Bye-bye, todos nos miran, pero chao
Bye-bye, conmigo estás chimba, no woman, no cry
Aunque yo ya sé que e' la que menos runfly
Bam-bam-biram, bam-bam

Ay, una que baile dancehall el doctor me recetó
Su mini, mini, mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini, mini, mini a mí me hipnotizó
Una que baile dancehall el doctor me recetó
Su mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini a mí me hipnotizó

Ay, me fascina tu style, me fascina tu style, arrebata
Hopi bo sanka, mami, me sonsaca
Y pon la mano en la pared
Así tal cual el doctor me la médico
Nada genérico, original, sin químico
Yo soy su Kapo, también soy su lollipop
Brilla mi lollipop, como estrella de pop, mami
Be-bebé, bye

Ayy, ay, ay
Bam-bam-biram, bam-bam
Tu booty smile
Ayy, ay, ay
Bam-bam-biram, bam-bam

Una que baile dancehall el doctor me recetó
Su mini, mini, mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini, mini a mí me hipnotizó
Una que baile dancehall el doctor me recetó
Su mini, mini, mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini a mí me hipnotizó

Yo, Gangsta"
4,Kris R.,GANAS,Colombia,4KE9Ne3hgh18B3Th4xcylg,"Yeah, yeah
Yeah, yeah

Mi amor, culeemos como si me mataran mañana
Venga, yo le hago el favor
Usted sabe que hace tiempo le llevo ganas

¿Cuál es tu misterio?
Hemos chimbea'o, hemos habla'o
A nada hemos llega'o, tú no me tomas en serio
No metemos sentimientos, tú enferma por culear
Y yo soy tu remedio

No te voy a mentir, nos hicimos daño
Me enredo en otras pieles y más tе extraño (Eh)
Yo contigo quería todo, tú me usastе de paño
Qué gonorrea, no alcanzamos ni a llegar al año
Yo a ti te conozco, ma
Se nos va a ir esta vida, pero en otra vida me vas a tener que amar
Usted pa' mí era mi vida y qué malparida cómo me llegó a pagar
Di-Di-Di-Di-Di-Di-Dime, mami, si quiere' y lo repetimo'
Momentos viejos, con sexo los revivimo'
Tú me pediste tiempo, en ese tiempo nos perdimo'
Dime si nos vemos en el lugar que nos comimo'
Quiero culearte una vez más
Te recojo en la G-Class, te meto en la parte 'e atrás (Shh)
Sabes de lo que soy capaz, no importa si hay alguien más
Tú eres mía hasta que yo decida
Y todo duele, pero me hago el loco
Yo a ti no te olvido, tú a mí tampoco
Tuve que borrar todas las fotos
Quedó en el olvido lo de nosotros
No, no, no, hable claro, amor, si fue que me olvidó
Nadie se ve tan chimba como tú y yo
Si hay alguien más, yo te doy tu espacio
Pero hagámoslo por última vez
Si te llamo, amor, no es pa' que me colgués (No)
Es para que revivamos las noches de sex
Uno siempre vuelve a donde algún día feliz fue

Mi amor, culeemos como si me mataran mañana
Venga, yo le hago el favor
Usted sabe que hace tiempo le llevo ganas (Jeje)

¿Cuál es tu misterio?
Hemos chimbea'o, hemos habla'o
A nada hemos llega'o, tú no me tomas en serio
No metemos sentimientos, tú enferma por culear
Y yo soy tu remedio

Normal, no sé ni qué voy a hacer con usted, de buenas
Qué vuelta todo lo que pasó, cómo me pagó
Sabe que yo estaba puesto pa' usted, pero
¿Qué es lo que somos, pues?
Sisas, La K
El trap de Medallo, el trap de Colombia
Una valija en sentimiento
Háblales, Monja
Mejor dicho, jaja
Es pa' que la escuche, me piense
Y me pegue la llamadita, jajaja
Háblales, OG
Háblales, Magic"
5,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Colombia,6iOndD4OFo7GkaDypWQIou,"O-O-Ovy On The Drums
You're the apple of my eye, you
Are everything I want
A beer to quench the thirst? Nah
Better to be kissed by your little mouth, my love
Temptations like you
Deserve sinners like me
Oh, if you want it, just give the signal (Aye)
You know I won't say no

Ay, you've got that magic
You really have that little something I love, it drives me crazy (Ay-ay)
Sleeping with you was love at first sight, when you danced like that
On the neck, kisses and tongue, I know you love it, it drives you crazy
I know you love it, it drives you crazy
And sometimes

Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh (For real)
Ooh, ooh, ooh
Ooh (Listen), ooh, ooh

Hey, the thing is that ever since I saw your face
I fell in love with all of you, you've just got that something and I don't know what it is
I feel like the same thing happens to you when I look at you
What do you say, we chill and watch the sunrise together? (Prra)
I wanna do everything, I want you to be my everthing
I tell you, ""Rub it, go ahread,"" and then she comes and rubs it (Ooh-ah)
Let's meet up later
If you don't like hell, why you flirting with the devil?
And she, a cutie from Medellín, and I'm from the coast, a coleto
I press her close on a single tile
To keep it real with you, no fake stuff
It's clear you're pure poison

Ay, you've got that magic
You really have that little something I love, it drives me crazy (Ay-ay)
Sleeping with you was love at first sight, when you danced like that
On the neck, kisses and tongue, I know you love it, it drives you crazy (Ooh)
I know you love it, it drives you crazy
And sometimes

Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh (Listen, for real)
Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh

Beéle
Ovy On The Rasta Drums
W Sound
Aye
Alright"
6,Beéle,no tiene sentido,Colombia,1HEwEN64NjgTaHmo7LfkX8,"(¡Uh-wu-wu-wu-wu-wu-wu-wu!)
Baby, ¿Qué tú espera'? (Ah-ah)
Si tú y yo conectamo' la primera vez que nos vimo' a los ojo'
No hay manera (Óyelo), de que me olvide de esa piel canela
Quedaron secuela' de esa noche (Yeah, yeah)

Que tú y yo paramo' el tiempo
Frente a frente (Alright), cuerpo a cuerpo
Yo no sé por qué tan lejos, vo', ah-ah

No tiene sentido que con esto que sentimo'
Tú esté' por otro camino, no еs normal
Bebé, tú allá y yo acá
Eso no tiene sеntido, baby, si ya coincidimo'
Y un par de cosas vivimo', no es normal
Bebé, tú allá y yo acá
Eso no tiene sentido (No; wuh-wuh-wuh)
Eso no tiene sentido (No; aye)
No tiene sentido (No; alright, wu-wu-wu-wu)
No tiene sentido (Óyelo)

Dime, mami, ¿qué fue? ¿Qué se me hizo? (Uh)
Que hace tiempo no te localizo (Uh)
Manda ubi que yo te aterrizo (Wuh-wuh)
Te pienso y me erizo (Aye)
A tu nombre yo me desahogo
El video que hicimo' a vece' lo utilizo
Las ganas en el cielo y la ropa en el piso
Bebé (Bebé), hace tiempo que no te veo (Que no)
Que no me escribes (Que no), que no te leo (Que no)
Con mi mente a veces peleo (Que no)
Porque me dice (Que no) que me olvide, baby

Que tú y yo paramo' el tiempo (Tú y yo)
Frente a frente, cuerpo a cuerpo
Yo no sé por qué tan lejos, vo' (Alright, alright), ah-ah

No tiene sentido que con esto que sentimo'
Tú esté' por otro camino, no es normal
Bebé, tú allá y yo acá
Eso no tiene sentido, baby, si ya coincidimo'
Y un par de cosas vivimo', no es normal
Bebé, tú allá y yo acá
Eso no tiene sentido (No; wuh-wuh-wuh)
Eso no tiene sentido (No; aye)
No tiene sentido (No; alright, wu-wu-wu-wu)
No tiene sentido (No; óyelo)"
7,"J Balvin, Ryan Castro, DJ Snake",Tonto,Colombia,7mU1fei7P9h4mpjP2Otdw5,"No se puede decir grosería'
Soy Godzilla y presento
DJ Snake
SOG
J Balvin
Ryan Castro
Latino gang
Awoo

Tonto, ni que tonto
Tonto, yo quiero tonto
Tonto, ni que tonto
'Tá rica pa' hacerle wikiri-wikiri-wikiri-wa
Tonto, ni que tonto
Tonto, yo quiero tonto
Tonto, ni que tonto
'Tá rica pa' hacerle wikiri-wikiri-wikiri-wa (Awoo)

Mmm, me siento como Kendrick en Compton
Con una chimba montada en el Phantom
La cubana con las Jordan Concord
No colaboramo' con los tombo' (Plo)
Mami, clap-clap ese bombo
Muévelo pa' mí y pa' mi combo
¿Pa' qué me invitan, si saben cómo me pongo?
Tú no estás rica, tú 'tás rica con co (Wikiri-wikiri-wikiri-wa)

Tonto, ni que tonto
Tonto, yo quiero tonto (Plo)
Tonto, ni que tonto
'Tá rica pa' hacerle wikiri-wikiri-wikiri-wa
Tonto, ni que tonto
Tonto, yo quiero tonto (Plo)
Tonto, ni que tonto
'Tá rica pa' hacerle wikiri-wikiri-wikiri-wa, wikiri-wikiri-wikiri

De weekend en Toronto
Si no es la G-Wa, es en la Bronco
Cada que tengo un party, la monto
No, no, no, Mutombo
El gato volador como El Chombo
Perro de raza, putongo
Me la como en PR como mofongo (Pu-pu-pum)
Y no soy un gomelo de colombo

Tonto, ni que tonto
Tonto, yo quiero tonto
Tonto, ni que tonto
'Tá rica pa' hacerle wikiri-wikiri-wikiri-wa
Tonto, ni que tonto
Tonto, yo quiero tonto
Tonto, ni que tonto
'Tá rica pa' hacerle wikiri-wikiri-wikiri-wa

Yah
Yah
Yah
Wikiri-wikiri-wikiri-wa
Yah
Yah
Yah
Wikiri-wikiri-wikiri-wa"
8,Beéle,quédate,Colombia,6VfL3MEuYeJbDlD8m011HR,"¿Cómo le explico al corazón que quieres irte?
Si tienes dudas, mami, no te estoy mintiendo
Mira mis ojos mientras mi alma se desviste
Los que miras justo cuando me estoy viniendo
Cómo quisiera que estuvieras aquí
Me sintieras a mí al ladito tuyo
Pa' que veas que yo no puedo fingir
Y me puedo morir por los besos tuyos
Cómo quisiera que estuvieras aquí
Me sintieras a mí al ladito tuyo
Pa' que veas que yo no puedo fingir
Y me puedo morir por los besos tuyos

Ven quédate, quédate
No puedo estar sin ti
Quédate, quédate
Oh-oh, no puedo estar sin ti
Oh, no-no-no
Oh, no-no-no
Quédate
No puedo estar sin ti

Este que está aquí a ti no te quiere dejar
Este que está aquí también se deja llevar
Estamo' destinados a juntos celebrar la Navidad
Esto nunca tuvo sentido, fuimos en contra de la Ley Universal
Qué visaje, cule' viaje
Dime cómo evitamos las señales
A veces yo quisiera que no pare
Pero esto me va a matar
Quiero ver qué responde, no me tira ni: ""Hola""
Y yo aquí con cule' bartola
Pensando en toda' las noche' que estuvimos a solas
Y no le parábamos bolas
Chingando con un feeling, somos Reyes de las Olas
Estoy frente a tu alma, porfa, ma', déjame entrar
Permíteme que entienda' que no existe nadie más
Y si me quedo contigo es porque tú eres la mondá

Ven quédate (quédate), quédate (quédate)
No puedo estar sin ti (sin ti)
Quédate, quédate
No, no puedo estar sin ti
Oh, no-no-no
Oh, no-no-no
Quédate (alright, alright)
No puedo estar sin ti"
9,Grupo Firme,El Beneficio De La Duda,Colombia,5yXt80BNZGbmHFd0NHZHNn,"Sé que ahora lo último que quieres es saber cómo me encuentro
Pero, por si acaso llegas a pensar en mí un momento
Quiero que sepas que yo también estoy pensando en ti
Y también me queda claro que no te interesan mis historias
La versión mía de los hechos no me llevará a la gloria
Pero, de algún modo, sé que no me dejaría tan mal

No me merezco el benеficio de la duda
Mas lo voy a agradecer si acaso un día mе lo regalas
Tú y yo no estamos pa' estar sufriendo por estupideces
Nos podemos arreglar si todavía te quedan ganas
Y no quisiera que me malinterpretaras
Pero a los dos nos conviene que le demos vuelta a la hoja
Se nos va a poner difícil eso de andarle buscando en otras gentes
Otros modos, otros cuerpos, otras bocas

Tú y yo estábamos viviendo algo bonito
Y disculpa si es que te vuelvo a insistir
Solo dame el beneficio de la duda
Y no te vas a arrepentir
(Ra-ra-ra-ra-ri-ra)
(Ra-ra-ra-ra-ri-ra)

¡Y puro Grupo Firme!
¡Uh!

No me merezco el beneficio de la duda
Mas lo voy a agradecer si acaso un día me lo regalas
Tú y yo no estamos pa' estar sufriendo por estupideces
Nos podemos arreglar si todavía te quedan ganas
Y no quisiera que me malinterpretaras
Pero a los dos nos conviene que le demos vuelta a la hoja
Se nos va a poner difícil eso de andarle buscando en otras gentes
Otros modos, otros cuerpos, otras bocas

Tú y yo estábamos viviendo algo bonito
Y disculpa si es que te vuelvo a insistir
Solo dame el beneficio de la duda
Y no te vas a arrepentir

(Ay, la-ra-la)
(La-ra-la)
(La-ra-la)
(La-ra-la, ah-ah)"
10,"Yeison Jimenez, Luis Alfonso",Destino Final,Colombia,2E4TYekUduml1DWIqQWNcj,"Y cántele lindo, ¡señorazo!

Yo sé que algún día, el día en que me muera tendrá que llegar
Yo no quiero honores, ni llantos ni flores, quiero descansar
Por eso es que en vida no le tengo miedo cuando hay que gastar
¿Para qué la guardo? Si cuando me vaya, aquí se va a quedar

Por eso es que vivo feliz y contento
Yo no me desgasto esperando el momento
Por eso prefiero estar con mis parceros, esa es la que hay

Y vamos a sacarle el jugo a esta vida pero un poquito contentosos
Dícelo, Luis Alfonso

Que prendan la fiesta y que truene la banda
Que traigan cerveza y se arme la parranda
Que lluevan mujeres, que suenen guitarras para disfrutar
Que el último beso sea el de mi madre
Que la Virgencita me los acompañe
Que sean mis caballos los que a mí me lleven
Al destino final

¡Yeison Jimenez!
Lindo, lindo, Luis Alfonso
Este es el señorazo y Yeison Jimenez
¡Georgy Parra!
Salvaje
Con el corazón
¡Ay!

Por eso es que vivo feliz y contento
Yo no me desgasto esperando el momento
Por eso prefiero estar con mis parceros, esa es la que hay

Que prendan la fiesta y que truene la banda
Que traigan cerveza y se arme la parranda
Que lluevan mujeres, que suenen guitarras para disfrutar
Que el último beso sea el de mi madre
Que la Virgencita me los acompañe
Que sean mis caballos los que a mí me lleven
Al destino final"
