rank,artist,title,region,language,spotify_uri
1,"Mr Plata, El Americano 4KT",Las Muñequitas,Colombia,es,4nJJCRYru4QQakCiUA155f
2,"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),Colombia,es,3CBEVPwR3kUXDoTx1lqFUQ
3,"Ryan Castro, Kapo, Gangsta",LA VILLA,Colombia,es,2ZyrAym0sRLwt4PhGotHuI
4,Kris R.,GANAS,Colombia,es,4KE9Ne3hgh18B3Th4xcylg
5,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Colombia,en,6iOndD4OFo7GkaDypWQIou
6,Beéle,no tiene sentido,Colombia,es,1HEwEN64NjgTaHmo7LfkX8
7,"J Balvin, Ryan Castro, DJ Snake",Tonto,Colombia,es,7mU1fei7P9h4mpjP2Otdw5
8,Beéle,quédate,Colombia,es,6VfL3MEuYeJbDlD8m011HR
9,Grupo Firme,El Beneficio De La Duda,Colombia,es,5yXt80BNZGbmHFd0NHZHNn
10,"Yeison Jimenez, Luis Alfonso",Destino Final,Colombia,es,2E4TYekUduml1DWIqQWNcj
11,"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,Colombia,es,5U3sC7aA5NxoMSeI1kmO2n
12,Blessd,YOGURCITO,Colombia,es,6rZno3nqeT7hv2PnSWRuYS
13,"Beéle, Ovy On The Drums",mi refe,Colombia,es,4zhk2RS2EZODmBW6il55Qj
14,Bad Bunny,BAILE INoLVIDABLE,Colombia,es,2lTm559tuIvatlT1u0JYG2
15,"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,Colombia,es,1YAWMfsmduIrpqrjP45pFn
16,"Blessd, Ovy On The Drums",AMISTA,Colombia,es,1kJyDcBrZ7rSKnFtKc82vm
17,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",Colombia,he,7nrd0eIftH3NQLfgk20Qp9
18,Yeison Jimenez,Por Qué la Envidia,Colombia,es,433eYQkvCgJKXh1o7LtplV
19,"Fuerza Regida, Grupo Frontera",COQUETA,Colombia,es,1PREzVLuDT6PSE9sej4wnV
20,"Blessd, Ovy On The Drums","""EMHDM""",Colombia,es,5NbIHx26LyFkW2oSNSCYBV
21,"Ryan Castro, Dongo",SANKA,Colombia,es,46ufabZP6oK3ixmN6Gd753
22,Bad Bunny,DtMF,Colombia,es,3sK8wGT43QFpWrvNQsrQya
23,"Kapo, Ryan Castro",DÓNDE,Colombia,es,4zqFA9MOG86u7uugR8QFDU
24,"J Balvin, Bad Bunny",LA CANCIÓN,Colombia,es,0fea68AdmYNygeTGI4RC18
25,Omar Courtz,POR SI MAÑANA NO ESTOY,Colombia,es,595wwjQiad6e6lSTScmXvz
26,Arcángel,Por Amar A Ciegas,Colombia,es,2BrfJdTXohQRtWBKsBTIp0
27,Kapo,UWAIE,Colombia,es,0fMjldiEpgjbWQ4bBQwVzH
28,Yeison Jimenez,Vete,Colombia,es,6cZcn282SIMmuO8FHN8634
29,Lenin Ramírez,Todo Lo Fue,Colombia,es,0Sa8aRfGckW0qUGLrBwoBG
30,Bad Bunny,EoO,Colombia,es,6J5kc12BW5HuP3d7C3vvx8
31,ARIA VEGA,CHÉVERE (joesón_type_beat),Colombia,es,5OQCghydcEeA76eGdJ6GEa
32,"Nanpa Básico, Beéle",Hasta Aquí Llegué,Colombia,es,0Qe2g06yzLBuuSvVmFiweP
33,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,Colombia,es,7koAf6aZgjO6TS7bipfPD0
34,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,Colombia,es,0lMafSfME2iJEE972bsQaK
35,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,Colombia,es,614NVFo5csQqRnryl4jXs2
36,Herencia De Grandes,Ya Borracho,Colombia,es,4NyUIohBa3CEMGcXURYSOh
37,"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,Colombia,unknown,1xRRW5ZrL7I9EG8CGZrXHE
38,Bad Bunny,NO ME QUIERO CASAR,Colombia,es,39L3LdlHS3gqB62HPWaJRg
39,Beéle,top diesel,Colombia,es,2QP041AcWg8PwPIWP95RKN
40,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Colombia,en,7d6yK8v8J484SWH5prIQiE
41,"Luister La Voz, maikol el insoportable",Ozono,Colombia,unknown,4acvrfbXrDPFQNNDnFZnpC
42,Yeison Jimenez,Un Perro Enamorado,Colombia,es,3kcr3teEgyTOVIAxMPOPeO
43,Arcángel,Pa' Que La Pases Bien,Colombia,es,1pLCpA1RN8avJxSD3ZCwhj
44,"El Bogueto, Yung Beef",Cuando No Era Cantante,Colombia,es,6N2iccqxRInhTLHc2Fu3W0
45,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Colombia,es,6C1RD7YQVvt3YQj0CmuTeu
46,Bad Bunny,VOY A LLeVARTE PA PR,Colombia,es,59D4DOkspUbWyMmbAPQkxZ
47,Arcángel,Hace Mucho Tiempo,Colombia,es,0a6ogDrZBvYgDjILgsQVaJ
48,"Feid, ATL Jacob",LUNA,Colombia,en,7bywjHOc0wSjGGbj04XbVi
49,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,Colombia,unknown,2pbSCYzxrG0wa6qcj8IyiE
50,Kris R.,MIL D AURA,Colombia,es,0LvxvoeJmdhkxRIC4orlJ3
51,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,Colombia,es,7sRXb5IgYWwVv1DaavHSNs
52,Plan B,Es un Secreto,Colombia,es,3KZCP2StVGdWkOKyRZNWA4
53,Yeison Jimenez,MLP,Colombia,es,4DAMvNqHt0s8zJr6JwOoye
54,"Blessd, Los Money Makers, Prodmonja",URUS BLUE,Colombia,es,4sTnItbNUAcS5KDG6vTA5B
55,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Colombia,es,0JoHqmlqE0W0i9prt6kcHR
56,"Danny Ocean, Kapo",Imagínate,Colombia,es,7ns16ylM6sbxo9ZWIwyE5d
