spotify_uri,language,lyrics_en
4nJJCRYru4QQakCiUA155f,es,"(Tell me, are you going to give me what I ask for?)
Give me your love, your heart
Plated in gold and in bills, my love (Omarion King Beat)
Make me fly, but on a plane
I want to be the queen from Miami to New York
The 4KT

All the little dolls like bad men
That has a gun and bullets like Halo
Let them fuck well to never forget it
Let them make him cry all day long
All of you bitches like bad men
That has a gun and bullets like Halo
Let them fuck well to never forget it
And let them give him shit, brother, to cry about it later

(Maybe I can ask you a favor)
She thinks she is Yailin, I sat in her chair
He comes, he sucks me, he kisses you and he doesn't brush
I remove her thong and put it along the edge
The good guy has a small pee and it doesn't even tickle him
Hello, hello, another bitch in sight
Prepaid at night and manicurist during the day
It appears in catalogs and they are not from magazines
They go to the gym and the chubby guy conquers them
A twerk in the suite at 6 in the morning
A bad bitch, Catalina Santana
Let her, her friend and her sister lend themselves
He just met me and gave it to me for fame.
In the dark, don't let your boyfriend see you
Look at her how she moves the covers'
The DEA is looking for the bad guys
That bad face gives you away

She comes from suckling, don't kiss her, don't kiss her
It comes from sucking, don't kiss it, don't kiss it
She comes from suckling, don't kiss her, don't kiss her
Don't kiss her, don't kiss her, don't kiss her

All the little dolls like bad men
That has a gun and bullets like Halo
Let them fuck well to never forget it
Let them make him cry all day long
All the little dolls like bad men
That has a gun and bullets like Halo
Let them fuck well to never forget it, to never forget it

She's a doll, she's a mafia doll
His style is not from here, it is from another galaxy
He likes bandits, gangsters and pharmacies
Love for her does not exist, that is not important
That pretty girl is a bad girl, she is a lover to the extreme
Since he's been with the bad ones, he doesn't like the good ones any more.
We are bandits, codeine and Sprite poisoned me
We have the bad one we want in the trench' (Daddy)
The lady wants money that's why she hangs out with the bad guys.
Since she was very little she likes gifts.
She knows that I am a real bandit, that I pull her
That I get very ugly when I take drugs

She comes from suckling, don't kiss her, don't kiss her
It comes from sucking, don't kiss it, don't kiss it
She comes from suckling, don't kiss her, don't kiss her
Don't kiss her, don't kiss her, don't kiss her

The fame fucking gone
Haha, we changed the game
With the American and the 4KT
Mera, tell me
What what what?
From Tumaco to Tura and from Tura to Tumaco
So that the bitches can take off their heels
Grr-grr
What what what?
What what what?
The 4KT, the 4KT
The American is back
For singing they send me a pack
For singing they send me a photo of their pussy
We go with Mr Plata and the TFG
What what what?
What what what?
What what what?
Haha
Blows Duvaaan (All dolls like bad men)"
3CBEVPwR3kUXDoTx1lqFUQ,es,"ARIA VEGA, Ryan Castro
The premium costñita and the Awoo
What a joke, SOG
CHÉVERE Remix
Plo-plo-plo-plo!

I don't love you for a while
I love you forever
I don't know why we walked away
Since I don't want you absent
And you, baby, oh, I like you full, hey
Imagine a cool life
You and me under a blue sky
Hey baby (Yeah)

Uh, tell me how I get it (Awoo)
My love, you have me here, lonely in oblivion (Yeah)
The bread is hot, and why are you going to eat it cold?
Today I'll throw it at you true, full, together' we are a mood (Upa, heh)

You know I'm ready for you, for you, for you (For you)
That I look at no one like this, like that, like that (That I look at no one like that)
Squeeze me and don't let me go, don't let me go, no, uh-yeah
You know that I am ready for you, for you, for you (For you)
That I don't look at anyone like that, like that, like that (Oops)
Come closer and don't let me go, don't let me go, woh, uh-yeah (Uh-yeah, plo-plo-plo!)

Oh, costñita, mamacita, I like your style
If you ask me to get it to you, I'll get it to you in one time (Oh)
I get romantic by drinking red wine
With you I want a Caribbean life
I know that you like the flow of this bad boy
Gentleman with money and tail like Totoy
Ride the boat, there's a party in the sea (Plo, plo, plo, plo!)
Hot energy in Quillami

Oh, oh, cool (Hey)
Costeñita until we are 'cool' (Óyelo)
We're already at 3:15 and we had a great time
Get your act together' or talk pa' go', you've stayed, put on the 10 (Plo-plo-plo!)
Oh, cool, a little place to make us look cool (Cheers)
We're in the party and I feel cool
Get your act together or talk to see
You've stayed, put on 10 (Pa' go')

Uh, tell me how I get it
Dad, you have me here, alone in oblivion (Yeah)
The bread is hot, and why are you going to eat it cold?
Today I'll throw it to you true, full, together' we are a mood (Heh)

You know I'm ready for you, for you, for you (For you)
That I look at no one like this, like that, like that (That I look at no one like that)
Squeeze me and don't let me go, don't let me go, no, uh-yeah
You know that I am ready for you, for you, for you (For you)
That I don't look at anyone like that, like that, like that (Oops)
Come closer and don't let me go, don't let me go, woh, uh-yeah (Uh-yeah, hey)

Give me lu', I give you the green light, babe
A Caribbean future, Costa vibe
With the boat ready at the dock
A little house in Puerto facing the sea
And if you want' city
We're going to La Arenosa, don't thinkin'
The ugly, for what? If I think about how pretty
Suit with mini mini

Oh, oh, cool (Hey)
Costeñita until we are 'cool' (Óyelo)
We're already at 3:15 and we had a great time
Get your act together' or talk pa' go', you've stayed, put on the 10 (Plo-plo-plo!)
Oh, cool, a little place to make us look cool (Cheers)
We're in the party and I feel cool
Get your act together or talk to see
You're left, put on 10

Upa, heh, ah, ah
I am ARIA VEGA, yeah
Is it cool or not cool?
Plo-plo-plo!
Get out of here, shark
Say-Say-Tell me, HOKAI BEATS
Awoo
Cule vibe
Quilla's Babe"
2ZyrAym0sRLwt4PhGotHuI,es,"Kapo, Ryan Castro, Gangsta
What a joke, SOG
The real combination one more time
Again and again and again

Yeah, oh, if he wants, he'll look for me, he'll look for me at a party
If you want, look for me, look for me here
I like your mouth and the curve of your body
Come, let's dance, I'm almost leaving
Let that waltz sound hard and if the awoo comes in
Mommy, turn on the flashes
I'm not leaving here if I don't have a black movie
Let him listen to dancehall and have that great behind him
A memory, a flashback
Even without a jewel you shine
That's brand new, mamacita, zero mile'
We go all weekend to party in the town
This is secret where no one catches us
Nobody catches us

Oh, one that dancehall dance the doctor prescribed me
His mini, mini, mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
His mini, mini, mini, mini hypnotized me
One that dancehall dance the doctor prescribed me
Your mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
Your mini, mini hypnotized me

The mafia has arrived to summon the dolls
Today I'm going out for the lleca
Let's go to the farm after the disco
Don't act like a saint, mamacita, because you sin.
Oh, no, baby, don't go, let's take it slow
Feel the vibe listening to this dancehall
But we have something pending, you and I after this show, awoo
Bye-bye, everyone is looking at us, but bye
Bye-bye, you are chimba with me, no woman, no cry
Although I already know that it is the one with the least runfly
Bam-bam-biram, bam-bam

Oh, one that dancehall dance the doctor prescribed me
His mini, mini, mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
His mini, mini, mini, mini hypnotized me
One that dancehall dance the doctor prescribed me
Your mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
Your mini, mini hypnotized me

Oh, your style fascinates me, your style fascinates me, captivate
Hopi bo sanka, mommy, coax me
And put your hand on the wall
Just like the doctor treated me
Nothing generic, original, without chemicals
I am your Kapo, I am also your lollipop
My lollipop shines, like a pop star, mommy
Baby-baby, bye

Ayy, ay, ay
Bam-bam-biram, bam-bam
Your booty smile
Ayy, ay, ay
Bam-bam-biram, bam-bam

One that dancehall dance the doctor prescribed me
His mini, mini, mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
His mini, mini, mini hypnotized me
One that dancehall dance the doctor prescribed me
His mini, mini, mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
Your mini, mini hypnotized me

I, Gangsta"
4KE9Ne3hgh18B3Th4xcylg,es,"Yeah, yeah
Yeah, yeah

My love, let's fuck like they'll kill me tomorrow
Come on, I'll do you a favor
You know I've been wanting you for a long time

What is your mystery?
We have chimbea'o, we have spoken'o
We have come to nothing, you don't take me seriously
We don't introduce feelings, you get sick from fucking
And I am your remedy

I'm not going to lie to you, we got hurt.
I get tangled in other skins and I miss you more (Eh)
I wanted everything with you, you used me as cloth
What gonorrhea, we can't even make it to a year
I know you, ma
This life is going to go away, but in another life you are going to have to love me
You were my life for me and what a shame how you managed to pay me
Di-Di-Di-Di-Di-Di-Tell me, mommy, if you want' and we'll repeat it'
Old moments, with sex we relive them'
You asked me for time, in that time we got lost'
Tell me if we'll meet at the place we ate'
I want to fuck you one more time
I'll pick you up in the G-Class, I'll put you in the back (Shh)
You know what I'm capable of, it doesn't matter if there's anyone else
You are mine until I decide
And everything hurts, but I act crazy
I won't forget you, you won't forget me either
I had to delete all the photos
What about us was forgotten
No, no, no, speak clearly, love, if it was that you forgot me
Nobody looks as cool as you and me
If there is someone else, I will give you your space
But let's do it one last time
If I call you, love, it's not for you to hang up on me (No)
It's so we can relive the nights of sex
One always returns to where one happy day was

My love, let's fuck like they'll kill me tomorrow
Come on, I'll do you a favor
You know I've been wanting it for a long time (Hehe)

What is your mystery?
We have chimbea'o, we have spoken'o
We have come to nothing, you don't take me seriously
We don't introduce feelings, you get sick from fucking
And I am your remedy

Normal, I don't even know what I'm going to do with you, of course.
What a twist everything that happened, how it paid me
You know that I was interested in you, but
What are we, then?
Armholes, The K
Medallo's trap, Colombia's trap
A suitcase in feeling
Talk to them, Nun
Better said, haha
It's for me to listen to it, think about it
And he gave me the call, hahaha
Talk to them, OG
Talk to them, Magic"
6iOndD4OFo7GkaDypWQIou,en,"O-O-Ovy On The Drums
You're the apple of my eye, you
Are everything I want
A beer to quench the thirst? Nah
Better to be kissed by your little mouth, my love
Temptations like you
Deserve sinners like me
Oh, if you want it, just give the signal (Aye)
You know I won't say no

Ay, you've got that magic
You really have that little something I love, it drives me crazy (Ay-ay)
Sleeping with you was love at first sight, when you danced like that
On the neck, kisses and tongue, I know you love it, it drives you crazy
I know you love it, it drives you crazy
And sometimes

Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh (For real)
Ooh, ooh, ooh
Ooh (Listen), ooh, ooh

Hey, the thing is that ever since I saw your face
I fell in love with all of you, you've just got that something and I don't know what it is
I feel like the same thing happens to you when I look at you
What do you say, we chill and watch the sunrise together? (Prra)
I wanna do everything, I want you to be my everthing
I tell you, ""Rub it, go ahread,"" and then she comes and rubs it (Ooh-ah)
Let's meet up later
If you don't like hell, why you flirting with the devil?
And she, a cutie from Medellín, and I'm from the coast, a coleto
I press her close on a single tile
To keep it real with you, no fake stuff
It's clear you're pure poison

Ay, you've got that magic
You really have that little something I love, it drives me crazy (Ay-ay)
Sleeping with you was love at first sight, when you danced like that
On the neck, kisses and tongue, I know you love it, it drives you crazy (Ooh)
I know you love it, it drives you crazy
And sometimes

Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh (Listen, for real)
Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh

Beéle
Ovy On The Rasta Drums
W Sound
Aye
Alright"
1HEwEN64NjgTaHmo7LfkX8,es,"(Uh-wu-wu-wu-wu-wu-wu-wu!)
Baby, what are you waiting for? (Ah-ah)
If you and I connected the first time we saw each other's eyes
There is no way (Hey) that I can forget that cinnamon skin
There was an aftereffect of that night (Yeah, yeah)

That you and I stop time
Face to face (Alright), melee
I don't know why so far, vo', ah-ah

It doesn't make sense that with this that I feel'
You are on another path, it is not normal
Baby, you there and I here
That doesn't make sense, baby, if we already agree'
And we experienced a couple of things, it's not normal
Baby, you there and I here
That doesn't make sense (No; wuh-wuh-wuh)
That doesn't make sense (No; aye)
It doesn't make sense (No; alright, wu-wu-wu-wu)
It doesn't make sense (Listen to it)

Tell me, mommy, what was it? What was done to me? (uh)
I haven't found you in a while (Uh)
Send ubi and I'll land you (Wuh-wuh)
I think of you and I get scared (Aye)
In your name I unburden myself
I sometimes use the video we made
The desire in the sky and the clothes on the floor
Baby (Baby), I haven't seen you in a while (No)
That you don't write to me (No), that I don't read you (No)
With my mind sometimes I fight (No)
Because he tells me (No) to forget me, baby

That you and I stop time (You and I)
Face to face, body to body
I don't know why so far, vo' (Alright, alright), ah-ah

It doesn't make sense that with this that I feel'
You are on another path, it is not normal
Baby, you there and I here
That doesn't make sense, baby, if we already agree'
And we experienced a couple of things, it's not normal
Baby, you there and I here
That doesn't make sense (No; wuh-wuh-wuh)
That doesn't make sense (No; aye)
It doesn't make sense (No; alright, wu-wu-wu-wu)
It doesn't make sense (No; listen)"
7mU1fei7P9h4mpjP2Otdw5,es,"You can't say rude things
I am Godzilla and I present
DJ Snake
SOG
J Balvin
Ryan Castro
Latino gang
Awoo

Silly, not so stupid
Fool, I want fool
Silly, not so stupid
'It's so delicious to make it wikiri-wikiri-wikiri-wa
Silly, not so stupid
Fool, I want fool
Silly, not so stupid
'It's so delicious to make it wikiri-wikiri-wikiri-wa (Awoo)

Mmm, I feel like Kendrick in Compton
With a chimba mounted on the Phantom
The Cuban with the Jordan Concord
We do not collaborate with the tombos (Plo)
Mommy, clap-clap that bass drum
Move it for me and for my combo
Why do they invite me, if they know what I look like?
You are not rich, you are rich with co (Wikiri-wikiri-wikiri-wa)

Silly, not so stupid
Fool, I want fool (Plo)
Silly, not so stupid
'It's so delicious to make it wikiri-wikiri-wikiri-wa
Silly, not so stupid
Fool, I want fool (Plo)
Silly, not so stupid
'It's so rich to make it wikiri-wikiri-wikiri-wa, wikiri-wikiri-wikiri

Weekend in Toronto
If it's not the G-Wa, it's the Bronco
Every time I have a party, I set it up
No, no, no, Mutombo
The Flying Cat as El Chombo
Purebred dog, putongo
I eat it in PR like mofongo (Pu-pu-pum)
And I'm not a gomelo from Colombo

Silly, not so stupid
Fool, I want fool
Silly, not so stupid
'It's so delicious to make it wikiri-wikiri-wikiri-wa
Silly, not so stupid
Fool, I want fool
Silly, not so stupid
'It's so delicious to make it wikiri-wikiri-wikiri-wa

Yah
Yah
Yah
Wikiri-wikiri-wikiri-wa
Yah
Yah
Yah
Wikiri-wikiri-wikiri-wa"
6VfL3MEuYeJbDlD8m011HR,es,"How do I explain to my heart that you want to leave?
If you have doubts, mommy, I'm not lying to you
Look at my eyes while my soul undresses
The ones you look at just when I'm coming
How I wish you were here
You felt me next to you
So you can see that I can't pretend
And I can die for your kisses
How I wish you were here
You felt me next to you
So you can see that I can't pretend
And I can die for your kisses

Come stay, stay
I can't be without you
stay, stay
Oh-oh, I can't be without you
Oh, no-no-no
Oh, no-no-no
stay
I can't be without you

This one who is here doesn't want to leave you
This one here also gets carried away
We are destined to celebrate Christmas together
This never made sense, we went against Universal Law
What a trip, what a trip
Tell me how we avoid the signs
Sometimes I wish it wouldn't stop
But this is going to kill me
I want to see what he answers, he doesn't even say: ""Hello""
And I'm here with cule' bartola
Thinking about all the nights we were alone
And we didn't stop him
Chingando with a feeling, we are Kings of the Waves
I am in front of your soul, please, ma', let me in
Let me understand that there is no one else
And if I stay with you it's because you are the coolest

Come stay (stay), stay (stay)
I can't be without you (without you)
stay, stay
No, I can't be without you
Oh, no-no-no
Oh, no-no-no
Stay (alright, alright)
I can't be without you"
5yXt80BNZGbmHFd0NHZHNn,es,"I know the last thing you want now is to know how I'm feeling.
But just in case you think about me for a moment
I want you to know that I'm thinking about you too.
And it's also clear to me that you're not interested in my stories.
My version of events will not lead me to glory
But somehow I know it wouldn't make me so bad

I don't deserve the benefit of the doubt
But I will be grateful if one day you give it to me
You and I are not here to suffer from stupid things
We can fix it if you still feel like it
And I wouldn't want you to misunderstand me
But it's in both of our best interests to turn a new leaf.
It's going to be difficult for us to look for him in other people.
Other ways, other bodies, other mouths

You and I were living something beautiful
And sorry if I insist again
Just give me the benefit of the doubt
And you won't regret it
(Ra-ra-ra-ra-ri-ra)
(Ra-ra-ra-ra-ri-ra)

And pure Firm Group!
Ooh!

I don't deserve the benefit of the doubt
But I will be grateful if one day you give it to me
You and I are not here to suffer from stupid things
We can fix it if you still feel like it
And I wouldn't want you to misunderstand me
But it's in both of our best interests to turn a new leaf.
It's going to be difficult for us to look for him in other people.
Other ways, other bodies, other mouths

You and I were living something beautiful
And sorry if I insist again
Just give me the benefit of the doubt
And you won't regret it

(Oh, la-ra-la)
(La-ra-la)
(La-ra-la)
(La-ra-la, ah-ah)"
2E4TYekUduml1DWIqQWNcj,es,"And sing to him beautifully, sir!

I know that someday, the day I die will have to come
I don't want honors, nor tears nor flowers, I want to rest
That's why in life I'm not afraid of when you have to spend.
What do I keep it for? If when I leave, here it will stay

That's why I live happy and content
I don't waste myself waiting for the moment
That's why I prefer to be with my partners, that's who there is

And we are going to get the most out of this life but a little happy
Say it, Luis Alfonso

Let the party turn on and let the band thunder
Let them bring beer and start the party
Let it rain women, let guitars play to enjoy
May the last kiss be that of my mother
May the Virgin accompany me
Let my horses be the ones that carry me
To the final destination

Yeison Jimenez!
Cute, cute, Luis Alfonso
This is the great lady and Yeison Jimenez
Georgy Parra!
wild
with the heart
Ouch!

That's why I live happy and content
I don't waste myself waiting for the moment
That's why I prefer to be with my partners, that's who there is

Let the party turn on and let the band thunder
Let them bring beer and start the party
Let it rain women, let guitars play to enjoy
May the last kiss be that of my mother
May the Virgin accompany me
Let my horses be the ones that carry me
To the final destination"
