artist,title,language,spotify_uri
"Mr Plata, El Americano 4KT",Las Muñequitas,unknown,4nJJCRYru4QQakCiUA155f
"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),unknown,3CBEVPwR3kUXDoTx1lqFUQ
"Ryan Castro, Kapo, Gangsta",LA VILLA,unknown,2ZyrAym0sRLwt4PhGotHuI
Kris R.,GANAS,unknown,4KE9Ne3hgh18B3Th4xcylg
"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,unknown,6iOndD4OFo7GkaDypWQIou
Beéle,no tiene sentido,unknown,1HEwEN64NjgTaHmo7LfkX8
"J Balvin, Ryan Castro, DJ Snake",Tonto,unknown,7mU1fei7P9h4mpjP2Otdw5
Beéle,quédate,unknown,6VfL3MEuYeJbDlD8m011HR
Grupo Firme,El Beneficio De La Duda,unknown,5yXt80BNZGbmHFd0NHZHNn
"Yeison Jimenez, Luis Alfonso",Destino Final,unknown,2E4TYekUduml1DWIqQWNcj
"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,unknown,5U3sC7aA5NxoMSeI1kmO2n
Blessd,YOGURCITO,unknown,6rZno3nqeT7hv2PnSWRuYS
"Beéle, Ovy On The Drums",mi refe,unknown,4zhk2RS2EZODmBW6il55Qj
Bad Bunny,BAILE INoLVIDABLE,unknown,2lTm559tuIvatlT1u0JYG2
"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,unknown,1YAWMfsmduIrpqrjP45pFn
"Blessd, Ovy On The Drums",AMISTA,unknown,1kJyDcBrZ7rSKnFtKc82vm
"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",unknown,7nrd0eIftH3NQLfgk20Qp9
Yeison Jimenez,Por Qué la Envidia,unknown,433eYQkvCgJKXh1o7LtplV
"Fuerza Regida, Grupo Frontera",COQUETA,unknown,1PREzVLuDT6PSE9sej4wnV
"Blessd, Ovy On The Drums","""EMHDM""",unknown,5NbIHx26LyFkW2oSNSCYBV
"Ryan Castro, Dongo",SANKA,unknown,46ufabZP6oK3ixmN6Gd753
Bad Bunny,DtMF,unknown,3sK8wGT43QFpWrvNQsrQya
"Kapo, Ryan Castro",DÓNDE,unknown,4zqFA9MOG86u7uugR8QFDU
"J Balvin, Bad Bunny",LA CANCIÓN,unknown,0fea68AdmYNygeTGI4RC18
Omar Courtz,POR SI MAÑANA NO ESTOY,unknown,595wwjQiad6e6lSTScmXvz
Arcángel,Por Amar A Ciegas,unknown,2BrfJdTXohQRtWBKsBTIp0
Kapo,UWAIE,unknown,0fMjldiEpgjbWQ4bBQwVzH
Yeison Jimenez,Vete,unknown,6cZcn282SIMmuO8FHN8634
