artist,title,language,spotify_uri
"Mr Plata, El Americano 4KT",Las Muñequitas,es,4nJJCRYru4QQakCiUA155f
"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),es,3CBEVPwR3kUXDoTx1lqFUQ
"Ryan Castro, Kapo, Gangsta",LA VILLA,en,2ZyrAym0sRLwt4PhGotHuI
Kris R.,GANAS,es,4KE9Ne3hgh18B3Th4xcylg
"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,en,6iOndD4OFo7GkaDypWQIou
Beéle,no tiene sentido,es,1HEwEN64NjgTaHmo7LfkX8
"J Balvin, Ryan Castro, DJ Snake",Tonto,es,7mU1fei7P9h4mpjP2Otdw5
Beéle,quédate,es,6VfL3MEuYeJbDlD8m011HR
Grupo Firme,El Beneficio De La Duda,es,5yXt80BNZGbmHFd0NHZHNn
"Yeison Jimenez, Luis Alfonso",Destino Final,es,2E4TYekUduml1DWIqQWNcj
"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,es,5U3sC7aA5NxoMSeI1kmO2n
Blessd,YOGURCITO,es,6rZno3nqeT7hv2PnSWRuYS
"Beéle, Ovy On The Drums",mi refe,es,4zhk2RS2EZODmBW6il55Qj
Bad Bunny,BAILE INoLVIDABLE,es,2lTm559tuIvatlT1u0JYG2
"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,es,1YAWMfsmduIrpqrjP45pFn
"Blessd, Ovy On The Drums",AMISTA,es,1kJyDcBrZ7rSKnFtKc82vm
"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",he,7nrd0eIftH3NQLfgk20Qp9
Yeison Jimenez,Por Qué la Envidia,es,433eYQkvCgJKXh1o7LtplV
"Fuerza Regida, Grupo Frontera",COQUETA,es,1PREzVLuDT6PSE9sej4wnV
"Blessd, Ovy On The Drums","""EMHDM""",es,5NbIHx26LyFkW2oSNSCYBV
"Ryan Castro, Dongo",SANKA,tl,46ufabZP6oK3ixmN6Gd753
Bad Bunny,DtMF,es,3sK8wGT43QFpWrvNQsrQya
"Kapo, Ryan Castro",DÓNDE,es,4zqFA9MOG86u7uugR8QFDU
"J Balvin, Bad Bunny",LA CANCIÓN,es,0fea68AdmYNygeTGI4RC18
Omar Courtz,POR SI MAÑANA NO ESTOY,es,595wwjQiad6e6lSTScmXvz
Arcángel,Por Amar A Ciegas,es,2BrfJdTXohQRtWBKsBTIp0
Kapo,UWAIE,es,0fMjldiEpgjbWQ4bBQwVzH
Yeison Jimenez,Vete,es,6cZcn282SIMmuO8FHN8634
Lenin Ramírez,Todo Lo Fue,es,0Sa8aRfGckW0qUGLrBwoBG
Bad Bunny,EoO,es,6J5kc12BW5HuP3d7C3vvx8
ARIA VEGA,CHÉVERE (joesón_type_beat),es,5OQCghydcEeA76eGdJ6GEa
"Nanpa Básico, Beéle",Hasta Aquí Llegué,es,0Qe2g06yzLBuuSvVmFiweP
"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,en,7koAf6aZgjO6TS7bipfPD0
"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,en,0lMafSfME2iJEE972bsQaK
"Héctor ""El Father"", Wisin & Yandel",El Teléfono,es,614NVFo5csQqRnryl4jXs2
Herencia De Grandes,Ya Borracho,es,4NyUIohBa3CEMGcXURYSOh
"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,unknown,1xRRW5ZrL7I9EG8CGZrXHE
Bad Bunny,NO ME QUIERO CASAR,es,39L3LdlHS3gqB62HPWaJRg
Beéle,top diesel,es,2QP041AcWg8PwPIWP95RKN
"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,en,7d6yK8v8J484SWH5prIQiE
"Luister La Voz, maikol el insoportable",Ozono,unknown,4acvrfbXrDPFQNNDnFZnpC
Yeison Jimenez,Un Perro Enamorado,es,3kcr3teEgyTOVIAxMPOPeO
Arcángel,Pa' Que La Pases Bien,es,1pLCpA1RN8avJxSD3ZCwhj
"El Bogueto, Yung Beef",Cuando No Era Cantante,es,6N2iccqxRInhTLHc2Fu3W0
"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,es,6C1RD7YQVvt3YQj0CmuTeu
Bad Bunny,VOY A LLeVARTE PA PR,es,59D4DOkspUbWyMmbAPQkxZ
Arcángel,Hace Mucho Tiempo,es,0a6ogDrZBvYgDjILgsQVaJ
"Feid, ATL Jacob",LUNA,en,7bywjHOc0wSjGGbj04XbVi
"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,unknown,2pbSCYzxrG0wa6qcj8IyiE
Kris R.,MIL D AURA,es,0LvxvoeJmdhkxRIC4orlJ3
"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,es,7sRXb5IgYWwVv1DaavHSNs
Plan B,Es un Secreto,es,3KZCP2StVGdWkOKyRZNWA4
Yeison Jimenez,MLP,es,4DAMvNqHt0s8zJr6JwOoye
"Blessd, Los Money Makers, Prodmonja",URUS BLUE,es,4sTnItbNUAcS5KDG6vTA5B
