artist,title,spotify_uri,lyrics
"Ryan Castro, Kapo, Gangsta",LA VILLA,2ZyrAym0sRLwt4PhGotHuI,"Kapo, Ryan Castro, Gangsta
Qué chimba, SOG
The real combination one more time
Again and again and again

Yeah, ay, si quiere me busca', me busca' en un party
Si quiere me busca', me busca que aquí 'toy
Me gusta tu boca y la curva de tu body
Ven, bailemo', que ya casi me voy
Que suene duro ese vals y si entra el awoo
Mami, que prendan los flash
Yo no me voy de aquí si no tengo una peli black
Que escuche dancehall y tenga grande eso atrás
Un recuerdo, un flashback
Hasta sin joya' tú brilla'
Eso nuevecito, mamacita, cero milla'
Vamos todo el finde a parcharno' en la villa
Esto es secretico donde nadie nos pilla
Nadie nos pilla

Ay, una que baile dancehall el doctor me recetó
Su mini, mini, mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini, mini, mini a mí me hipnotizó
Una que baile dancehall el doctor me recetó
Su mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini a mí me hipnotizó

Llego to'a la mafia que convoquen las muñeca'
Hoy yo voy salido pa' la lleca
Vamo' pa' la finca después de la discoteca
No te haga' la santa, mamacita, que tú peca'
Oh, no, baby, don't go, vamo' a cogerlo slow
Siente la vibra escuchando este dancehall
Pero tenemo' algo pendiente tú y yo después de este show, awoo
Bye-bye, todos nos miran, pero chao
Bye-bye, conmigo estás chimba, no woman, no cry
Aunque yo ya sé que e' la que menos runfly
Bam-bam-biram, bam-bam

Ay, una que baile dancehall el doctor me recetó
Su mini, mini, mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini, mini, mini a mí me hipnotizó
Una que baile dancehall el doctor me recetó
Su mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini a mí me hipnotizó

Ay, me fascina tu style, me fascina tu style, arrebata
Hopi bo sanka, mami, me sonsaca
Y pon la mano en la pared
Así tal cual el doctor me la médico
Nada genérico, original, sin químico
Yo soy su Kapo, también soy su lollipop
Brilla mi lollipop, como estrella de pop, mami
Be-bebé, bye

Ayy, ay, ay
Bam-bam-biram, bam-bam
Tu booty smile
Ayy, ay, ay
Bam-bam-biram, bam-bam

Una que baile dancehall el doctor me recetó
Su mini, mini, mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini, mini a mí me hipnotizó
Una que baile dancehall el doctor me recetó
Su mini, mini, mini, mini a mí me hipnotizó
Sexy gyal, tú anda' suelta, mami, lo sé to'
Su mini, mini a mí me hipnotizó

Yo, Gangsta"
Bad Bunny,BAILE INoLVIDABLE,2lTm559tuIvatlT1u0JYG2,"Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y solamente verte en el atardecer
Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi baile inolvidable
Y fuiste tú mi baile inolvidable
Eh-eh, eh-eh
Eh-eh, eh-eh

Mientras uno está vivo
Uno debe amar lo más que pueda

Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y ver pa'l cielo a ver si te veo caer
Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi baile inolvidable

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

Yeah-yeah-yeah-yeah, ey
Dime cómo le hago pa' olvidarte
Hay un paso nuevo que quiero enseñarte
En las noche' ya ni puedo dormir
Lo que hago es soñarte

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

Cómo tú me besabas, cómo yo te lo hacía
Cómo tú me mirabas, bellaquito me ponía
Se siente feo no tenerte cerquita
La nueva mama bien, pero no es tu boquita
Mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, ey

Esto suena cabrón
Vamo' a hacerlo otra ve'
Como anoche, como anoche
Tan, tan, ta-na-na, ta-na-na
Aprieta, chamaquito, aprieta
¡Ahí, ahí, ahí, vamo' allá!

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

Ay, yo con cualquiera me puedo acostar
Pero no con cualquiera quiero despertar
Solo con usted, con usted
Yo bailo con usted, na' más con usted
Un beso donde estés, donde estés, bebé

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

Y yo he tenido muchas novia'
Pero como tú, ninguna
Ya no tengo mi sol, me paso en la luna
Si te pienso, me tiro de una
Eh-eh, mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, eh-eh"
"El Bogueto, Yung Beef",Cuando No Era Cantante,6N2iccqxRInhTLHc2Fu3W0,"Jajajajaja
Jaja, QueHicisteBella

Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
(Antes de que yo me hiciera un gánster)

Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación
Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación

Como antеs, baby, vamo' a hacerlo como antes
Como cuando no era cantantе
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'
Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'

Deja de esconderte, vo'a salir a buscarte
Deja demostrarte que ya no soy el de ante'
Rico vo'a tratarte, lo nuestro, eso e' aparte
Vamo' a hacer deporte, después pa'l restaurante
Baby, vamo' a hacerlo, 'cerlo duro como ante'
Y si tú quiere', mañana puede' olvidarte
Y dale un beso a tu mamá de mi parte
Y si tú quiere', ya sabe' dónde encontrarme

Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
(Antes de que yo fuera un gánster)
(Antes de que yo fuera cantante)

Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación
Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor (Prr)
Como lo hacíamos antes dentro de tu habitación (Ah, ah)

Ando por la calle, ando en el joseo
Tú sabes, mami, yo me cuido de los feos
Pendiente a ti, a las otras yo ni las leo
Extraño los perreos dándote de'o
Me tienes preso, ven, dame de eso
Eso a mí me dejó el cora ileso
Te juro que ha sido difícil el proceso
Ando con culos, pero, mami, yo te pienso
Y ahora soy un bandido, pero roto
Vamos pa' la Louis V, yo te la exploto
Ma', todavía tengo las fotos
Estoy loquito por romperte ese toto

(Mami, extraño tu olor, necesito tu calor)
(Ven, que yo te quiero hacer el amor)
(Escuchando de fondo La Mafia del Amor)
(Como lo hacíamos antes dentro de tu habitación)

Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'
Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'

Jajajajaja
Jaja, QueHicisteBella"
La T y La M,Soy Favela,3TfRpsYPQSXqqramSoWlNg,"¡Ay!

He caminado tantas calles pero no he encontrado a nadie que tenga toa' su belleza
Soy de un barrio humilde pero aún mi corazón se enamoró de esta Cenicienta
Ella de zona sur, bonita, ojos azul
Pero su padre es el problema
No importa mi color ni mi condición
Ella es la dueña de mi corazón

Hoy yo la voy a ver
Y voy a hablar de la verdad con ella
Hoy yo la voy a ver
Y voy a hablar de la verdad con ella, ey

Dile a tu padre que yo no quiero dinero
Quе yo tengo una riqueza y que еres tú
Si querés casar, me caso
Vamo' a intentarnos amarnos, mujer
Dile a tu padre que yo no quiero dinero
Que yo tengo una riqueza y que eres tú
Si querés casar, me caso
Vamo' a intentarnos amarnos, mujer

Cumbia, cumbia, cumbia
La T y la M, ja
¡Ay!

He caminado tantas calles pero no he encontrado a nadie que tenga toa' su belleza
Soy de un barrio humilde pero aún mi corazón se enamoró de esta Cenicienta
Ella de zona sur, bonita, ojos azul
Pero su padre es el problema
No importa mi color ni mi condición
Ella es la dueña de mi corazón

Hoy yo la voy a ver
Y voy a hablar de la verdad con ella
Hoy yo la voy a ver
Y voy a hablar de la verdad con ella, ey

Dile a tu padre que yo no quiero dinero
Que yo tengo una riqueza y que eres tú
Si querés casar, me caso
Vamo' a intentarnos amarnos, mujer
Dile a tu padre que yo no quiero dinero
Que yo tengo una riqueza y que eres tú
Si querés casar, me caso
Vamo' a intentarnos amarnos, mujer

Va"
Max Carra,UWAIE - versión cumbia,6UO9DhCUq4ZbQz7PXwelFV,
"Lauta, Amigo de Artistas, Tote",Puñaladas,4AL4EamHEBKPpdcFRkYdXN,"Si tu espejo hablara, te diría esto

Esa cara de ternura sé que esconde una atrevida
Solo quiero dedicarte lo que me queda de vida
¡Qué lindo!, ¡qué lindo!
Quiero darte alta noche y decirte buenos días
Cómo hago para que entiendas que vos me alegrás la vida
¡Qué lindo! (Ah)

Te ves tan linda arreglada
Vos con la almohada pegada
Un domingo a la mañana o un sábado por la noche
Coleccionando miradas
Bailando un toque entonada
Vos sos la piba soñada
Qué dolor no ser tu hombre
Duele como puñaladas (Ah)
(Es Lauta (Ah) con Amigo de Artistas)

Pero más me duele que tú no veas lo bonita que eres
Que a veces no te quieres
Si fuera por mí, te dedico mil atardeceres
Solo para que te quedes un ratito más
Porque algo se apaga cuando tú te vas
Cuando no estas aquí
Siento que te necesito
Eres mi lugar favorito
Pa' que bajarte la luna
Si verte a ti para mí es igual
Pero tú no lo ves (Woh, oh)
Mi enfermedad y mi cura
Me gustas tanto que me haces mal
Pero tú no lo ves

Te ves tan linda arreglada
Vos con la almohada pegada
Un domingo a la mañana o un sábado por la noche
Coleccionando miradas
Bailando un toque entonada
Eres mi chica soñada
Que dolor no ser tu hombre
Duele como puñaladas

Oh-oh, oh-oh (Ah)
Con el Tote
Oh-oh (Ah)
Esa cara de ternura sé que esconde una atrevida
Solo quiero dedicarte lo que me queda de vida
¡Qué lindo! (Ah), ¡qué lindo!"
Bad Bunny,DtMF,3sK8wGT43QFpWrvNQsrQya,"Eh, eh, eh, eh

Otro sunset bonito que veo en San Juan
Disfrutando de todas esas cosas que extrañan los que se van
Disfrutando de noche' de esas que ya no se dan
Que ya no se dan
Pero queriendo volver a la última vez
Que a los ojos te miré
Y contarte las cosas que no te conté (Te parece' a mi crush, jaja)
Y tirarte la' foto' que no te tiré (Acho, jura'o te ves bien linda, déjame tirarte una foto)
Ey, tengo el pecho pela'o, me dio una matá'
El corazón dándome patá'
Dime, baby, ¿dónde tú está'?
Pa' llegarle con RoRo, Julito, Krystal
Roig, Edgar, Seba, Óscar, Darnell y Big Jay, tocando batá
Hoy la calle la dejamo' 'esbaratá
Y sería cabrón que tú me toque' el güiro
Yo veo tu nombre y me salen suspiro'
No sé si son petardo' o si son tiro'
Mi blanquita, perico, mi kilo
Yo estoy en PR, tranquilo, pero

Debí tirar más fotos de cuando te tuve
Debí darte más beso' y abrazo' las vece' que pude
Ey, ojalá que los mío' nunca se muden
Y si hoy me emborracho, pues que me ayuden
Debí tirar más foto' de cuando te tuve
Debí darte más beso' y abrazo' las veces que pude
Ojalá que los mío' nunca se muden
Y si hoy me emborracho, pues que me ayuden

Ey, hoy voy a estar con abuelo to'l día, jugando dominó
Si me pregunta si aún pienso en ti, yo le digo que no
Que mi estadía cerquita de ti ya se terminó
Ya se terminó, ey
Que prendan la' máquina', voy pa' Santurce
Aquí todavía se da caña
Chequéate las babie', diablo, mami, qué dulce
Hoy yo quiero beber, beber, beber
Y hablar mierda hasta que me expulsen
'Toy bien loco ('Toy bien loco), 'toy bien loco ('Toy bien loco)
Cabrón, guía tú, que hasta caminando yo estoy que choco
'Toy bien loco ('Toy bien loco), 'toy bien loco ('Toy bien loco)
Vamo' a disfrutar, que nunca se sabe si nos queda poco
Debí tirar más f—

Gente, lo' quiero con cojone', los amo
Gracias por estar aquí, de verdad
Para mí e' bien importante que estén aquí
Cada uno de ustede' significa mucho para mí
Así que, vamo' pa' la foto, vengan pa'cá
Métase to'l mundo, to'l corillo, vamo'
Zumba

Ya Bernie tiene el nene y Jan la nena
Ya no estamo' pa' la movie' y las cadena'
'Tamos pa' las cosa' que valgan la pena
Ey, pa'l perreo, la salsa, la bomba y la plena
Chequéate la mía cómo es que suena

Debí tirar más fotos de cuando te tuve
Debí darte más besos y abrazo' las veces que pude
Ojalá que los mío' nunca se muden
Y que tú me envíe' más nude'
Y si hoy me emborracho, que Beno me ayude"
"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",Tu jardín con enanitos,6X8DTIJEgHUjZynuds0E2f,"Con este tema, te voy a hacer viajar en el tiempo
Escuchá

Hoy le pido a mis sueños (Hoy le pido a mis sueños)
Que te quiten la ropa (Que te quiten la ropa)
Que conviertan en besos
Todos mis intentos de morderte la boca
Y aunque entiendo que tú
Tú siempre tienes la última palabra en esto del amor

Yo hoy le pido a tu ángel de la guarda que comparta
Que me dé valor y arrojo en la batalla pa' ganarla (Escuchá)

Y es que yo no quiero pasar por tu vida como las modas
No se asuste, señorita, nadie le ha hablado de boda
Yo tan solo quiero ser las cuatro patas de tu cama
Tu guerra todas las noches, tu tregua cada mañana
Quiero ser tu medicina, tus silencios y tus gritos
Tu ladrón, tu policía, tu jardín con enanitos
Quiero ser la escoba que en tu vida barra la tristeza
Quiero ser tu incertidumbre y sobre todo, tu certeza

Ja, esto es Roze
Otra vez, otra vez
Es la V y la V
Max Carra
Ramky en los controle’

Y hoy le pido a la luna (Y hoy le pido a la luna)
Que me alargue esta noche (Que me alargue esta noche)
Y que alumbre con fuerza este sentimiento y baile en los corazones
Y aunque entiendo que tú
Serás siempre ese sueño que quizás nunca podré alcanzar

Y es que yo no quiero pasar por tu vida como las modas
No se asuste, señorita, nadie le ha hablado de boda
Yo tan solo quiero ser las cuatro patas de tu cama
Tu guerra todas las noche' y tu tregua cada mañana
Quiero ser tu medicina, tus silencios y tus gritos
Tu ladrón, tu policía, tu jardín con enanitos
Quiero ser la escoba que en tu vida barra la tristeza
Quiero ser tu incertidumbre y sobre todo, tu certeza"
Bad Bunny,VOY A LLeVARTE PA PR,59D4DOkspUbWyMmbAPQkxZ,"Acho, PR es otra cosa
Yo la conocí en Miami, en Brickell
Ella sabe que aquí hay ticket
Quiere que yo se la aplique
Que pa' casa la trafique

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar (Ey, ey)

Aprovecha, quе estoy soltero (Ay), single
Míramе mal si quiere' que te singue
Te vo'a llevar pa' PR to' el finde
Despué' de mí va' a borrar Tinder
Y estoy suelto, mami, estoy suelto
Mírame ahora, perreando un experto
Estoy suelto, mami, estoy suelto, ey, ey, ey
Hoy la calle está prendía', hookah, pastilla molía'
Yo no pierdo tiempo, yo las cambio como ROSALÍA
La que me mira a los ojo' por cinco segundo' ya yo sé que es mía
¿Dónde están las mala'? Que son bienvenía'
'Toy puesto pa'l lío, dime si tú lía'
Tus amiga' y to' el corillo 'tán bien rica'
Pero ese culo tuyo, wow, sobresalía
Salimo' de la disco y estaba de día
Obviamente salí con la que quería, ey
Que viva la putería
Dale pa'trá', pa'trá', tan-tan, chulería, ey
Dime si te va' a montar, pa' la isla tengo el portal
Bien borracho' los tre', baby, a las do' me las vo'a llevar
Oh, oh, me quiere besar, ja, yo que la puse mal
Tírate fotitos ahora porque ahorita te vo'a despeinar
Yeah-eh-eh-eh-eh

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar, yeah

Yeah, sí, sí
Esto es PR, mami
Aquí nací yo y el reggaetón, pa' que sepa'
Ey, ey, ey
Voy cazando y muero perreando
Voy cazando y muero perreando
Voy cazando y muero perreando
Que bailen toa' las gata', nos fuimo' algarete
'Tás escuchando al que más le mete
Dale, mami, suéltate el grillete
Ponte en cuatro, que te vo'a dar fuete
Ponte en cuatro, que te vo'a dar fue—"
"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,2pbSCYzxrG0wa6qcj8IyiE,"Uh-uh-uh
How pretty that ass loo-oo-ooks
In the bedroom we turn off the li-i-ghts (Jajaja)
When I'm inside you scream ""uh-uh-uh"" (Jajaja, QueHicisteBella)
You go, ""uh-uh-uh""
Cutie, you only call when you're alone
When your parents leave you home alone
Nothing too extravagant
Not a restaurant, I'm an elegant cholo
And what would happen if we saw each other again?
To kill this desire to see each other
To give you those sloppy kisses

Like before, baby, we're gonna do it like before (Fuerza Regida; Real until death, baby; Bo-Bogueto)
Like back when I wasn't a singer (Real until death, baby)
Before I became a gangster (This is the remix; Anuel)

Mami, I miss your scent, I need your warmth
Come here, I want to make love to you
Listening to La Mafia del Amor in the background
Like when we used to fuck in your room
Mami, I miss your scent, I need your warmth
Come here, I want to make love to you
Listening to La Mafia del Amor in the background
Like we did before in your bedroom (The AA)

Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants
Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants

Fucking like before, don't come and complain afterwards
I think about you, and if I call you don't hesitate in picking up
I've seen that you've been looking for love in other places lately
But I step out of the Lamborghini (Oah) and you're gonna get wet (Oah)
I know, baby, baby, I know (Yo sé)
That you feel something in your pussy if you see me (if you see me)
I bought you Prada boots with Chanel perfume (Chanel)
She has a boyfriend, but I fuck her better than him (Uah)
I met her, I waited for her impatiently (I waited for her impatiently)
I fucked her because he wasn't treating her right (Real until death)
She was sad, I got rid of her depression (the depression)
Bitch drops it low, now she has me restless again

We're gonna fuck like it's 2012
With my Draco on top for back when I wasn't famous
I still remember the kilos hidden in my closet (Uah)
You were smoking while I was sucking on your pussy
We're gonna fuck like it's 2012 (2012)
With my Draco on top for back when I wasn't famous (famous)
I still remember the kilos hidden in my closet (Uah)
You were smoking while I was sucking on your pussy (pussy)

Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants

Stop hiding, I'm gonna go out and find you
Let me show you that I'm not the same as before
I'm gonna treat you nice, me and you, we're different
We're gonna play sports, then go to a restaurant
Baby, we're gonna do it, do it hard like before
And if you want, tomorrow you can forget about it
And give your mom a kiss for me
And should you want to, you already know where to find me

Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
(Before I was a gangster)
(Before I was a singer)

Mami, I miss your scent, I need your warmth
Come here, I want to make love to you
Listening to La Mafia del Amor in the background
Like when we used to fuck in your room

We're gonna fuck like back when I wasn't singing
When the packs weren't stacking up yet
Before I got swamped with groupies and fame
Like back when I wasn't anything yet
Before I filled my fucking neck up with diamonds  (Diamonds)
Mami, before you got those implants (-plants)
Back when you loved me, we used to fuck so good
Let yourself go one more time, if you want, then afterwards nothing

Like before, we're gonna eat each other like before
I'll put a diamond ring on you
Of your ass and of your heart I'm a lover (Brr!), baby, come before (El Bogue)

I'm out in the streets, I'm out hustling
Everyday I'm fucking some new ass
But the fame and the money don't fulfill me
Go and tell that guy you were fucking that he can suck me that bastard
I was loyal, you were my real until death
Please don't go, baby, don't let go of me
I want to fuck you on top of $100 dollar bills
For my girl something nice
I'll always be your forbidden love, your real gangster (your real gangster)
I'm at the top, but I can't fuck you
I'll buy you the block, an AP with diamonds
Before the world ends, let's do it like before (Uah, uah)

Mami, I miss your scent, I need your warmth (Real until death)
Come here, I want to make love to you (Real until death)
Listening to La Mafia del Amor in the background (Uah, Uah)
Like we did before in your bedroom

Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants
Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants

Fuerza
Brr, oye
Mera, tell me, Fuerza Regida
Bo-Bogueto
Mera, tell me, Bogueto
The AA
Mera, tell me, Yung Beef
Anuel, brr
Real until death, baby
Jaja, QueHicisteBella"
