artist,title,spotify_uri,original_lang,lyrics_in_en,length,translation_review_required
"Ryan Castro, Kapo, Gangsta",LA VILLA,2ZyrAym0sRLwt4PhGotHuI,es,"Kapo, Ryan Castro, Gangsta
What a joke, SOG
The real combination one more time
Again and again and again

Yeah, oh, if he wants, he'll look for me, he'll look for me at a party
If you want, look for me, look for me here
I like your mouth and the curve of your body
Come, let's dance, I'm almost leaving
Let that waltz sound hard and if the awoo comes in
Mommy, turn on the flashes
I'm not leaving here if I don't have a black movie
Let him listen to dancehall and have that great behind him
A memory, a flashback
Even without a jewel you shine
That's brand new, mamacita, zero mile'
We go all weekend to party in the town
This is secret where no one catches us
Nobody catches us

Oh, one that dancehall dance the doctor prescribed me
His mini, mini, mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
His mini, mini, mini, mini hypnotized me
One that dancehall dance the doctor prescribed me
Your mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
Your mini, mini hypnotized me

The mafia has arrived to summon the dolls
Today I'm going out for the lleca
Let's go to the farm after the disco
Don't act like a saint, mamacita, because you sin.
Oh, no, baby, don't go, let's take it slow
Feel the vibe listening to this dancehall
But we have something pending, you and I after this show, awoo
Bye-bye, everyone is looking at us, but bye
Bye-bye, you are chimba with me, no woman, no cry
Although I already know that it is the one with the least runfly
Bam-bam-biram, bam-bam

Oh, one that dancehall dance the doctor prescribed me
His mini, mini, mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
His mini, mini, mini, mini hypnotized me
One that dancehall dance the doctor prescribed me
Your mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
Your mini, mini hypnotized me

Oh, your style fascinates me, your style fascinates me, captivate
Hopi bo sanka, mommy, coax me
And put your hand on the wall
Just like the doctor treated me
Nothing generic, original, without chemicals
I am your Kapo, I am also your lollipop
My lollipop shines, like a pop star, mommy
Baby-baby, bye

Ayy, ay, ay
Bam-bam-biram, bam-bam
Your booty smile
Ayy, ay, ay
Bam-bam-biram, bam-bam

One that dancehall dance the doctor prescribed me
His mini, mini, mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
His mini, mini, mini hypnotized me
One that dancehall dance the doctor prescribed me
His mini, mini, mini, mini hypnotized me
Sexy gyal, you're loose, mommy, I know everything
Your mini, mini hypnotized me

I, Gangsta",2484,True
Bad Bunny,BAILE INoLVIDABLE,2lTm559tuIvatlT1u0JYG2,es,"I thought I was going to grow old with you
In another life, in another world it may be
In this case I only have to go one day
And only see you in the sunset
If you see me alone and sad, don't talk to me
If they see me alone and sad, I am guilty
Life is a party that one day ends
And you were my unforgettable dance
And you were my unforgettable dance
Eh-eh, eh-eh
Eh-eh, eh-eh

While one is alive
One must love as much as one can

I thought I was going to grow old with you
In another life, in another world it may be
In this case I only have to go one day
And look at the sky to see if I see you fall
If you see me alone and sad, don't talk to me
If they see me alone and sad, I am guilty
Life is a party that one day ends
And you were my unforgettable dance

No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance
No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance

Yeah-yeah-yeah-yeah, hey
Tell me how I can forget you
There is a new step that I want to teach you
At night I can't even sleep anymore
What I do is dream of you

No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance

How you kissed me, how I did it to you
How you looked at me, little beauty made me
It feels ugly not to have you close
The new mom is fine, but she is not your little mouth
My devil, my angel, my crazy
My devil, my angel, my crazy girl, hey

This sounds stupid
Let's do it again
Like last night, like last night
So, so, so-na-na, so-na-na
Squeeze, little boy, squeeze
There, there, there, let's go there!

No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance

Oh, I can sleep with anyone
But not just anyone I want to wake up with
Only with you, with you
I dance with you, nothing more with you
A kiss wherever you are, wherever you are, baby

No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance

And I have had many girlfriends'
But like you, none
I no longer have my sun, I spend myself on the moon
If I think about you, I'll jump
Eh-eh, my devil, my angel, my crazy girl
My devil, my angel, my crazy girl, eh-eh",2083,True
"El Bogueto, Yung Beef",Cuando No Era Cantante,6N2iccqxRInhTLHc2Fu3W0,es,"Hahahahaha
Haha, What Did You DoBella

Like before, baby, let's do it like before
Like when I wasn't a singer
(Before I became a gangster)

Mommy, I miss your smell, I need your warmth
Come, I want to make love to you
Listening to The Love Mafia in the background
Like we did before inside your room
Mommy, I miss your smell, I need your warmth
Come, I want to make love to you
Listening to The Love Mafia in the background
Like we did before inside your room

Like before, baby, let's do it like before
Like when I wasn't a singer
Before I became a gangster
Before you get that 'implant'
Like before, baby, let's do it like before
Like when I wasn't a singer
Before I became a gangster
Before you get that 'implant'

Stop hiding, I'm going to come out and look for you
Let me show you that I'm no longer the one before
Rico I'm going to treat you, our thing, that's apart
Let's go play sports, then go to the restaurant
Baby, let's do it, 'do it hard as before'
And if you want, tomorrow you can forget you
And give your mom a kiss for me
And if you want, you already know where to find me

Like before, baby, let's do it like before
Like when I wasn't a singer
(Before I was a gangster)
(Before I was a singer)

Mommy, I miss your smell, I need your warmth
Come, I want to make love to you
Listening to The Love Mafia in the background
Like we did before inside your room
Mommy, I miss your smell, I need your warmth
Come, I want to make love to you
Listening in the background to The Love Mafia (Prr)
Like we did before inside your room (Ah, ah)

I walk down the street, I walk in the joseo
You know, mommy, I take care of the ugly ones
Pending to you, I don't even read the others
I miss the perreos giving you de'o
You have me prisoner, come, give me that
That left my heart unscathed
I swear the process has been difficult.
I walk with asses, but, mommy, I think of you
And now I'm a bandit, but broken
Let's go to Louis V, I'll exploit it for you
Ma', I still have the photos
I'm crazy to break that thing for you

(Mommy, I miss your smell, I need your warmth)
(Come, I want to make love to you)
(Listening to The Love Mafia in the background)
(Like we did before inside your room)

Like before, baby, let's do it like before
Like when I wasn't a singer
Before I became a gangster
Before you get that 'implant'
Like before, baby, let's do it like before
Like when I wasn't a singer
Before I became a gangster
Before you get that 'implant'

Hahahahaha
Haha, What Did You DoBella",2515,True
La T y La M,Soy Favela,3TfRpsYPQSXqqramSoWlNg,es,,1429,True
Max Carra,UWAIE - versión cumbia,6UO9DhCUq4ZbQz7PXwelFV,unknown,,0,False
"Lauta, Amigo de Artistas, Tote",Puñaladas,4AL4EamHEBKPpdcFRkYdXN,es,,1350,True
Bad Bunny,DtMF,3sK8wGT43QFpWrvNQsrQya,es,,2403,True
"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",Tu jardín con enanitos,6X8DTIJEgHUjZynuds0E2f,es,,1576,True
Bad Bunny,VOY A LLeVARTE PA PR,59D4DOkspUbWyMmbAPQkxZ,es,,1923,True
"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,2pbSCYzxrG0wa6qcj8IyiE,en,,5006,True
