rank,artist,title,region,spotify_uri,dominant_emotion,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
2,"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),Colombia,3CBEVPwR3kUXDoTx1lqFUQ,null,null,null,null,null,null,null,null,null,null,null
4,Kris R.,GANAS,Colombia,4KE9Ne3hgh18B3Th4xcylg,null,null,null,null,null,null,null,null,null,null,null
7,"J Balvin, Ryan Castro, DJ Snake",Tonto,Colombia,7mU1fei7P9h4mpjP2Otdw5,null,null,null,null,null,null,null,null,null,null,null
9,Grupo Firme,El Beneficio De La Duda,Colombia,5yXt80BNZGbmHFd0NHZHNn,null,null,null,null,null,null,null,null,null,null,null
10,"Yeison Jimenez, Luis Alfonso",Destino Final,Colombia,2E4TYekUduml1DWIqQWNcj,null,null,null,null,null,null,null,null,null,null,null
11,"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,Colombia,5U3sC7aA5NxoMSeI1kmO2n,null,null,null,null,null,null,null,null,null,null,null
12,Blessd,YOGURCITO,Colombia,6rZno3nqeT7hv2PnSWRuYS,null,null,null,null,null,null,null,null,null,null,null
16,"Blessd, Ovy On The Drums",AMISTA,Colombia,1kJyDcBrZ7rSKnFtKc82vm,null,null,null,null,null,null,null,null,null,null,null
18,Yeison Jimenez,Por Qué la Envidia,Colombia,433eYQkvCgJKXh1o7LtplV,null,null,null,null,null,null,null,null,null,null,null
20,"Blessd, Ovy On The Drums","""EMHDM""",Colombia,5NbIHx26LyFkW2oSNSCYBV,null,null,null,null,null,null,null,null,null,null,null
21,"Ryan Castro, Dongo",SANKA,Colombia,46ufabZP6oK3ixmN6Gd753,null,null,null,null,null,null,null,null,null,null,null
23,"Kapo, Ryan Castro",DÓNDE,Colombia,4zqFA9MOG86u7uugR8QFDU,null,null,null,null,null,null,null,null,null,null,null
26,Arcángel,Por Amar A Ciegas,Colombia,2BrfJdTXohQRtWBKsBTIp0,null,null,null,null,null,null,null,null,null,null,null
28,Yeison Jimenez,Vete,Colombia,6cZcn282SIMmuO8FHN8634,null,null,null,null,null,null,null,null,null,null,null
29,Lenin Ramírez,Todo Lo Fue,Colombia,0Sa8aRfGckW0qUGLrBwoBG,null,null,null,null,null,null,null,null,null,null,null
31,ARIA VEGA,CHÉVERE (joesón_type_beat),Colombia,5OQCghydcEeA76eGdJ6GEa,null,null,null,null,null,null,null,null,null,null,null
32,"Nanpa Básico, Beéle",Hasta Aquí Llegué,Colombia,0Qe2g06yzLBuuSvVmFiweP,null,null,null,null,null,null,null,null,null,null,null
34,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,Colombia,0lMafSfME2iJEE972bsQaK,null,null,null,null,null,null,null,null,null,null,null
36,Herencia De Grandes,Ya Borracho,Colombia,4NyUIohBa3CEMGcXURYSOh,null,null,null,null,null,null,null,null,null,null,null
37,"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,Colombia,1xRRW5ZrL7I9EG8CGZrXHE,null,null,null,null,null,null,null,null,null,null,null
39,Beéle,top diesel,Colombia,2QP041AcWg8PwPIWP95RKN,null,null,null,null,null,null,null,null,null,null,null
41,"Luister La Voz, maikol el insoportable",Ozono,Colombia,4acvrfbXrDPFQNNDnFZnpC,null,null,null,null,null,null,null,null,null,null,null
42,Yeison Jimenez,Un Perro Enamorado,Colombia,3kcr3teEgyTOVIAxMPOPeO,null,null,null,null,null,null,null,null,null,null,null
43,Arcángel,Pa' Que La Pases Bien,Colombia,1pLCpA1RN8avJxSD3ZCwhj,null,null,null,null,null,null,null,null,null,null,null
47,Arcángel,Hace Mucho Tiempo,Colombia,0a6ogDrZBvYgDjILgsQVaJ,null,null,null,null,null,null,null,null,null,null,null
50,Kris R.,MIL D AURA,Colombia,0LvxvoeJmdhkxRIC4orlJ3,null,null,null,null,null,null,null,null,null,null,null
51,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,Colombia,7sRXb5IgYWwVv1DaavHSNs,null,null,null,null,null,null,null,null,null,null,null
53,Yeison Jimenez,MLP,Colombia,4DAMvNqHt0s8zJr6JwOoye,null,null,null,null,null,null,null,null,null,null,null
54,"Blessd, Los Money Makers, Prodmonja",URUS BLUE,Colombia,4sTnItbNUAcS5KDG6vTA5B,null,null,null,null,null,null,null,null,null,null,null
58,"CARABIN3, SVNTI",MUSA,Colombia,0QuHK1VvIZ1Kt2GfqRrdVo,null,null,null,null,null,null,null,null,null,null,null
59,Arcángel,Me Prefieres A Mi,Colombia,3GhmL9fuM8jwGcHCFbeo3v,null,null,null,null,null,null,null,null,null,null,null
60,"Blessd, GeezyDee",DIOMEDEZ,Colombia,6qDTm2QbRSLlSmaUSJE6bF,null,null,null,null,null,null,null,null,null,null,null
62,"Kris R., ROA",PASIÓN Y SEXO,Colombia,4pjkZyNZnOJEPpBmzOqTC2,null,null,null,null,null,null,null,null,null,null,null
63,Kapo,NO CRY,Colombia,4YM3IYESNKXWYHbPXvMMVD,null,null,null,null,null,null,null,null,null,null,null
65,"Blessd, J Alvarez",FANÁTICO,Colombia,0e3d2UZRjtvviXWWMRYGQo,null,null,null,null,null,null,null,null,null,null,null
66,"Blessd, Ovy On The Drums",Mírame,Colombia,2btNsI4OvcVl7SAHQQDHFB,null,null,null,null,null,null,null,null,null,null,null
67,Ñengo Flow,En Las Noches Frias,Colombia,0a0JiZejbYYem1W31fldde,null,null,null,null,null,null,null,null,null,null,null
68,"Tony Dize, Plan B",Solos,Colombia,3CbiuLMBPM6uV4a7HvkOib,null,null,null,null,null,null,null,null,null,null,null
72,"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,Colombia,13BDiikG6y5o5cQTK0HpW6,null,null,null,null,null,null,null,null,null,null,null
73,Willie Colón,Idilio,Colombia,5iwgEFKEktjBBZV3C9TTZj,null,null,null,null,null,null,null,null,null,null,null
76,"Boza, ELENA ROSE",orióN,Colombia,4feh4Ak3ZJfC6ibxkNzlkE,null,null,null,null,null,null,null,null,null,null,null
77,Luis Alberto Posada,Mal Amor,Colombia,1j4XwpoLvqdkWllikDu7Rm,null,null,null,null,null,null,null,null,null,null,null
78,Arcángel,Ganas De Ti,Colombia,71w26UK674tLfGtJFfDSjE,null,null,null,null,null,null,null,null,null,null,null
