artist,title,spotify_uri
"Mr Plata, El Americano 4KT",Las Muñequitas,4nJJCRYru4QQakCiUA155f
"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),3CBEVPwR3kUXDoTx1lqFUQ
"Ryan Castro, Kapo, Gangsta",LA VILLA,2ZyrAym0sRLwt4PhGotHuI
Kris R.,GANAS,4KE9Ne3hgh18B3Th4xcylg
"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,6iOndD4OFo7GkaDypWQIou
Beéle,no tiene sentido,1HEwEN64NjgTaHmo7LfkX8
"J Balvin, Ryan Castro, DJ Snake",Tonto,7mU1fei7P9h4mpjP2Otdw5
Beéle,quédate,6VfL3MEuYeJbDlD8m011HR
Grupo Firme,El Beneficio De La Duda,5yXt80BNZGbmHFd0NHZHNn
"Yeison Jimenez, Luis Alfonso",Destino Final,2E4TYekUduml1DWIqQWNcj
"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,5U3sC7aA5NxoMSeI1kmO2n
Blessd,YOGURCITO,6rZno3nqeT7hv2PnSWRuYS
"Beéle, Ovy On The Drums",mi refe,4zhk2RS2EZODmBW6il55Qj
Bad Bunny,BAILE INoLVIDABLE,2lTm559tuIvatlT1u0JYG2
"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,1YAWMfsmduIrpqrjP45pFn
"Blessd, Ovy On The Drums",AMISTA,1kJyDcBrZ7rSKnFtKc82vm
"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",7nrd0eIftH3NQLfgk20Qp9
Yeison Jimenez,Por Qué la Envidia,433eYQkvCgJKXh1o7LtplV
"Fuerza Regida, Grupo Frontera",COQUETA,1PREzVLuDT6PSE9sej4wnV
"Blessd, Ovy On The Drums","""EMHDM""",5NbIHx26LyFkW2oSNSCYBV
"Ryan Castro, Dongo",SANKA,46ufabZP6oK3ixmN6Gd753
Bad Bunny,DtMF,3sK8wGT43QFpWrvNQsrQya
"Kapo, Ryan Castro",DÓNDE,4zqFA9MOG86u7uugR8QFDU
"J Balvin, Bad Bunny",LA CANCIÓN,0fea68AdmYNygeTGI4RC18
Omar Courtz,POR SI MAÑANA NO ESTOY,595wwjQiad6e6lSTScmXvz
Arcángel,Por Amar A Ciegas,2BrfJdTXohQRtWBKsBTIp0
Kapo,UWAIE,0fMjldiEpgjbWQ4bBQwVzH
Yeison Jimenez,Vete,6cZcn282SIMmuO8FHN8634
Lenin Ramírez,Todo Lo Fue,0Sa8aRfGckW0qUGLrBwoBG
Bad Bunny,EoO,6J5kc12BW5HuP3d7C3vvx8
ARIA VEGA,CHÉVERE (joesón_type_beat),5OQCghydcEeA76eGdJ6GEa
"Nanpa Básico, Beéle",Hasta Aquí Llegué,0Qe2g06yzLBuuSvVmFiweP
"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,7koAf6aZgjO6TS7bipfPD0
"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,0lMafSfME2iJEE972bsQaK
"Héctor ""El Father"", Wisin & Yandel",El Teléfono,614NVFo5csQqRnryl4jXs2
Herencia De Grandes,Ya Borracho,4NyUIohBa3CEMGcXURYSOh
"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,1xRRW5ZrL7I9EG8CGZrXHE
Bad Bunny,NO ME QUIERO CASAR,39L3LdlHS3gqB62HPWaJRg
Beéle,top diesel,2QP041AcWg8PwPIWP95RKN
"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,7d6yK8v8J484SWH5prIQiE
"Luister La Voz, maikol el insoportable",Ozono,4acvrfbXrDPFQNNDnFZnpC
Yeison Jimenez,Un Perro Enamorado,3kcr3teEgyTOVIAxMPOPeO
Arcángel,Pa' Que La Pases Bien,1pLCpA1RN8avJxSD3ZCwhj
"El Bogueto, Yung Beef",Cuando No Era Cantante,6N2iccqxRInhTLHc2Fu3W0
"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,6C1RD7YQVvt3YQj0CmuTeu
Bad Bunny,VOY A LLeVARTE PA PR,59D4DOkspUbWyMmbAPQkxZ
Arcángel,Hace Mucho Tiempo,0a6ogDrZBvYgDjILgsQVaJ
"Feid, ATL Jacob",LUNA,7bywjHOc0wSjGGbj04XbVi
"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,2pbSCYzxrG0wa6qcj8IyiE
Kris R.,MIL D AURA,0LvxvoeJmdhkxRIC4orlJ3
"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,7sRXb5IgYWwVv1DaavHSNs
Plan B,Es un Secreto,3KZCP2StVGdWkOKyRZNWA4
Yeison Jimenez,MLP,4DAMvNqHt0s8zJr6JwOoye
