rank,artist,title,region,chart_date,spotify_uri
1,"Ryan Castro, Kapo, Gangsta",LA VILLA,Argentina,2026-03-05,2ZyrAym0sRLwt4PhGotHuI
2,Bad Bunny,BAILE INoLVIDABLE,Argentina,2026-03-05,2lTm559tuIvatlT1u0JYG2
3,"El Bogueto, Yung Beef",Cuando No Era Cantante,Argentina,2026-03-05,6N2iccqxRInhTLHc2Fu3W0
4,La T y La M,Soy Favela,Argentina,2026-03-05,3TfRpsYPQSXqqramSoWlNg
5,Max Carra,UWAIE - versión cumbia,Argentina,2026-03-05,6UO9DhCUq4ZbQz7PXwelFV
6,"Lauta, Amigo de Artistas, Tote",Puñaladas,Argentina,2026-03-05,4AL4EamHEBKPpdcFRkYdXN
7,Bad Bunny,DtMF,Argentina,2026-03-05,3sK8wGT43QFpWrvNQsrQya
8,"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",Tu jardín con enanitos,Argentina,2026-03-05,6X8DTIJEgHUjZynuds0E2f
9,Bad Bunny,VOY A LLeVARTE PA PR,Argentina,2026-03-05,59D4DOkspUbWyMmbAPQkxZ
10,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,Argentina,2026-03-05,2pbSCYzxrG0wa6qcj8IyiE
11,"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,Argentina,2026-03-05,1YAWMfsmduIrpqrjP45pFn
12,Rels B,TU VAS SIN (fav),Argentina,2026-03-05,6uiQ0DqbXTBc8tl0AUKZkR
13,Bad Bunny,EoO,Argentina,2026-03-05,6J5kc12BW5HuP3d7C3vvx8
14,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Argentina,2026-03-05,7d6yK8v8J484SWH5prIQiE
15,"ROSALÍA, Yahritza Y Su Esencia",La Perla,Argentina,2026-03-05,4oVO4fGNRRvEn0CRuFO4qv
16,Bad Bunny,NUEVAYoL,Argentina,2026-03-05,5TFD2bmFKGhoCRbX61nXY5
17,Beéle,no tiene sentido,Argentina,2026-03-05,1HEwEN64NjgTaHmo7LfkX8
18,"La T y La M, Malandro",Amor de Vago,Argentina,2026-03-05,5MKbWaXeSQSmzmo7gPQha1
19,Airbag,Pensamientos,Argentina,2026-03-05,1H7ktqkQx1PIuPfNtqvaBs
20,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Argentina,2026-03-05,6iOndD4OFo7GkaDypWQIou
21,Milo j,Niño,Argentina,2026-03-05,4aDbrgm1ZaebS1Bb2dOXac
22,"PEDRO SAMPAIO, Emilia, MC Meno K, Melody",JETSKI - Remix,Argentina,2026-03-05,7z26frY6O7BXwyjeqzYo7W
23,La T y La M,No Se Va,Argentina,2026-03-05,1Zh6HllrXT0Khrwk2j3TrZ
24,"Beéle, Ovy On The Drums",mi refe,Argentina,2026-03-05,4zhk2RS2EZODmBW6il55Qj
25,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,Argentina,2026-03-05,7koAf6aZgjO6TS7bipfPD0
26,"Myke Towers, Quevedo",SOLEAO,Argentina,2026-03-05,4OsBqqMwFabHATATT527tH
27,"Alleh, Yorghaki",capaz (merengueton),Argentina,2026-03-05,2dd3G3ZqEcG2cNS1tp3oEk
28,Bad Bunny,KLOuFRENS,Argentina,2026-03-05,4MUrUT38U98olfnyzMBCzm
29,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Argentina,2026-03-05,0l0vcZMU7AOeQmUIREoI2U
30,"J Balvin, Bad Bunny",LA CANCIÓN,Argentina,2026-03-05,0fea68AdmYNygeTGI4RC18
31,Babasonicos,Como Eran Las Cosas,Argentina,2026-03-05,61qPUnazSdkvua4wgA4L8C
32,Omar Courtz,POR SI MAÑANA NO ESTOY,Argentina,2026-03-05,595wwjQiad6e6lSTScmXvz
33,"Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",Argentina,2026-03-05,2uPMsTEKx79gJ8rB3AcT0v
34,Bad Bunny,Tití Me Preguntó,Argentina,2026-03-05,1IHWl5LamUGEuP4ozKQSXZ
35,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Argentina,2026-03-05,6C1RD7YQVvt3YQj0CmuTeu
36,"Young Cister, Kreamly",QLOO*,Argentina,2026-03-05,7CMj1OOS1ho4CPEQTFKzcN
37,Airbag,Por Mil Noches,Argentina,2026-03-05,5vHWh24GAsXJ7tnIu8v7UN
38,Cazzu,Con Otra,Argentina,2026-03-05,2F6PBqz7aPA7K309aFKMHt
39,"PEPU, Pizzu",TENGO UN FEELING,Argentina,2026-03-05,1toIsvoqn3HCpdetMXk2sJ
40,"Bizarrap, J Balvin","J Balvin: Bzrp Music Sessions, Vol. 62/66",Argentina,2026-03-05,04YMLAsyIAe1sLb6RO5YcC
41,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",Argentina,2026-03-05,7nrd0eIftH3NQLfgk20Qp9
42,No Te Va Gustar,A las Nueve,Argentina,2026-03-05,0CgpCtEPvyDizcg2p47VrU
43,Djo,End of Beginning,Argentina,2026-03-05,3qhlB30KknSejmIvZZLjOD
44,"Bad Bunny, Chuwi",WELTiTA,Argentina,2026-03-05,5WEF0icHWmAZBBMglBd599
45,Plan B,Es un Secreto,Argentina,2026-03-05,3KZCP2StVGdWkOKyRZNWA4
46,"No Te Va Gustar, Juan Casanova",Tan Lejos,Argentina,2026-03-05,44m9PAUZYeOEGeaTYh6NAl
47,"Milo j, Trueno",Gil,Argentina,2026-03-05,5jgmQkVypORb3enASCxjYs
48,"Maria Becerra, TINI, XROSS",HASTA QUE ME ENAMORO,Argentina,2026-03-05,7rfYGYxsZzQAhlJy5B0IcW
49,Gustavo Cerati,Adiós,Argentina,2026-03-05,1rh4kDY9T4fHVDum8Foi5k
50,Plan B,Fronteo,Argentina,2026-03-05,0AXKoQuC2NQ8S2QRF0Gu02
51,Bad Bunny,NO ME QUIERO CASAR,Argentina,2026-03-05,39L3LdlHS3gqB62HPWaJRg
52,"Tincho & Javi, Max Carra",Loco Enamorado I Varieté #4,Argentina,2026-03-05,0UaxhDrvCVcCWCqYQUeeFF
53,Intoxicados,Nunca quise,Argentina,2026-03-05,0ZAJ660VP57lLK4U7NlGOy
54,Callejeros,Creo,Argentina,2026-03-05,5Bi9Cq5oVFy1OtUgecbegZ
55,Danny Ocean,Me Rehúso,Argentina,2026-03-05,6ifUES3keWjwXgae8pXI3o
56,"Tiago PZK, Ke Personajes",Piel,Argentina,2026-03-05,6kPCcIAGoTeRrh8qrmKa90
57,"Maria Becerra, El Alfa, XROSS",HACE CALOR,Argentina,2026-03-05,4tabsd3NLLwuT90wkuNh7C
58,Patricio Rey y sus Redonditos de Ricota,Un Ángel para Tu Soledad,Argentina,2026-03-05,6kUopck7LHVadAjAFcXiTj
59,"Luck Ra, Miranda!",TU MISTERIOSO ALGUIEN (CUARTETO) (feat. Miranda!),Argentina,2026-03-05,4Kzi8hXKkT87SQoYClizh0
60,"Omar Courtz, ROA",WO OH OH,Argentina,2026-03-05,0h54mLixODOqU6vTcZMqVM
61,"Q' Lokura, Los Herrera",Cuidado Que Te Supero,Argentina,2026-03-05,2Xetks48zQL2K7xUbJBHRn
62,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,Argentina,2026-03-05,614NVFo5csQqRnryl4jXs2
63,"Luck Ra, Karina, RAMKY EN LOS CONTROLES",LADRON,Argentina,2026-03-05,2NMctdE1VuUUc4VctEqamB
64,Taylor Swift,The Fate of Ophelia,Argentina,2026-03-05,53iuhJlwXhSER5J2IYYv1W
65,"Anuel AA, Haze",Amanece,Argentina,2026-03-05,1LiN0Z98FkR1t0m8KmLcAH
66,Turf,Pasos Al Costado,Argentina,2026-03-05,7upAH0ezzsThyvr33YKn4u
67,"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),Argentina,2026-03-05,5q2JbCNi4FcnglgPfxcV65
68,Felix Record,Cuentame,Argentina,2026-03-05,2lg4MDfkK2ya3dEAFu6Wh8
69,De La Rose,Yo te conozco :):,Argentina,2026-03-05,1yG1za0O6OK6sKa79xGtsA
70,Babasonicos,Irresponsables,Argentina,2026-03-05,6d4d6cwiAf59mKxoRmXQoK
71,"Yan Block, Panda Black",444,Argentina,2026-03-05,1o4xkdBe0RjSf2u6VXi4OI
72,"Jere Klein, Katteyes, Mateo on the Beatz",TODO KE VER,Argentina,2026-03-05,3D9mWy43zoJFWQUE6sz6ax
73,Los Huayra,La Noche Sin Tí,Argentina,2026-03-05,6dT5W7zuEcUZHnZuVlSIJ5
74,Los Piojos,Bicho de Ciudad,Argentina,2026-03-05,0oCiPqIEL5218yu2D996eP
75,Omar Courtz,KOKO,Argentina,2026-03-05,1tz7RZirwiuaJw2p0jbdHb
76,Maluma,Borro Cassette,Argentina,2026-03-05,6DUdDIRgLqCGq1DwkNWQTN
77,"Yan Block, Panda Black",Talento,Argentina,2026-03-05,7sChwC2NZjGc2Kdni3hlDg
78,"Pablo Chill-E, Ñengo Flow, Jere Klein",Bastardo (feat. Ñengo Flow & Jere Klein),Argentina,2026-03-05,7xjFEvchFCiAmuseCBModI
79,Los Tipitos,Campanas en la Noche,Argentina,2026-03-05,0C9V5jMElp7laZZdsCHufD
80,Omar Courtz,SI ESTÁS CON ALGUIEN,Argentina,2026-03-05,7nyk5uxevcijIfl1FlJgmA
81,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,Argentina,2026-03-05,06s3QtMJVXw1AJX3UfvZG1
82,Ciro y los Persas,Me Gusta,Argentina,2026-03-05,67Q93kXygxCskeQiIP0V0j
83,Bad Bunny,MONACO,Argentina,2026-03-05,4MjDJD8cW7iVeWInc2Bdyj
84,La T y La M,amor de veraNO,Argentina,2026-03-05,6WJ2QzbVnjmPGKpmb6tmmO
85,Airbag,Nunca Lo Olvides,Argentina,2026-03-05,4581iSIX0QZNNzAQRysF3k
86,"Yan Block, TORRRES",Yo sé,Argentina,2026-03-05,5DdLSEyKh8zgCrJq2hFj92
87,"Milo j, Taiu",Rara Vez,Argentina,2026-03-05,7MVIfkyzuUmQ716j8U7yGR
88,El Plan De La Mariposa,Túnel de la Vida,Argentina,2026-03-05,3NlHH9zJ9uGXkm6NJDbLnO
89,DesaKTa2,No Se Ve / Chingon,Argentina,2026-03-05,1wDZFWLswOdkP3PBOWiSwI
90,Airbag,Cicatrices,Argentina,2026-03-05,23FJGRug9hlYUIBnrmkIBX
91,Pablo Chill-E,Resentia,Argentina,2026-03-05,2ANtIUI9cipWNI685VdlZb
92,Jin,Don’t Say You Love Me,Argentina,2026-03-05,27xkOIER6uDLKALIelHylZ
93,Zion & Lennox,La player (Bandolera),Argentina,2026-03-05,0VKkyBKCXyR99navhVRqcP
94,Tan Bionica,Obsesionario en La Mayor,Argentina,2026-03-05,5EGVGkRRJ2udpRnVGpx8LM
95,"Romeo Santos, Prince Royce",Dardos,Argentina,2026-03-05,5SudOD9R1Of6CsJVWZy6CQ
96,Anuel AA,Tú No Lo Amas,Argentina,2026-03-05,0fLOPPoyIaPTe8dm2Mrft3
97,Los Auténticos Decadentes,Un Osito de Peluche de Taiwán,Argentina,2026-03-05,6iCnJkKswtMYoSmT58HmEn
98,Patricio Rey y sus Redonditos de Ricota,Un Poco de Amor Francés,Argentina,2026-03-05,14rcLGX83RpsORAIzC4U4g
99,Q' Lokura,Quédate / Soy Favela / Lo que hay x aqui - En Vivo,Argentina,2026-03-05,3sfrXcrMPS2KMQmzdmjEmp
100,La T y La M,El Doctorado,Argentina,2026-03-05,1yg1tWFaYajN4b7vsKtYRE
101,Miranda!,Tu Misterioso Alguien,Argentina,2026-03-05,4ksf1UdqNc9pU8R4ZZrgdY
102,"Luciano Pereyra, Ezequiel Y La Clave, Un Poco de Ruido, Pinky SD",Si No Es Muy Tarde - Versión Cumbia,Argentina,2026-03-05,4KRlNVLHn2ZgGvpjnga31N
103,KAROL G,Si Antes Te Hubiera Conocido,Argentina,2026-03-05,73scB4Q4fcOmnsBVZPmk32
104,"Fuerza Regida, Grupo Frontera",COQUETA,Argentina,2026-03-05,1PREzVLuDT6PSE9sej4wnV
105,Bad Bunny,Moscow Mule,Argentina,2026-03-05,6Xom58OOXk2SoU711L2IXO
106,"Luck Ra, BM",La Morocha,Argentina,2026-03-05,6vRQqxOhUFd78p5tL8jXr7
107,Los Auténticos Decadentes,Loco (Tu Forma De Ser),Argentina,2026-03-05,3ydweVPwq9PCEVJ8WwqT6u
108,Omar Courtz,⁠LUCES DE COLORES,Argentina,2026-03-05,5dDlknAL9imbXXl7uG7oqe
109,The Police,Every Breath You Take,Argentina,2026-03-05,1JSTJqkT5qHq8MDJnJbRE1
