rank,artist,title,region,spotify_uri
1,"Mr Plata, El Americano 4KT",Las Muñequitas,Colombia,4nJJCRYru4QQakCiUA155f
2,"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),Colombia,3CBEVPwR3kUXDoTx1lqFUQ
3,"Ryan Castro, Kapo, Gangsta",LA VILLA,Colombia,2ZyrAym0sRLwt4PhGotHuI
4,Kris R.,GANAS,Colombia,4KE9Ne3hgh18B3Th4xcylg
5,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Colombia,6iOndD4OFo7GkaDypWQIou
6,Beéle,no tiene sentido,Colombia,1HEwEN64NjgTaHmo7LfkX8
7,"J Balvin, Ryan Castro, DJ Snake",Tonto,Colombia,7mU1fei7P9h4mpjP2Otdw5
8,Beéle,quédate,Colombia,6VfL3MEuYeJbDlD8m011HR
9,Grupo Firme,El Beneficio De La Duda,Colombia,5yXt80BNZGbmHFd0NHZHNn
10,"Yeison Jimenez, Luis Alfonso",Destino Final,Colombia,2E4TYekUduml1DWIqQWNcj
11,"Blessd, Los Money Makers, Prodmonja",NUEVA YORK,Colombia,5U3sC7aA5NxoMSeI1kmO2n
12,Blessd,YOGURCITO,Colombia,6rZno3nqeT7hv2PnSWRuYS
13,"Beéle, Ovy On The Drums",mi refe,Colombia,4zhk2RS2EZODmBW6il55Qj
14,Bad Bunny,BAILE INoLVIDABLE,Colombia,2lTm559tuIvatlT1u0JYG2
15,"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,Colombia,1YAWMfsmduIrpqrjP45pFn
16,"Blessd, Ovy On The Drums",AMISTA,Colombia,1kJyDcBrZ7rSKnFtKc82vm
17,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",Colombia,7nrd0eIftH3NQLfgk20Qp9
18,Yeison Jimenez,Por Qué la Envidia,Colombia,433eYQkvCgJKXh1o7LtplV
19,"Fuerza Regida, Grupo Frontera",COQUETA,Colombia,1PREzVLuDT6PSE9sej4wnV
20,"Blessd, Ovy On The Drums","""EMHDM""",Colombia,5NbIHx26LyFkW2oSNSCYBV
21,"Ryan Castro, Dongo",SANKA,Colombia,46ufabZP6oK3ixmN6Gd753
22,Bad Bunny,DtMF,Colombia,3sK8wGT43QFpWrvNQsrQya
