rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",1,1,66,"1453217"
2,"spotify:track:3FZPp9lBUvhsxFxKJi3VkB","BLACKPINK","GO","YG Entertainment",2,-1,1,"514680"
3,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",2,2,42,"508081"
4,"spotify:track:3VHi5bCUek6XdiDmqqrirs","A-Lin","幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲","Focus Entertainment",2,3,9,"497996"
5,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,5,85,"431173"
6,"spotify:track:0bQSWXtpau3VkNI1ZcXTQA","Crowd Lu","太陽與地球","Team Ear Music",2,4,24,"412787"
7,"spotify:track:3IBYp3fKyydZ5dDtirLY6P","Pei-Yu Hung","再見的時候 - 電影〈陽光女子合唱團〉主題曲-再見版","何樂音樂有限公司",3,6,7,"398234"
8,"spotify:track:0WA27lZzPKFJKAbiDRmQDc","Hearts2Hearts","RUDE!","SM Entertainment",8,27,2,"369145"
9,"spotify:track:7pBE8YpFoZ9ankC2Ci5z9X","IVE","BANG BANG","Starship Entertainment",7,7,4,"351618"
10,"spotify:track:43BJVWcBzHRIDaQCg7abnX","BLACKPINK","Champion","YG Entertainment",10,-1,1,"348554"
11,"spotify:track:0VTzUEuHYD8s7CgQ15cDPo","Khalil Fong","特別的人","Fu Music Limited",4,9,53,"341263"
12,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",2,40,34,"330617"
13,"spotify:track:5h1BN75CEh8wdSwE1xrbSe","V","Slow Dancing","BIGHIT MUSIC",5,10,118,"320972"
14,"spotify:track:3woBOD3Ldh81fAwpsnD8yC","Patrick Brasca","單程票","Universal Music Taiwan (JVR)",11,11,3,"302182"
15,"spotify:track:21x0N6lu6D9kO8rVtTU3mH","Top Barry, INDEcompany","一半一半","INDE COMPANY",15,19,7,"294312"
16,"spotify:track:2N0SPREDYqILVEFSsWF5N5","V","Love Me Again","BIGHIT MUSIC",1,8,134,"290752"
17,"spotify:track:3cLXrotzCjYCkN73PewALM","HWASA","Good Goodbye","P NATION",2,14,16,"287401"
18,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",2,13,37,"273979"
19,"spotify:track:23WLgtD54AeluEPRr5muHo","Evangeline Wong","離開我的依賴","SKR Co. LTD",10,12,32,"270868"
20,"spotify:track:7m0duH1vdTNxM2g8BLfR0F","BLACKPINK","Fxxxboy","YG Entertainment",20,-1,1,"263113"
21,"spotify:track:2ytQFMxdreEFPPZTtyDdqM","IVE","BLACKHOLE","Starship Entertainment",21,92,2,"257958"
22,"spotify:track:76EfpqmO6JUL2TTR1SIGwz","黃奇斌","若無你我欲去佗位","Universal Music Taiwan",5,16,34,"256579"
23,"spotify:track:4UwZyC0wEV6XDEAr9kaQhi","Patrick Brasca, mac ova seas","左轉燈 (1000 Times+1)","Universal Music Taiwan (JVR)",10,18,20,"254362"
24,"spotify:track:0cOMncRq4cmDLO4tPQnkBF","Jay Chou","擱淺","Universal Music Taiwan (JVR)",11,15,237,"248595"
25,"spotify:track:5MXcM263QvCTWriH3nVusc","BLACKPINK","Me and my","YG Entertainment",25,-1,1,"238234"
26,"spotify:track:24rDDbSlFY9OHrlJb48CRh","KiiiKiii","404 (New Era)","Starship Entertainment",24,24,5,"236384"
27,"spotify:track:1NoDTQhJsrd5rnpb6PQthK","Bestards","離開的一路上","何樂音樂有限公司",1,17,122,"234602"
28,"spotify:track:3wofqqt5YJWdhLI9IFaX39","Crowd Lu","一夜一夜一夜","Team Ear Music",6,21,28,"230631"
29,"spotify:track:0fK7ie6XwGxQTIkpFoWkd1","JENNIE","like JENNIE","OA Entertainment/Columbia",3,23,52,"229663"
30,"spotify:track:4F7ZAsndEIJXyFzJUHNlRu","Crowd Lu","幾分之幾 - 電影<花甲大人轉男孩>主題曲","Team Ear Music",4,25,322,"226829"
31,"spotify:track:3VxmXJ4FdtbWI27p3Gx4Wh","i-dle, skaiwater","Mono (feat. skaiwater)","BMG Rights Management (US) LLC",3,26,6,"226683"
32,"spotify:track:4Zwn8WxD61diTwqv9hyTQA","EggPlantEgg","閣愛妳一擺","WM Taiwan",2,20,221,"223328"
33,"spotify:track:3xJK8ywApYVEYIDhymYMC6","Stefanie Sun","遇見","WM Taiwan",26,33,254,"217175"
34,"spotify:track:6OWWZtNQORY1McaZmOrwhc","CORTIS","GO!","Republic Records – CORTIS",4,22,26,"215315"
35,"spotify:track:7z2M7DsEjZjwXBkWG3zd21","Stefanie Sun","我懷念的","WM Taiwan",11,37,196,"211975"
36,"spotify:track:1z5ebC9238uGoBgzYyvGpQ","ROSÉ","toxic till the end","Atlantic Records",3,28,65,"211695"
37,"spotify:track:491ca80N1C63tpoLvAsLKb","BABYMONSTER","PSYCHO","YG Entertainment",22,30,18,"207229"
38,"spotify:track:59lBAMCis4C6NsPdUV35Vz","Khalil Fong","愛愛愛","WM Hong Kong",3,32,54,"205591"
39,"spotify:track:2N9miXnewVmUrgl6JSK1FI","LE SSERAFIM, j-hope","SPAGHETTI","SOURCE MUSIC",7,29,19,"205460"
40,"spotify:track:1aNVW0fujBVx7JTorTO1jn","Patrick Brasca, 陳華","你沒等我去的舊金山","Universal Music Taiwan (JVR)",9,34,10,"195800"
41,"spotify:track:2VEt42QSQxILgEf9B50xxm","Bestards","不是因為天氣晴朗才愛你","何樂音樂有限公司",5,31,332,"195563"
42,"spotify:track:7Cnpb1vBbC46RgVyyKLH7p","aespa","Whiplash","SM Entertainment",4,36,72,"193989"
43,"spotify:track:5HVq8nS0pbM6G7YK8M7DY4","Amazing Show","愛情的大壞蛋","火玄火包股份有限公司 AmazingShow CO LTD",14,48,74,"192347"
44,"spotify:track:5pIcwtJYNJx93l420oR2Vm","Jay Chou","晴天","Universal Music Taiwan (JVR)",12,35,326,"191021"
45,"spotify:track:3LlQoKvVnkVvq3KC8anUn8","A-Mei Chang","連名帶姓","Mei Entertainment Ltd",2,38,275,"187416"
46,"spotify:track:3QxWTqyIT4O9bokIZlNDpo","陳粒","小半","北京有此山文化傳媒有限公司",46,67,9,"184729"
47,"spotify:track:1tonXoW6dcb7GGNpec3PTl","BABYMONSTER","WE GO UP","YG Entertainment",8,39,21,"184216"
48,"spotify:track:3Qj9Fy8BPbWmICTiNkuqB7","Jay Chou, Lara Liang","珊瑚海","Universal Music Taiwan (JVR)",28,44,227,"181385"
49,"spotify:track:3n3zzFH7zzO0gJNaw4RKSm","Pets Tseng","一個人想著一個人","WM Taiwan",26,41,75,"180479"
50,"spotify:track:1k0JAiH11gHL9dc5dfQjQr","ILLIT","NOT CUTE ANYMORE","BELIFT LAB",9,42,15,"180057"
51,"spotify:track:7d6eShN6yVeR4Y2Md9uCA4","张远","看着我的眼睛说","一寸光年",5,50,40,"177365"
52,"spotify:track:68tZwwRuo9ip5gRQFG1XWF","Stefanie Sun","開始懂了","WM Taiwan",29,57,78,"173168"
53,"spotify:track:13bw75oRjvxMv9VGIeM32i","David Tao","愛我還是他","Gold Typhoon Taiwan",13,45,96,"170449"
54,"spotify:track:1XZE0InCx3SdCnLpVsPpZl","LBI利比","Jumping Machine (跳楼机)","Sony Music Entertainment",2,46,58,"168736"
55,"spotify:track:5y2ijHECwFYWqcAHKTZgzD","Bruno Mars","Risk It All","Atlantic Records",55,-1,1,"167349"
56,"spotify:track:0HnESxAFR5lTHioAlI7wo3","JOLIN","布拉格廣場 - JOLIN Version/ 星宇航空布拉格開航主題曲","Universal Music Taiwan",56,-1,1,"164039"
57,"spotify:track:1IS0WFyiVpwsATeSzjEvpI","EggPlantEgg","浪流連","WM Taiwan",1,47,377,"157780"
58,"spotify:track:0D0n4q2o54VTOmDJdL6ikY","Sam Lee","痴心絕對","Rock Records Co., Ltd.",58,64,33,"151921"
59,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",11,54,13,"151551"
60,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",60,-1,1,"149663"
61,"spotify:track:6m2I6ZyWRkxjBrrLVQILfl","EggPlantEgg","愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲)","WM Taiwan",1,49,255,"149108"
62,"spotify:track:6GyUt7yJ0sOktc5HjvVnFh","Firdhaus, DIOR 大穎","在加納共和國離婚","Loolala Music (M) Sdn Bhd",1,58,112,"147897"
63,"spotify:track:1t2mpO9GpLjRHDDX6SFWRn","icyball 冰球樂團","不在乎","何樂音樂有限公司",25,94,12,"147054"
64,"spotify:track:1pALOIA4ytESmhl7Fxjdic","Jay Chou","楓","Universal Music Taiwan (JVR)",15,56,129,"146255"
65,"spotify:track:6UO9nrihAk6sFGvVHDVTz8","马也_Crabbit, Cole先生","海屿你","网易飓风",65,98,3,"146179"
66,"spotify:track:3ITUmRLMjxf3ZqCPSDD2gk","艾薇 Ivy","天使借的溫柔","REASON ENTERTAINMENT",47,65,22,"145942"
67,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",7,55,22,"144351"
68,"spotify:track:46V2ciN6F5bxjQWityNhkY","LNGSHOT","Moonwalkin'","MORE VISION",11,52,7,"142959"
69,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,63,72,"142839"
