rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3ltpc2goYCfKT8AbWwqQvc","Quevedo","NI BORRACHO","Quevedo",1,1,3,"2853670"
2,"spotify:track:1YAWMfsmduIrpqrjP45pFn","Omar Courtz, Ñengo Flow","FOREVER TU GANTEL","Rimas Entertainment LLC.",2,2,2,"2298900"
3,"spotify:track:01xWRzLhSgANX9CGgBzssk","Omar Courtz, Dei V, Clarent, Tito ""El Bambino""","$UELTA GATITA $UELTA","Rimas Entertainment LLC.",3,5,2,"1790489"
4,"spotify:track:6hpuesKPNa3WhV48O7Fa47","Aitana","SUPERESTRELLA","Universal Music Spain S.L.",2,6,40,"1763881"
5,"spotify:track:5SudOD9R1Of6CsJVWZy6CQ","Romeo Santos, Prince Royce","Dardos","Sony Music Latin",1,4,14,"1745052"
6,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",4,7,10,"1691944"
7,"spotify:track:0h54mLixODOqU6vTcZMqVM","Omar Courtz, ROA","WO OH OH","Rimas Entertainment LLC.",3,3,2,"1622194"
8,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,11,54,"1470245"
9,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",2,9,61,"1469334"
10,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,8,61,"1462453"
11,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",1,10,17,"1456923"
12,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",1,13,37,"1384068"
13,"spotify:track:7zwgHkTKv86nMOREN5k1hx","Clarent","BIENVENIDA","WEA Latina",13,22,8,"1355950"
14,"spotify:track:595wwjQiad6e6lSTScmXvz","Omar Courtz","POR SI MAÑANA NO ESTOY","Rimas Entertainment LLC.",14,21,2,"1354776"
15,"spotify:track:3zkGK0pIRra9Mql8fKmROf","JC Reyes, Slayter","LOQUITA","JC Reyes",4,12,17,"1346090"
16,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",1,18,42,"1340869"
17,"spotify:track:3bAAv8knmzFpYQsLFoK6de","Quevedo","TUCHAT","Quevedo",1,17,35,"1307585"
18,"spotify:track:74t17BRV4el0mU0Tb8XY1k","YOVNGCHIMI, JC Reyes","MVLAN","Glizzy Gvng Inc. / Roc Nation Distribution",13,16,7,"1305154"
19,"spotify:track:1tz7RZirwiuaJw2p0jbdHb","Omar Courtz","KOKO","Rimas Entertainment LLC.",19,36,2,"1224501"
20,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,14,61,"1188217"
21,"spotify:track:6jBoUckd6VEImt6pg8RpDr","Kidd Voodoo, JC Reyes","Me Mareo","Kidd Voodoo",1,25,36,"1160845"
