rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",1,2,42,"2392922"
2,"spotify:track:59hVbgr8rfYkDbHfr8RcGI","Kenshi Yonezu","IRIS OUT","Sony Music Labels Inc.",1,1,25,"2273311"
3,"spotify:track:0vE1WglBbhmd5wDO49lcih","Mrs. GREEN APPLE","lulu.","Universal Music LLC",1,3,8,"2050336"
4,"spotify:track:1F1hibBCtNeObRMmEMLHNh","M!LK","Bakuretsu Aishiteru","Colourful Records",4,5,4,"2034172"
5,"spotify:track:6hnk0Fesq9JOhWpck8HJsj","HANA","Blue Jeans","Sony Music Labels Inc.",1,4,34,"1992339"
6,"spotify:track:0vDqNzQqEhl7boeRS3Joli","M!LK","Sukisugite METSU!","Colourful Records",6,7,17,"1834175"
7,"spotify:track:3920QegiL2PHmaYYBVwexC","HANA","ROSE","Sony Music Labels Inc.",2,6,49,"1802251"
8,"spotify:track:2cIqVZFyBH8h5dnrzBvtre","ARASHI","Five","Storm Labels Inc.",8,-1,1,"1744507"
9,"spotify:track:21VsLvoE7elUmJZLSawaMh","Mrs. GREEN APPLE","ライラック","Universal Music LLC",1,8,99,"1741102"
10,"spotify:track:65X2koe1LhDgQmRkNdJFv9","King Gnu","AIZO","Sony Music Labels Inc.",2,9,8,"1722028"
11,"spotify:track:3QIAwtEEDOrv0g5NKCGrXZ","back number","花束","Universal Music LLC",4,11,337,"1602383"
12,"spotify:track:2zxK14g3shGRbgjUmKaj2x","CHANMINA","SAD SONG","WM Japan",10,10,58,"1567929"
13,"spotify:track:35MeePbBnryubkVG0v8GbI","back number","ブルーアンバー","Universal Music LLC",6,13,45,"1494649"
14,"spotify:track:7KNY1e9x1MDvpBAmIAN3tz","BE:FIRST","夢中","B-ME",5,12,45,"1478792"
15,"spotify:track:3YML5IHoqWbw9c9vJJvrvM","Mrs. GREEN APPLE","Soranji","Universal Music LLC",7,14,176,"1477395"
16,"spotify:track:79wd94vXLJngCwTAVtzYvr","HANA","Cold Night","Sony Music Labels Inc.",11,15,6,"1453317"
17,"spotify:track:4GqO80eGXA542oTvlYv4LS","back number","ハッピーエンド","Universal Music LLC",9,16,292,"1432177"
18,"spotify:track:1sIIlVrnPhrvmTrHtzM7tV","Mrs. GREEN APPLE, Sonoko Inoue","点描の唄","Universal Music LLC",9,18,355,"1403119"
19,"spotify:track:7ikOwlVju9HYUKthPiNHwr","Mrs. GREEN APPLE","ダーリン","Universal Music LLC",2,17,59,"1388198"
20,"spotify:track:2q910scaHhg6GmqnUKOGHU","HANA","NON STOP","Sony Music Labels Inc.",3,20,13,"1364033"
21,"spotify:track:3OOKZkrUWnMdWJFAvy0b58","HANA","Drop","Sony Music Labels Inc.",15,25,57,"1325269"
22,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,32,85,"1316014"
23,"spotify:track:2jdbZGFp8KVTuk0YxDNL4l","back number","高嶺の花子さん","Universal Music LLC",8,22,366,"1312178"
24,"spotify:track:3RvdkNMcSy71m0aT6UF9Uf","back number","水平線","Universal Music LLC",1,24,238,"1300408"
25,"spotify:track:4oE7MyJhqSD3BaHRpNs8Nl","Kenshi Yonezu, Hikaru Utada","JANE DOE","Sony Music Labels Inc.",2,23,24,"1296379"
26,"spotify:track:1oFqKeepmT5S8BCGqJl7Ar","AiNA THE END","革命道中 - On The Way","avex trax",4,21,35,"1295205"
27,"spotify:track:6lOUOvcscCHUofusbjbYV2","HANA","ALL IN","Sony Music Labels Inc.",27,98,2,"1289286"
28,"spotify:track:0tnhoHUrHfcLi9hPknUFZ4","Mrs. GREEN APPLE","僕のこと","Universal Music LLC",15,26,360,"1279905"
29,"spotify:track:2ezkOPL49H0ZrQYM6y328n","HANA","Bloom","Sony Music Labels Inc.",29,71,2,"1265696"
30,"spotify:track:2BfzhBl79bcPOHHXAXJkTY","CHANMINA","ハレンチ","WM Japan",19,19,88,"1257259"
31,"spotify:track:7dTW21YAJxnAOiUh7Rtu9S","Vaundy","Kaiju no Hanauta","SDR Inc.",1,28,275,"1211345"
32,"spotify:track:3sNbkM4pIy1l7p6K2lhpvm","Number_i","3XL","TOBE MUSIC",8,36,6,"1198959"
33,"spotify:track:4FMz2RFrbDGzJO7K4D0vS3","back number","HAPPY BIRTHDAY","Universal Music LLC",13,33,282,"1190441"
34,"spotify:track:5BC6kr6etk2Y9J62AyI4i3","Mrs. GREEN APPLE","青と夏","Universal Music LLC",2,30,399,"1188946"
35,"spotify:track:6iltt0n1DkQ0AtCcwxXNZJ","King & Prince","Theater","Universal Music LLC",9,29,11,"1184548"
36,"spotify:track:2AdYT7oPiAASC46qF43dia","HANA","My Body","Sony Music Labels Inc.",6,40,21,"1184426"
37,"spotify:track:6FhWelfRDMFZRtFUU6SIdC","sakanaction","Kaiju","NF Records",1,27,55,"1181708"
38,"spotify:track:0teqQ0PYqVDyyXJuPOyMhu","Mrs. GREEN APPLE","ケセラセラ","Universal Music LLC",3,35,150,"1162138"
39,"spotify:track:6hlYmR30RGaHIz4UlVOG2U","back number","どうしてもどうしても","Universal Music LLC",31,31,10,"1131314"
40,"spotify:track:3hBAYbAECEix9raaTq8S3H","back number","ヒロイン","Universal Music LLC",4,38,221,"1094973"
41,"spotify:track:76OElzXqlyLCdlSypwSKBy","Snow Man","カリスマックス - CHARISMAX","MENT RECORDING",12,34,28,"1090510"
42,"spotify:track:57zS3lPil2VxdlBLXHu8l2","Mrs. GREEN APPLE","クスシキ","Universal Music LLC",1,41,48,"1075619"
43,"spotify:track:5aDgM8rYPT15CqjkN1EIKq","CHANMINA","Never Grow Up","WM Japan",37,37,204,"1027940"
44,"spotify:track:0CWAQlHsvfqcKJVVz9up2R","natori","セレナーデ","Sony Music Labels Inc.",35,43,6,"1014819"
45,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",14,42,34,"1009846"
46,"spotify:track:7f9DsQEsIoeTwKxV6shsom","back number","恋","Universal Music LLC",29,45,170,"1007777"
47,"spotify:track:3gw8n3DG28VaYGuVc3lqxl","Lilas","恋風","幾田りら",11,46,47,"960385"
48,"spotify:track:20VZXnRzvcS0qVMOThjjmM","HANA","Tiger","Sony Music Labels Inc.",37,47,45,"955009"
49,"spotify:track:1chmVQLbEPT5890S0X55pe","CHANMINA","TEST ME","Sony Music Labels Inc.",38,48,7,"949580"
50,"spotify:track:0burgYTcpItZGiRjvWhJjM","Number_i","GOD_i","TOBE MUSIC",11,39,58,"931836"
51,"spotify:track:7vgZhgyZBkGJvuh37tJnJo","Number_i","LAVALAVA","TOBE MUSIC",25,58,14,"864381"
52,"spotify:track:5a3s0iaDfGW06yLfwFnmT7","HANA","Burning Flower","Sony Music Labels Inc.",8,52,39,"827673"
53,"spotify:track:6M4fRouHq1Zxtl05ifoeAL","HANA","BAD LOVE","Sony Music Labels Inc.",5,55,26,"812576"
54,"spotify:track:7lT3oj3gxE6AJb87ZK8up7","sakanaction","IRANAI","NF Records",30,44,4,"798528"
55,"spotify:track:0k4KaqElLVjdR6sVHPTS6h","back number","君の恋人になったら","Universal Music LLC",44,51,92,"781156"
56,"spotify:track:61UOoqGI1B9qdeD5Dzupyb","Mrs. GREEN APPLE","GOOD DAY","Universal Music LLC",8,49,23,"756408"
57,"spotify:track:7hIfpcdUZcyCKHYy8gp49E","back number","瞬き","Universal Music LLC",36,53,139,"736980"
58,"spotify:track:4g066xFUp3cTUuTfOCPytT","Remioromen","Sangatsu Kokonoka","OORONG-SHA",53,104,40,"733427"
59,"spotify:track:5RbMlPFL4gVyEHW2lEOuzG","Sukima Switch","奏(かなで)","Universal Music LLC",22,54,289,"732008"
60,"spotify:track:1YVuXOCjN1GkGYqZ8RCcF3","back number","幸せ","Universal Music LLC",60,67,48,"712518"
61,"spotify:track:7CmWXD3w1xOO53AAO4LRVQ","Superfly","愛をこめて花束を","WM Japan",6,57,292,"707536"
62,"spotify:track:7pBE8YpFoZ9ankC2Ci5z9X","IVE","BANG BANG","Starship Entertainment",53,56,4,"680634"
63,"spotify:track:0Xn30nT5EKFPsWvpiJ2Iav","back number","オールドファッション","Universal Music LLC",48,61,215,"670825"
64,"spotify:track:2cKiHG16JBiqHdi7Llq0r7","Aimyon","Marigold","WM Japan",1,60,398,"669103"
65,"spotify:track:6FomeOYunnOCSG2eqkaHn0","=LOVE","劇薬中毒","Sony Music Labels Inc.",65,75,2,"660734"
66,"spotify:track:0WA27lZzPKFJKAbiDRmQDc","Hearts2Hearts","RUDE!","SM Entertainment",66,144,2,"645408"
67,"spotify:track:0N8Xztr4pBHJ7V0moJWhbO","Aimyon","愛を伝えたいだとか","WM Japan",4,66,318,"634759"
68,"spotify:track:2XS2jEncSJsetNZdVtlpeo","=LOVE","とくべチュ、して","Sony Music Labels Inc.",37,62,45,"633426"
69,"spotify:track:0jj4mLjwYcos3PPzjQwVzh","M!LK","E Jan","Colourful Records",61,65,11,"622159"
70,"spotify:track:0XqgE9UN4MCo5ooIwUYm7l","BellyJay","MONTAGEM HIKARI","0to8",55,59,6,"621079"
71,"spotify:track:1di1C0QI6Y92yZPYn6XYAZ","KANA-BOON","シルエット","Sony Music Labels Inc.",33,50,42,"619134"
72,"spotify:track:59eluCMn0XbOWqeWQ91FTM","Aimyon","君はロックを聴かない","WM Japan",2,68,422,"613984"
73,"spotify:track:2vOAHp8PBBFYqvQUWSoITY","Mrs. GREEN APPLE","インフェルノ","Universal Music LLC",16,64,346,"607031"
74,"spotify:track:2SihT7AVMiI2VtaAyVIcnO","Macaroni Empitsu","恋人ごっこ","TALTO",36,63,302,"603786"
75,"spotify:track:0MV9cdI2SS1s0tIkl9fTR8","Snow Man","オドロウゼ！","MENT RECORDING",75,125,2,"599724"
76,"spotify:track:3L7ISJTvKx56uhsF28aJ4p","Fujii Kaze","Kirari","Universal Music LLC",4,74,253,"596134"
77,"spotify:track:21UVLrJ0yuJ6CGeElXMG0C","yangskinny","Setsugekka","Speedstar",77,82,8,"595159"
78,"spotify:track:0b7IBgZjedM53ufZV4f4CL","SPITZ","楓","Universal Music LLC",36,69,162,"593576"
79,"spotify:track:1ihCiJaXRl4f6Sy4LJov5z","SPITZ","チェリー","Universal Music LLC",28,70,377,"593083"
80,"spotify:track:3fEX9NgOeklq816Fw00uoo","XG","HYPNOTIZE","XGALX",53,76,6,"591206"
81,"spotify:track:15HNdxGKNCIO9pgaY4n7FU","OFFICIAL HIGE DANDISM","Pretender","PONY CANYON INC.",1,91,359,"585113"
82,"spotify:track:4QIKSlDV5YIjr0kqT1Ad32","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",2,78,197,"583794"
83,"spotify:track:6kFIakexzgsZwsfWDmb36o","Yorushika","晴る","Universal Music LLC",8,96,113,"582846"
84,"spotify:track:45YBVp6zMwQZRbUDcPzmMB","Kenshi Yonezu","アイネクライネ","Universal Music LLC",73,84,189,"576073"
85,"spotify:track:4kPlQKwtPrnqLgrmmKFSlA","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,81,279,"571789"
86,"spotify:track:014Dp0tBp4d9uuFAvH1mlc","back number","怪盗","Universal Music LLC",10,77,250,"567060"
87,"spotify:track:5SHguvOUbyPTINNjCvRo8K","Mrs. GREEN APPLE","春愁","Universal Music LLC",16,100,308,"562577"
88,"spotify:track:5W7Y92LB4jWvu9NeEQ0GZl","Macaroni Empitsu","なんでもないよ、","Toy's Factory",1,85,226,"561493"
89,"spotify:track:5Ak1F5nGzM4KRhE0H1Q3CP","Omoinotake","幾億光年","Sony Music Labels Inc.",2,79,110,"559485"
90,"spotify:track:172fMG26G2OoEzzg0wn26r","King Gnu","白日","Sony Music Labels Inc.",2,86,366,"553939"
91,"spotify:track:77lmDcPPyY6kK907gdgC6i","Mr.Children","HANABI","TOY'S FACTORY",1,88,297,"553248"
92,"spotify:track:6vg9UGXRVL4YKNVqVMmOKF","RADWIMPS","Seikai","voque ting",53,170,30,"552185"
93,"spotify:track:0BYa5V0RyOYthDeCMUBJQZ","RADWIMPS","me me she","Universal Music LLC",54,93,56,"551908"
94,"spotify:track:0mBPNrXQjNv3NfzqrljAZZ","CHANMINA","B-list","WM Japan",72,72,40,"545530"
95,"spotify:track:3vJIaiTIHxHhYafTSPNiH4","Disney, Shakira","Zoo","Walt Disney Records",29,73,13,"541890"
96,"spotify:track:5oQpH1uuZte4axR411rIlN","King Gnu","SPECIALZ","Sony Music Labels Inc.",1,89,130,"535967"
97,"spotify:track:3FZPp9lBUvhsxFxKJi3VkB","BLACKPINK","GO","YG Entertainment",97,-1,1,"530131"
98,"spotify:track:7ztdl6cnbJgHRdMkKldkts","GReeeeN","キセキ","Universal Music LLC",21,102,378,"525958"
99,"spotify:track:3e0Td8QexmD5l3DJzXbbcC","Vaundy","Tokimeki","SDR Inc.",51,87,142,"524709"
100,"spotify:track:4a48lWUd64bZgHUDx0GZlj","sakanaction","新宝島","NF Records",4,90,197,"523960"
