rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5y2ijHECwFYWqcAHKTZgzD","Bruno Mars","Risk It All","Atlantic Records",1,-1,1,"12884594"
2,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",2,4,9,"11706010"
3,"spotify:track:65DbTqJKhbwqYbZ1Okr0rc","Ella Langley","Choosin' Texas","SAWGOD/Columbia",2,2,20,"9528820"
4,"spotify:track:6f68Ac5tt5BQOpwr0BV9oN","Bruno Mars","I Just Might","Atlantic Records",1,18,8,"9391514"
5,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,1,61,"9107715"
6,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",2,3,28,"8110625"
7,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",7,12,37,"7586014"
8,"spotify:track:3B4cjvGlPvyBLNG3AzEgkZ","Don Toliver","E85","CactusJack/Donnway/ATL",7,7,5,"7469414"
9,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",4,9,23,"7185247"
10,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",2,6,61,"6446001"
11,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",2,5,68,"6414499"
12,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,8,59,"6277332"
13,"spotify:track:6QletrrmpkUpeJkipX9pgf","Bruno Mars","Cha Cha Cha","Atlantic Records",13,-1,1,"6057711"
14,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,11,93,"5964511"
15,"spotify:track:0FlcmZ13DGRmscCroro9GO","Don Toliver","Body","CactusJack/Donnway/ATL",5,13,5,"5909573"
16,"spotify:track:1sVBT215CDmVJvfy1E2OCU","Bruno Mars","God Was Showing Off","Atlantic Records",16,-1,1,"5718926"
17,"spotify:track:7ogpGbKc4Io6NCU6ydxXwZ","Alex Warren","FEVER DREAM","Atlantic Records",17,-1,1,"5626564"
18,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",1,17,56,"5504835"
19,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",4,10,52,"5343477"
20,"spotify:track:5IMpnpD0tQVcqWlVIgtAtV","Bella Kay","iloveitiloveitiloveit","2026 Bella Kay",20,36,3,"5324572"
21,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",16,22,284,"5322691"
22,"spotify:track:7tICCrK3CcyRFKza7yrR0z","sombr","Homewrecker","Warner Records",12,14,4,"5283234"
23,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",2,20,50,"5188435"
24,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,15,37,"5165888"
25,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",1,16,22,"5146569"
26,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",6,26,267,"5038615"
27,"spotify:track:3Ac4AjYkqsvop2ydbSAhTX","Bruno Mars","Why You Wanna Fight?","Atlantic Records",27,-1,1,"4968802"
28,"spotify:track:05CjWFAcAlY6O9po6Qwakk","Ella Langley","Be Her","SAWGOD/Columbia",23,23,3,"4907065"
29,"spotify:track:2A22iI0x4EYAVXNpKPhNEM","Ella Langley","weren't for the wind","SAWGOD/Columbia",15,45,46,"4806197"
30,"spotify:track:1myZ6GQewhAzMH2dKtKSWK","Bruno Mars","Dance With Me","Atlantic Records",30,-1,1,"4806053"
31,"spotify:track:7aLndReanHBzpTGE5Am9H8","Luke Combs","Be By You","Columbia Nashville",13,19,3,"4755976"
32,"spotify:track:4gfrYDtaRmp6HPvN80V2ob","Morgan Wallen","I Got Better","Big Loud Records / Mercury Records / Republic Records",3,27,42,"4736574"
33,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",10,25,24,"4721327"
34,"spotify:track:4i4BVY2JiH4mDSLIBdNGKD","Bruno Mars","On My Soul","Atlantic Records",34,-1,1,"4685414"
35,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",12,31,95,"4377046"
36,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",13,33,106,"4334230"
37,"spotify:track:7cjoZVmWe2xsGR4wcXiV2v","Lil Uzi Vert","What You Saying","Roc Nation Distribution",6,28,10,"4140951"
38,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",15,24,10,"4125887"
39,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",19,43,10,"4063841"
40,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino Recording Co",18,38,267,"4049567"
41,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",8,40,289,"4018932"
42,"spotify:track:3yWuTOYDztXjZxdE2cIRUa","Taylor Swift","Opalite","Taylor Swift",2,34,22,"4017919"
43,"spotify:track:77zqs8ucHCSk5jh9TYec4b","Noah Kahan","The Great Divide","Mercury Records",1,21,5,"4015208"
44,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",8,30,14,"3964137"
45,"spotify:track:0eaVIYo2zeOaGJeqZ5TwYz","Don Toliver","No Pole","Cactus Jack / Atlantic",25,48,72,"3943567"
46,"spotify:track:0PV4VQCmE6Ujssr1bnswdF","Bruno Mars","Something Serious","Atlantic Records",46,-1,1,"3934958"
47,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",12,44,32,"3880260"
48,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,47,81,"3863584"
49,"spotify:track:0Sq6JK9kyC4MQa3KrJj5CB","Bruno Mars","Nothing Left","Atlantic Records",49,-1,1,"3828060"
50,"spotify:track:5ViLKrbyL3HD6wsq3AB9eI","Dominic Fike","White Keys","Columbia",50,92,3,"3797860"
51,"spotify:track:03tqyYWC9Um2ZqU0ZN849H","Waka Flocka Flame, Roscoe Dash, Wale","No Hands (feat. Roscoe Dash & Wale)","Asylum/Warner Records",32,41,46,"3740245"
52,"spotify:track:3pAVk6Ydn0dcGpG8gDyxSJ","BigXthaPlug, Ella Langley","Hell At Night (feat. Ella Langley)","BigXthaPlug under exclusive license to UnitedMasters LLC",19,68,29,"3717552"
53,"spotify:track:1VOSSXuWRcBj2rpfxNdX9v","Whiskey Myers","Broken Window Serenade","Whiskey Myers",52,52,31,"3709236"
54,"spotify:track:6LxSe8YmdPxy095Ux6znaQ","Drake","Headlines","Cash Money Records/Young Money Ent./Universal Rec.",28,55,53,"3678273"
55,"spotify:track:312z6PZ8wwREck8613PkJk","Olivia Dean","A Couple Minutes","PLG - Capitol",27,35,17,"3604047"
56,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",1,42,39,"3601228"
57,"spotify:track:0KKkJNfGyhkQ5aFogxQAPU","Bruno Mars","That's What I Like","Atlantic Records",3,79,108,"3454324"
58,"spotify:track:2QGVKiAGTa1YcDqPMhAzF7","Mac Miller, Empire Of The Sun","The Spins","Rostrum Records",58,69,204,"3450290"
59,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",5,59,52,"3447969"
60,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",2,57,94,"3441993"
61,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",3,50,84,"3417028"
62,"spotify:track:0eAuGrXyGFYwur9ARUe7LJ","Malcolm Todd","Earrings","Columbia",62,72,9,"3390042"
63,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",1,54,67,"3367319"
64,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",5,53,81,"3366991"
65,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",10,51,15,"3306676"
66,"spotify:track:7B3BwNecBhKvNwSMOOl7Gk","Addison Rae","Fame is a Gun","Columbia",32,63,17,"3300541"
67,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",1,75,132,"3293273"
68,"spotify:track:2d8JP84HNLKhmd6IYOoupQ","Fetty Wap","Trap Queen","300 Entertainment/RGF Productions",17,71,20,"3280562"
69,"spotify:track:6K4t31amVTZDgR3sKmwUJJ","Tame Impala","The Less I Know The Better","Universal Music Australia Pty. Ltd.",59,64,172,"3227760"
70,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, Wizkid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",13,83,124,"3215938"
71,"spotify:track:7gF2mPcjipv2hLGHY7bi17","White Noise Radiance, Rain Sounds","Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)","Calming Radiance",60,60,5,"3214702"
72,"spotify:track:7AeM1BGYM7emrqmQn1PuWv","Morgan Wallen","I'm The Problem","Big Loud Records / Mercury Records / Republic Records",4,70,57,"3213867"
73,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",7,46,26,"3208901"
74,"spotify:track:4jyyma8YdFC4S4llusSFRu","Brent Faiyaz","butterflies.","ISO Supremacy under exclusive license to UnitedMasters LLC",37,37,3,"3178817"
