language,emotion_anger,emotion_neutral,emotion_joy,emotion_fear,emotion_disgust,emotion_sadness,emotion_surprise
de,0.0,0.39772702753543854,0.0,0.0,0.0,0.0,0.0
en,0.0726968231431775,0.032134341837607876,0.11641304126936271,0.06919235120715521,0.001163478166118222,0.26862125822431754,0.11295689091156742
es,0.029205152964224667,0.3230777633726281,0.031171356573343793,0.05333486455847755,0.0017265924830841863,0.01655553268321459,0.0036726125509910336
gd,0.0,0.0,0.0,0.0,0.2864369601011276,0.0,0.0
he,0.0,0.0,0.0,0.0,0.4916224231322606,0.0,0.0
id,0.0,0.7494639754295349,0.0,0.0,0.0,0.0,0.0
it,0.0,0.0,0.0,0.09847371776898702,0.0,0.5054911573727926,0.0
ja,0.0,0.5173238813877106,0.0,0.0,0.0,0.0,0.0
ko,0.021983752648035686,0.18017922631568375,0.09827964877088864,0.1432235911488533,0.0,0.1525763695438703,0.01986062154173851
pt,0.07979502528905869,0.07347943633794785,0.17039108276367188,0.03988244757056236,0.0,0.0,0.0
ru,0.0,0.3309145743648211,0.0,0.086542047560215,0.0,0.0,0.0
tr,0.0,0.5101330843236711,0.0,0.0,0.0,0.0,0.0
vi,0.0,0.0,0.0,0.0,0.27501554787158966,0.0,0.0
zh,0.0,0.4590313677434568,0.0,0.0,0.0,0.0,0.0
