title,artist,region,language,topic,topic_probability,dominant_emotion,emotion_anger,emotion_neutral,emotion_joy,emotion_fear,emotion_disgust,emotion_sadness,emotion_surprise
Las Muñequitas,"Mr Plata, El Americano 4KT",Colombia,es,6,,neutral,0.0921684205532074,0.312728650867939,0.0,0.0,0.0,0.0,0.0
CHÉVERE (premium_remix),"ARIA VEGA, Ryan Castro",Colombia,es,1,,joy,0.0,0.11790745705366135,0.36473090946674347,0.0,0.0,0.0,0.0
LA VILLA,"Ryan Castro, Kapo, Gangsta",Colombia,es,-1,,neutral,0.0,0.2786506513754527,0.15375595291455588,0.0,0.0,0.0,0.0
LA VILLA,"Ryan Castro, Kapo, Gangsta",Colombia,es,-1,,neutral,0.0,0.2786506513754527,0.15375595291455588,0.0,0.0,0.0,0.0
GANAS,Kris R.,Colombia,es,1,,neutral,0.0,0.3140869041283925,0.0,0.13039690256118774,0.0,0.0,0.0
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",Colombia,en,26,,joy,0.0,0.16720592975616455,0.369269331296285,0.0,0.0,0.0,0.0
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",Colombia,en,26,,joy,0.0,0.16720592975616455,0.369269331296285,0.0,0.0,0.0,0.0
no tiene sentido,Beéle,Colombia,es,1,,neutral,0.0,0.4893631786108017,0.0,0.0,0.0,0.0,0.0
Tonto,"J Balvin, Ryan Castro, DJ Snake",Colombia,es,6,,neutral,0.0,0.6681517660617828,0.0,0.0,0.0,0.0,0.0
quédate,Beéle,Colombia,es,-1,,neutral,0.0,0.4861629456281662,0.0,0.0,0.0,0.0,0.0
El Beneficio De La Duda,Grupo Firme,Colombia,es,1,,neutral,0.0,0.5302174836397171,0.0,0.0,0.0,0.0,0.0
Destino Final,"Yeison Jimenez, Luis Alfonso",Colombia,es,28,,fear,0.1382489651441574,0.0,0.0,0.1458250731229782,0.0,0.0,0.0
NUEVA YORK,"Blessd, Los Money Makers, Prodmonja",Colombia,es,1,,neutral,0.0,0.19060554107030234,0.0,0.16480028629302979,0.0,0.0,0.0
