topic,keywords
0,"the, it, of, all, you, oh, your, my, now, and"
1,"que, te, el, yo, la, de, no, pa, lo, en"
2,"zi, de, awake, wide, xing, shu, so, ah, hun, hu"
3,"the, id, was, goodbye, next, it, you, wanna, to, if"
4,"easy, me, fall, be, you, so, better, its, he, the"
5,"can, how, when, and, we, im, bed, youve, someone, shared"
6,"la, lo, que, yo, te, en, no, de, el, por"
7,"tryin, got, she, glamorous, they, it, the, that, and, highway"
8,"every, you, dance, watching, ooh, take, ill, soul, darling, be"
9,"2018, feat, 2017, the, lil, drake, west, 2016, of, scott"
10,"bang, jennie, drip, fashion, yeah, 404, bae, rich, am, ah"
11,"body, thats, what, her, like, she, on, and, lucky, baby"
12,"ey, que, voa, la, las, tit, pa, pr, va, yo"
13,"up, be, born, gonna, were, our, golden, im, to, oh"
14,"doodoo, oh, might, just, me, by, tell, to, cause, you"
15,"no, boys, broke, friends, new, that, fuck, woah, my, men"
16,"who, let, know, waiting, to, is, heart, world, that, see"
17,"ha, american, boy, can, youre, ahah, my, you, im, be"
18,"geri, bir, evet, nereye, git, zamansz, var, ve, istiyor, iin"
19,"que, se, toy, la, loco, deb, bien, ms, las, no"
20,"but, couldnt, help, again, do, and, ive, in, fall, love"
21,"risk, to, nothing, could, its, anything, true, do, for, you"
22,"if, your, damned, our, leave, ill, like, uhhuh, console, excited"
23,"she, chachacha, il, true, like, and, what, well, that, on"
24,"apateu, uhhuh, on, babydoll, uh, meet, whatever, you, im, game"
25,"baby, tratra, perreo, en, te, la, los, tainy, siempre, lo"
26,"yeah, ooh, it, aw, eat, long, drives, you, uh, for"
27,"puedo, enseaste, mi, no, solo, eheh, te, bailar, borrar, olvidar"
28,"que, luces, en, de, el, con, un, la, del, te"
29,"con, ey, tiene, shh, nueva, dembow, un, que, lo, reggaetn"
